"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"qemu","","qemu","qemu","True","True","True","False","24781","428950","89.33","72.31","0.0219","0.2124","otherosfs","","21886","663214","290664","471802","392143"
"libde265","strukturag/libde265","libde265","libde265","True","True","True","False","131579","292972","41.73","81.57","0.1161","0.1450","misc","","99968","695115","253362","373574","407768"
"libogg","","libogg","libogg","True","True","True","False","140449","281060","37.42","82.57","0.1239","0.1391","libs","","130312","661835","224049","347925","462368"
"zeromq","zeromq/libzmq","zeromq3","zeromq","True","True","True","True","120407","305864","46.96","80.25","0.1062","0.1514","libs","","100943","607530","208272","424581","484169"
"opencore-amr","","opencore-amr","opencore-amr","True","True","True","False","112135","313468","51.25","79.64","0.0989","0.1552","libs","","99941","866952","197758","301515","348385"
"libsamplerate","libsndfile/libsamplerate","libsamplerate","libsamplerate","True","True","True","False","129809","291149","42.77","81.86","0.1145","0.1441","libs","","117737","728165","248751","341971","377024"
"qt","","qt3d-opensource-src|qt6-5compat|qt6-base|qt6-charts|qt6-connectivity|qt6-declarative|qt6-imageformats|qt6-multimedia|qt6-networkauth|qt6-positioning|qt6-quick3d|qt6-quicktimeline|qt6-scxml|qt6-sensors|qt6-serialport|qt6-shadertools|qt6-speech|qt6-svg|qt6-tools|qt6-virtualkeyboard|qt6-wayland|qt6-webchannel|qt6-webengine|qt6-websockets|qt6-webview|qtbase-opensource-src|qtcharts-opensource-src|qtdatavis3d-everywhere-src|qtdeclarative-opensource-src|qtgamepad-everywhere-src|qtgraphicaleffects-opensource-src|qtimageformats-opensource-src|qtlocation-opensource-src|qtmultimedia-opensource-src|qtnetworkauth-everywhere-src|qtquickcontrols-opensource-src|qtquickcontrols2-opensource-src|qtscript-opensource-src|qtsensors-opensource-src|qtserialport-opensource-src|qtspeech-opensource-src|qtsvg-opensource-src|qttools-opensource-src|qtvirtualkeyboard-opensource-src|qtwayland-opensource-src|qtwebchannel-opensource-src|qtwebengine-opensource-src|qtwebsockets-opensource-src|qtwebview-opensource-src|qtx11extras-opensource-src|qtxmlpatterns-opensource-src","qt|qt3d|qt5compat|qt@5|qtbase|qtcharts|qtconnectivity|qtdatavis3d|qtdeclarative|qtimageformats|qtlocation|qtmultimedia|qtnetworkauth|qtpositioning|qtquick3d|qtquicktimeline|qtremoteobjects|qtscxml|qtsensors|qtserialbus|qtserialport|qtshadertools|qtspeech|qtsvg|qttools|qttranslations|qtvirtualkeyboard|qtwebchannel|qtwebengine|qtwebsockets|qtwebview","True","True","True","False","79428","324718","69.26","78.38","0.0701","0.1608","misc","","75571","742748","228309","415648","345766"
"rbenv","rbenv/rbenv","","rbenv","False","True","True","False","0","359313","","76.35","","0.1779","ruby","","0","326869","83735","497338","529310"
"libdeflate","ebiggers/libdeflate","libdeflate","libdeflate","True","True","True","False","127225","288004","44.13","82.29","0.1123","0.1426","misc","","53384","99170","126513","478635","1030440"
"redis","","redis","redis","True","True","True","False","9279","430610","95.67","72.09","0.0082","0.2132","database","","7563","859420","230835","295405","375617"
"libvpx","webmproject/libvpx","libvpx","libvpx","True","True","True","False","17182","418166","92.79","72.94","0.0152","0.2070","video","","4546","841711","133523","309085","469714"
"zimg-image-processing","sekrit-twc/zimg","zimg","zimg","True","True","True","False","58033","364072","76.69","75.82","0.0512","0.1802","misc","","10988","715787","200287","356041","463353"
"luajit","LuaJIT/LuaJIT","","luajit","False","True","True","False","0","347785","","77.22","","0.1722","","","0","526759","149803","357519","357059"
"npth","","npth","npth","True","True","True","False","174453","215565","27.67","85.31","0.1539","0.1067","libdevel","","165814","424762","228365","496128","419459"
"libvorbis","","libvorbis","libvorbis","True","True","True","False","140320","256517","37.67","83.36","0.1238","0.1270","libs","","130186","615667","223629","357412","400777"
"unixodbc","","unixodbc","unixodbc","True","True","True","False","33623","385424","85.46","74.71","0.0297","0.1908","database","","33342","991692","196025","249395","239362"
"libtheora","","libtheora","theora","True","True","True","False","128806","265951","43.34","82.97","0.1137","0.1317","libs","","117422","543521","208657","364059","474177"
"automake","","automake-1.17","automake","True","True","True","False","0","341353","","77.56","","0.1690","misc","","0","563627","148265","312775","340747"
"x264","","x264","x264","True","True","True","False","56474","353427","77.40","76.88","0.0498","0.1750","graphics","","3001","808357","129060","345333","410332"
"sed","","sed","gnu-sed","True","True","True","False","230119","135455","2.44","89.40","0.2030","0.0671","utils","","207363","491461","277969","346503","369125"
"pinentry","","","pinentry","False","True","True","False","0","334378","","77.90","","0.1655","utils","","0","534410","64499","434205","304400"
"yt-dlp","yt-dlp/yt-dlp","","yt-dlp","False","True","False","False","0","333403","","","","0.1651","misc","","0","230129","78861","402676","621947"
"lame","","lame","lame","True","True","True","False","129488","253156","42.88","83.48","0.1143","0.1253","sound","","115592","563754","217778","356961","405981"
"cjson","DaveGamble/cJSON","cjson","cjson","True","True","True","True","57800","333518","76.90","78.06","0.0510","0.1651","misc","","3833","535984","179599","467210","436450"
"shared-mime-info","","shared-mime-info","shared-mime-info","True","True","True","False","0","322284","","78.54","","0.1595","misc","","0","552997","91632","329766","314744"
"libzip","","libzip","libzip","True","True","True","False","8339","388245","96.18","74.52","0.0074","0.1922","libs","","2495","822760","183275","248094","338058"
"edencommon","facebookexperimental/edencommon","","edencommon","False","True","True","False","0","318274","","79.02","","0.1576","","","0","445208","206279","358347","263265"
"lua","","lua5.1|lua5.2|lua5.3|lua5.4","lua|lua@5.4","True","True","True","False","114230","236781","49.95","84.08","0.1008","0.1172","interpreters|misc","","125350","457972","270330","339854","364483"
"libb2","BLAKE2/libb2","libb2","libb2","True","True","True","False","29584","348950","86.94","77.05","0.0261","0.1728","misc","","10315","634054","127581","354765","417005"
"linux","","linux","linux-headers@5.15|linux-headers@6.8","True","True","True","False","133723","215600","40.33","85.20","0.1180","0.1067","kernel|misc","","124909","120670","376694","529797","378949"
"xcbeautify","cpisciotta/xcbeautify","","xcbeautify","False","True","True","False","0","306106","","80.10","","0.1515","","","0","54718","123824","437308","608575"
"libraw","","libraw","libraw","True","True","True","False","14722","362567","93.41","75.99","0.0130","0.1795","libs","","293","877335","78500","272223","295530"
"libxcrypt","besser82/libxcrypt","libxcrypt","libxcrypt","True","True","True","False","151303","191454","34.20","86.12","0.1335","0.0948","libs","","59827","114370","277905","478113","592120"
"grep","","grep","grep","True","True","True","False","230112","91840","3.65","91.39","0.2030","0.0455","utils","","207355","401450","280564","291164","337390"
"soxr","","libsoxr","libsoxr","True","True","True","False","123067","225611","45.78","84.77","0.1086","0.1117","misc","","107336","531827","194693","316627","367299"
"openblas","OpenMathLib/OpenBLAS","openblas","openblas","True","True","True","False","12639","361316","94.37","76.17","0.0112","0.1789","devel","","3088","449697","165397","583420","306861"
"argon2","P-H-C/phc-winner-argon2","argon2","argon2","True","True","True","False","191973","136030","24.44","89.34","0.1694","0.0673","misc","","147477","533275","230910","291161","301165"
"xvidcore","","xvidcore","xvid","True","True","True","False","127195","216748","44.24","85.09","0.1122","0.1073","libs","","114515","537633","196536","303784","350499"
"yarn","","","yarn","False","True","True","False","0","299921","","80.55","","0.1485","misc","","0","670366","120263","255967","153090"
"libidn","","libidn","libidn","True","True","True","False","64490","293129","73.61","81.43","0.0569","0.1451","libs","","7467","741569","104239","324569","317126"
"popt","rpm-software-management/popt","popt","popt","True","True","True","False","230060","85837","5.08","91.96","0.2030","0.0425","devel","","207295","416068","247211","292433","330644"
"tree-steve-baker","Old-Man-Programmer/tree","tree","tree","True","True","True","False","41564","320156","82.00","78.70","0.0367","0.1585","utils","","34504","590188","166240","350997","346521"
"swiftlint","realm/SwiftLint","","swiftlint","False","True","True","False","0","297354","","80.69","","0.1472","","","0","127952","157646","456766","447055"
"nspr","","nspr","nspr","True","True","True","False","152824","180335","33.39","86.75","0.1348","0.0893","devel","","139954","538277","187280","276467","343486"
"vid.stab","georgmartius/vid","libvidstab","libvidstab","True","True","True","False","109854","233488","52.82","84.54","0.0969","0.1156","misc","","87594","519862","243946","295798","336025"
"ninja","ninja-build/ninja","","ninja","False","True","True","True","0","296268","","80.99","","0.1467","misc","","0","285534","119469","326574","453495"
"double-conversion","google/double-conversion","double-conversion","double-conversion","True","True","True","True","66755","286751","72.86","82.43","0.0589","0.1420","misc","","34348","718869","200008","234859","292697"
"aspell","","aspell","aspell","True","True","True","False","152665","169848","33.53","87.10","0.1347","0.0841","text","","140276","531473","203698","331034","236238"
"openssh","","openssh","openssh|ssh-copy-id","True","True","True","False","229442","72811","8.32","92.82","0.2025","0.0360","misc|net","","206807","302919","264942","322713","341080"
"tmux","tmux/tmux","tmux","tmux","True","True","True","True","33855","313602","85.34","79.48","0.0299","0.1553","admin","","29108","513984","161326","385614","333655"
"file","","file","libmagic","True","True","True","False","226452","71507","14.57","92.93","0.1998","0.0354","utils","","206133","345024","252941","291340","322851"
"jbig2dec","ArtifexSoftware/jbig2dec","jbig2dec","jbig2dec","True","True","True","False","138172","179523","38.78","86.84","0.1219","0.0889","graphics","","129192","486885","215601","314118","263159"
"acl","","acl","acl","True","True","True","False","230130","78861","0.41","92.49","0.2031","0.0390","utils","","207367","204740","228573","317295","429264"
"libpthread-stubs","","libpthread-stubs","libpthread-stubs","True","True","True","False","40045","295982","83.25","81.13","0.0353","0.1465","libdevel","","42843","1096247","113439","90303","41323"
"libtirpc","","libtirpc","libtirpc","True","True","True","False","166227","180808","29.16","86.57","0.1467","0.0895","libs","","88906","130953","264591","529267","359844"
"jpeg","","","jpeg","False","True","True","False","0","272910","","82.70","","0.1351","","","0","784101","49285","161522","96734"
"php:composer","","","composer","False","True","True","False","0","272755","","82.84","","0.1350","misc","","0","499924","118390","253522","219185"
"systemd","systemd/systemd","systemd","systemd","True","True","True","True","229282","72406","9.33","92.86","0.2023","0.0358","admin","","206655","204089","241627","328484","382777"
"gpgme","","gpgme1.0","gpgme","True","True","True","False","138935","166890","38.53","87.35","0.1226","0.0826","libs","","145345","195661","179071","425385","416775"
"jansson","akheron/jansson","jansson","jansson","True","True","True","True","191192","100151","24.94","90.82","0.1687","0.0496","libs","","142351","420094","213561","266693","313866"
"attr","","attr","attr","True","True","True","False","230118","56712","2.84","93.87","0.2030","0.0281","utils","","207360","204726","256101","313152","339391"
"gtk","","gtk+2.0|gtk+3.0|gtk4","gtk+|gtk+3|gtk4","True","True","True","False","128198","168928","43.57","87.27","0.1131","0.0836","libs|misc","","130593","350079","213666","346282","276084"
"libcap","","libcap2","libcap","True","True","True","False","229822","55416","7.10","94.01","0.2028","0.0274","libs","","206873","204397","239058","308967","356068"
"s-lang","","slang2","s-lang","True","True","True","False","229888","35811","6.50","95.77","0.2028","0.0177","devel","","207230","314054","230352","256964","284084"
"nano","","nano","nano","True","True","True","False","225439","39881","15.16","95.23","0.1989","0.0197","editors","","202760","271621","232366","273607","306368"
"findutils","","findutils","findutils","True","True","True","False","230114","33890","3.25","95.93","0.2030","0.0168","utils","","207353","282319","237390","268660","290412"
"libcbor","PJK/libcbor","libcbor","libcbor","True","True","True","True","19358","295006","91.75","81.28","0.0171","0.1460","misc","","13","717448","100757","235794","222806"
"cyrus-sasl","cyrusimap/cyrus-sasl","cyrus-sasl2","cyrus-sasl","True","True","True","False","228407","32697","11.76","96.19","0.2015","0.0162","devel","","206260","205183","224858","251857","384671"
"diffutils","","diffutils","diffutils","True","True","True","False","229327","27023","9.13","96.78","0.2024","0.0134","utils","","206128","228699","235887","273286","310730"
"xxhash","Cyan4973/xxHash","xxhash","xxhash","True","True","True","False","154762","120135","32.44","89.97","0.1366","0.0595","misc","","68741","197969","172559","325677","489408"
"libxfixes","","libxfixes","libxfixes","True","True","True","False","162033","107069","31.04","90.41","0.1430","0.0530","x11","","153143","168769","192295","352526","371712"
"libxi","","libxi","libxi","True","True","True","False","163285","105371","30.61","90.52","0.1441","0.0522","x11","","156360","168059","191251","370590","351651"
"dpkg","","dpkg","dpkg","True","True","True","False","230133","19853","0.20","97.73","0.2031","0.0098","admin","","207369","237714","231323","263088","290588"
"libunibreak","adah1972/libunibreak","libunibreak","libunibreak","True","True","True","False","14867","288566","93.36","82.15","0.0131","0.1429","misc","","8","451324","123091","345800","308380"
"libpsl","rockdaboot/libpsl","libpsl","libpsl","True","True","True","True","192261","65530","24.27","93.30","0.1696","0.0324","misc","","178009","280025","238353","310710","216335"
"gzip","","gzip","gzip","True","True","True","False","230111","16483","4.06","98.14","0.2030","0.0082","utils","","207353","221202","230950","267599","289388"
"tree-sitter","tree-sitter/tree-sitter","tree-sitter","tree-sitter|tree-sitter@0.25","True","True","True","False","1853","301452","99.43","80.40","0.0016","0.1492","misc","","8","319821","81945","415795","397507"
"nmap","","nmap","nmap","True","True","True","False","48141","241190","80.40","83.72","0.0425","0.1194","net","","49122","368252","179348","258978","349765"
