"package","source","homepage","vcs_browser","section"
"libqt5gamepad5","qtgamepad-everywhere-src","https://doc.qt.io/qt-5/qtgamepad-index.html","","libs"
"libqt5gamepad5-dev","qtgamepad-everywhere-src","https://doc.qt.io/qt-5/qtgamepad-index.html","","libdevel"
"libqt5gui5-gles","qtbase-opensource-src-gles","https://www.qt.io/developers/","","libs"
"libqt5gui5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5help5","qttools-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5hunspellinputmethod5","qtvirtualkeyboard-opensource-src","https://doc.qt.io/qt-5/qtvirtualkeyboard-index.html","","libs"
"libqt5keychain1","qtkeychain","https://github.com/frankosterfeld/qtkeychain","","libs"
"libqt5location5","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5location5-plugin-mapboxgl","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5location5-plugins","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5multimedia5","qtmultimedia-opensource-src","https://doc.qt.io/qt-5/qtmultimedia-index.html","","libs"
"libqt5multimedia5-plugins","qtmultimedia-opensource-src","https://doc.qt.io/qt-5/qtmultimedia-index.html","","libs"
"libqt5multimediagsttools5","qtmultimedia-opensource-src","https://doc.qt.io/qt-5/qtmultimedia-index.html","","libs"
"libqt5multimediaquick5","qtmultimedia-opensource-src","https://doc.qt.io/qt-5/qtmultimedia-index.html","","libs"
"libqt5multimediawidgets5","qtmultimedia-opensource-src","https://doc.qt.io/qt-5/qtmultimedia-index.html","","libs"
"libqt5network5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5networkauth5","qtnetworkauth-everywhere-src","https://doc.qt.io/qt-5/qtnetworkauth-index.html","","libs"
"libqt5networkauth5-dev","qtnetworkauth-everywhere-src","https://doc.qt.io/qt-5/qtnetworkauth-index.html","","libdevel"
"libqt5nfc5","qtconnectivity-opensource-src","https://doc.qt.io/qt-5/topics-network-connectivity.html","","libs"
"libqt5opengl5-dev","qtbase-opensource-src","https://www.qt.io/developers/","","libdevel"
"libqt5opengl5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5organizer5a","qtpim-opensource-src","https://www.qt.io/developers","","libs"
"libqt5pas-dev","libqtpas","https://www.lazarus-ide.org/index.php","","libdevel"
"libqt5pas1","libqtpas","https://www.lazarus-ide.org/index.php","","libs"
"libqt5pdf5","qtwebengine-opensource-src","https://doc.qt.io/qt-5/qtwebengine-index.html","","libs"
