"package","github_repo"
"itkgenericlabelinterpolator","InsightSoftwareConsortium/ITKGenericLabelInterpolator"
"itools","arabeyes-org/itools"
"jacktrip","jacktrip/jacktrip"
"java-diff-utils","java-diff-utils/java-diff-utils"
"jbig2enc","agl/jbig2enc"
"jcal","persiancal/jcal"
"jmtpfs","JasonFerrara/jmtpfs"
"jose","latchset/jose"
"jove","jonmacs/jove"
"joy2key","joolswills/joy2key"
"jp2a","Talinx/jp2a"
"jpeg-compressor-cpp","richgel999/jpeg-compressor"
"jpeg-xl","libjxl/libjxl"
"jreen","euroelessar/jreen"
"jsmn","zserge/jsmn"
"json-c","json-c/json-c"
"jsonnet","google/jsonnet"
"jxrlib","4creators/jxrlib"
"kchmviewer","gyunaev/kchmviewer"
"kcolorpicker","ksnip/kcolorpicker"
"keybinder-3.0","engla/keybinder"
"khronos-opencl-clhpp","KhronosGroup/OpenCL-CLHPP"
"kickpass","kickpass/kickpass"
"kimageannotator","ksnip/kImageAnnotator"
"kissfft","mborgerding/kissfft"
"klog","ea4k/klog"
"kodi-game-libretro","kodi-game/game"
"kodi-pvr-mediaportal-tvserver","kodi-pvr/pvr"
"kodi-pvr-nextpvr","kodi-pvr/pvr"
"ktikz","fhackenberger/ktikz"
"kvantum","tsujan/Kvantum"
"kvazaar","ultravideo/kvazaar"
"kxl","Quipyowert2/libKXL"
"ladvd","sspans/ladvd"
"lager","arximboldi/lager"
"lapackpp","icl-utk-edu/lapackpp"
"lbfgspp","yixuan/LBFGSpp"
"lbzip2","kjn/lbzip2"
"ldc","ldc-developers/ldc"
"leaflet-markercluster","Leaflet/Leaflet"
"leatherman","puppetlabs/leatherman"
"lerc","Esri/lerc"
"level-zero","oneapi-src/level-zero"
"leveldb","google/leveldb"
"lib3mf","3MFConsortium/lib3mf"
"libad9361-iio","analogdevicesinc/libad9361-iio"
"libansilove","ansilove/libansilove"
"libapache2-mod-auth-cas","apereo/mod_auth_cas"
"libapogee3","indilib/indi-3rdparty"
"libappimage","AppImageCommunity/libappimage"
"libarcus","Ultimaker/libArcus"
"libargparse","p-ranav/argparse"
"libargs","Taywee/args"
"libass","libass/libass"
"libatomic-ops","ivmai/libatomic_ops"
"libatomic-queue","max0x7ba/atomic_queue"
"libatomicbitvector","ekg/atomicbitvector"
"libaunit","AdaCore/aunit"
"libavif","AOMediaCodec/libavif"
"libavtp","Avnu/libavtp"
"libayatana-appindicator","AyatanaIndicators/libayatana-appindicator"
"libayatana-common","AyatanaIndicators/libayatana-common"
"libayatana-indicator","AyatanaIndicators/libayatana-indicator"
"libbacktrace","ianlancetaylor/libbacktrace"
"libbde","libyal/libbde"
"libberkeleydb-perl","pmqs/BerkeleyDB"
"libbfio","libyal/libbfio"
"libbgcode","prusa3d/libbgcode"
"libbigwig","dpryan79/libBigWig"
"libbioparser-dev","rvaser/bioparser"
"libbiosoup-dev","rvaser/biosoup"
"libbitarray","noporpoise/BitArray"
"libblockdev","storaged-project/libblockdev"
"libbloom","jvirkki/libbloom"
"libbraiding","miguelmarco/libbraiding"
"libbytesize","storaged-project/libbytesize"
"libcaes","libyal/libcaes"
"libcbor","PJK/libcbor"
"libcds","khizmax/libcds"
"libchardet","Joungkyun/libchardet"
"libchdr","rtissera/libchdr"
"libcifpp","PDB-REDO/libcifpp"
"libcitygml","jklimke/libcitygml"
"libcleri","cesbit/libcleri"
"libcli","dparrish/libcli"
"libcm256cc","f4exb/cm256cc"
"libcmis","tdf/libcmis"
"libcomps","rpm-software-management/libcomps"
"libconfuse","libconfuse/libconfuse"
"libcork","dcreager/libcork"
"libcorkipset","dcreager/libcorkipset"
"libcotp","paolostivanin/libcotp"
"libcpuid","anrieff/libcpuid"
"libcreg","libyal/libcreg"
"libcsv","rgamble/libcsv"
"libcue","lipnitsk/libcue"
"libcyaml","tlsa/libcyaml"
"libdbusmenu-lxqt","lxqt/libdbusmenu-lxqt"
"libde265","strukturag/libde265"
"libdeflate","ebiggers/libdeflate"
"libdevice-usb-perl","gwadej/perl-device-usb"
"libdigidoc","open-eid/libdigidoc"
"libdisorder","locasto/libdisorder"
"libdivsufsort","y-256/libdivsufsort"
"libdjinterop","xsco/libdjinterop"
"libdnf","rpm-software-management/libdnf"
"libdogleg","dkogan/libdogleg"
"libdontdie","flonatel/libdontdie"
"libdrpm","rpm-software-management/drpm"
"libdumbnet","ofalk/libdnet"
"libe131","hhromic/libe131"
"libebur128","jiixyj/libebur128"
"libeconf","openSUSE/libeconf"
"libecpint","robashaw/libecpint"
"libedlib","Martinsos/edlib"
"libemf2svg","kakwa/libemf2svg"
"libepoxy","anholt/libepoxy"
"libequihash","stef/equihash"
"liberasurecode","openstack/liberasurecode"
"libesedb","libyal/libesedb"
"libest","cisco/libest"
"libevdevplus","YukiWorkshop/libevdevPlus"
"libevhtp","criticalstack/libevhtp"
"libevt","libyal/libevt"
"libevtx","libyal/libevtx"
"libewf","libyal/libewf-legacy"
"libfastahack","ekg/fastahack"
"libfastjson","rsyslog/libfastjson"
"libfcrypto","libyal/libfcrypto"
"libfec","fblomqvi/libfec"
"libfixmath","PetteriAimonen/libfixmath"
"libflame","flame/libflame"
"libflathashmap","skarupke/flat_hash_map"
"libfli","indilib/indi-3rdparty"
"libflorist","AdaCore/florist"
"libfm","lxde/libfm"
"libfm-qt","lxqt/libfm-qt"
"libfm-qt5","lxqt/libfm-qt"
"libfplus","Dobiasd/FunctionalPlus"
"libfreeaptx","iamthehorker/libfreeaptx"
"libfsapfs","libyal/libfsapfs"
"libfsext","libyal/libfsext"
"libfsfat","libyal/libfsfat"
"libfshfs","libyal/libfshfs"
"libfsntfs","libyal/libfsntfs"
"libfsxfs","libyal/libfsxfs"
"libfvde","libyal/libfvde"
"libfwnt","libyal/libfwnt"
"libfwsi","libyal/libfwsi"
"libfyaml","pantoniou/libfyaml"
"libgclib","gpertea/gclib"
"libgctp","OkoSanto/GCTP"
"libgd-perl","lstein/Perl-GD"
"libgdf","mbillingr/libgdf"
"libgdsii","HomerReid/libGDSII"
"libgff","COMBINE-lab/libgff"
"libgfshare","kinnison/libgfshare"
"libgnatcoll","AdaCore/gnatcoll-core"
"libgnatcoll-bindings","AdaCore/gnatcoll-bindings"
"libgnatcoll-db","AdaCore/gnatcoll-db"
"libgphoto2","gphoto/libgphoto2"
"libgtkada","AdaCore/gtkada"
"libguess","kaniini/libguess"
"libgusb","hughsie/libgusb"
"libhangul","libhangul/libhangul"
"libhat-trie","dcjones/hat-trie"
"libhitaki","alsa-project/libhitaki"
"libhmsbeagle","beagle-dev/beagle-lib"
"libhomfly","miguelmarco/libhomfly"
"libhpptools","mateidavid/hpptools"
"libhugetlbfs","libhugetlbfs/libhugetlbfs"
"libical3","libical/libical"
"libiio","analogdevicesinc/libiio"
"libiksemel","meduketto/iksemel"
"libimagequant","ImageOptim/libimagequant"
"libime","fcitx/libime"
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue"
"libinih","benhoyt/inih"
"libinstpatch","swami/libinstpatch"
"libint2","evaleev/libint"
"libips4o","vgteam/ips4o"
"libiptcdata","ianw/libiptcdata"
"libisal","intel/isa-l"
"libiscsi","sahlberg/libiscsi"
"libite","troglobit/libite"
"libitl","arabeyes-org/ITL"
"libitl-gobject","aelmahmoudy/libitl-gobject"
"libjcat","hughsie/libjcat"
"libjson-rpc-cpp","cinemast/libjson-rpc-cpp"
"libjsoncpp","open-source-parsers/jsoncpp"
"libjsonparser","udp/json-parser"
"libjwt","benmcollins/libjwt"
"libkainjow-mustache","kainjow/Mustache"
"libkdtree++","nvmd/libkdtree"
"libkdumpfile","ptesarik/libkdumpfile"
"libkiwix","kiwix/libkiwix"
"libkkc","ueno/libkkc"
"libkml","libkml/libkml"
"libkode","cornelius/libkode"
"liblastfm","lastfm/liblastfm"
"liblaxjson","andrewrk/liblaxjson"
"liblc3","google/liblc3"
"libldm","mdbooth/libldm"
"libleidenalg","vtraag/libleidenalg"
"liblms7compact","xtrx-sdr/liblms7002m"
"liblnk","libyal/liblnk"
"liblo","radarsat1/liblo"
"liblockfile","miquels/liblockfile"
