"package","avg_downloads","2021","2022","2023","2024","2025"
"brltty","95405","83622","78304","91895","101663","121543"
"libffi","94902","36235","35843","47098","151592","203742"
"libdbusmenu","93738","80315","77818","90358","102199","118003"
"libudfread","93602","45873","71524","93008","118331","139276"
"pcaudiolib","93229","79618","75952","90030","100777","119770"
"bsdmainutils","93191","163650","106438","91032","58626","46209"
"espeak-ng","93087","79454","75845","89922","100602","119616"
"libmysofa","92918","45697","70165","91368","116067","141297"
"libnumbertext","92884","75569","75167","90271","102431","120985"
"libstaroffice","92234","75215","75119","89958","101345","119536"
"zbar","92213","92786","88551","102851","104810","72070"
"libepubgen","92047","75078","74962","89775","101110","119310"
"alsa-plugins","91419","98297","91211","94484","87854","85253"
"libzmf","91109","74134","74068","88881","100148","118318"
"libqxp","91099","74114","74062","88867","100146","118310"
"jemalloc","90595","15987","27170","59246","151364","199209"
"cairomm","90398","87037","82015","93394","100226","89318"
"pangomm","90339","86987","81994","93352","100175","89188"
"atkmm1.6","90333","87014","82014","93386","100174","89077"
"redland","90075","94797","87584","100322","99815","67857"
"zip","90071","87620","82550","87606","91468","101111"
"hdparm","89922","129662","96995","88767","69957","64230"
"rasqal","89805","94303","87272","100055","99664","67733"
"pocketsphinx","89508","42568","66705","87773","112708","137788"
"libdc1394","88950","44514","67231","87814","110724","134467"
"imagemagick-6-common","88869","77933","75017","94888","116457","80054"
"mjpegtools","88666","88491","84371","98777","101678","70016"
"libxklavier","88343","86397","79899","90376","95822","89222"
"libwmf","87952","87871","71885","61713","94646","123646"
"powermgmt-base","87867","126406","94309","86013","68333","64274"
"distro-info","87697","77353","84400","93767","97666","85302"
"xcb-util","87499","44530","66619","86710","108322","131316"
"accountsservice","87490","75472","71250","83212","92196","115322"
"lerc","86936","0","9871","42787","127253","167834"
"postgresql-17","86385","90361","78936","79993","86655","95980"
"libayatana-indicator","85944","71809","73150","86452","99245","99064"
"libgtop2","85904","76077","73123","84005","91620","104698"
"ayatana-ido","85873","71583","73092","86408","99224","99061"
"libgc","85435","40556","67686","87285","112247","119402"
"gawk","84634","88706","83525","82384","82369","86186"
"zenity","84367","81329","72958","81179","87153","99219"
"yelp","84315","78284","72847","82260","88012","100173"
"libflac8","84051","127744","113349","97584","47063","34518"
"gnome-online-accounts","84000","77020","71872","81451","88537","101123"
"libnma","83939","74276","70748","81794","89666","103213"
"libgs9-common","83760","127761","113483","96878","46562","34119"
"libayatana-appindicator","83650","70633","71235","84126","96474","95785"
"libinstpatch","82895","42963","63283","82964","103174","122092"
"pipewire","82813","41286","61849","81698","102901","126335"
