"package","dependency","type"
"libvncserver","cyrus-sasl2","declared"
"libvncserver","glibc","declared"
"libvncserver","gnutls28","declared"
"libvncserver","libgcrypt20","declared"
"libvncserver","libjpeg-turbo","declared"
"libvncserver","lzo2","declared"
"libvncserver","zlib","declared"
"libt3config","glibc","declared"
"mokomaze","argtable2","declared"
"mokomaze","cairo","declared"
"mokomaze","fonts-liberation","declared"
"mokomaze","gcc-14","declared"
"mokomaze","glib2.0","declared"
"mokomaze","glibc","declared"
"mokomaze","guichan","declared"
"mokomaze","json-glib","declared"
"mokomaze","libpng1.6","declared"
"mokomaze","librsvg","declared"
"mokomaze","ode","declared"
"mokomaze","sdl-image1.2","declared"
"mokomaze","sdl-ttf2.0","declared"
"mokomaze","sdl12-compat","declared"
"mandos","adduser","declared"
"mandos","avahi","declared"
"mandos","cryptsetup","declared"
"mandos","debconf","declared"
"mandos","dpkg","declared"
"mandos","glib2.0","declared"
"mandos","glibc","declared"
"mandos","gnutls28","declared"
"mandos","gpgme1.0","declared"
"mandos","initramfs-tools","declared"
"mandos","libnl3","declared"
"mandos","systemd-cryptsetup","declared"
"libgeotiff","glibc","declared"
"libgeotiff","libjpeg-turbo","declared"
"libgeotiff","proj","declared"
"libgeotiff","tiff","declared"
"liblc3","glibc","declared"
"libmongodb-perl","libauthen-sasl-saslprep-perl","declared"
"libmongodb-perl","libauthen-scram-perl","declared"
"libmongodb-perl","libboolean-perl","declared"
"libmongodb-perl","libbson-perl","declared"
"libmongodb-perl","libclass-xsaccessor-perl","declared"
"libmongodb-perl","libmoo-perl","declared"
"libmongodb-perl","libnamespace-clean-perl","declared"
"libmongodb-perl","libnet-dns-perl","declared"
"libmongodb-perl","libsafe-isa-perl","declared"
"libmongodb-perl","libsub-quote-perl","declared"
"libmongodb-perl","libtie-ixhash-perl","declared"
"libmongodb-perl","libtry-tiny-perl","declared"
"libmongodb-perl","libtype-tiny-xs-perl","declared"
"libmongodb-perl","libuuid-urandom-perl","declared"
"libmongodb-perl","perl","declared"
"fswebcam","glibc","declared"
"fswebcam","libgd2","declared"
"libtrycatch-perl","glibc","declared"
"libtrycatch-perl","libb-hooks-endofscope-perl","declared"
"libtrycatch-perl","libb-hooks-op-check-perl","declared"
"libtrycatch-perl","libb-hooks-op-ppaddr-perl","declared"
"libtrycatch-perl","libdevel-declare-perl","declared"
"libtrycatch-perl","libextutils-depends-perl","declared"
"libtrycatch-perl","libmoose-perl","declared"
"libtrycatch-perl","libmoosex-types-perl","declared"
"libtrycatch-perl","libnamespace-clean-perl","declared"
"libtrycatch-perl","libparse-method-signatures-perl","declared"
"libtrycatch-perl","libscope-upper-perl","declared"
"libtrycatch-perl","libsub-exporter-perl","declared"
"libtrycatch-perl","libvariable-magic-perl","declared"
"libtrycatch-perl","perl","declared"
"libtrycatch-perl","perlapi-5.40.1","declared"
"hfst","foma","declared"
