"package","avg_downloads","2020","2021","2022","2023","2024"
"google-cloud-logging",113084969,69170161,119855166,88787030,83374236,204238253
"cfgv",112940614,19045996,39497859,70184880,142172336,293802001
"seaborn",112227972,26534949,94525289,98447625,123730435,217901564
"loguru",112164765,5676576,17764682,46548771,130650611,360183187
"boto",112055058,129920240,105147299,113268266,102716900,109222585
"gcsfs",111191202,55573608,111832707,78425700,105154902,204969093
"altair",110381812,7113324,25729354,89877319,155522317,273666744
"tinycss2",110332378,7312420,13095565,81237747,158387403,291628756
"cfn-lint",110022539,15041429,41831481,168726863,210207582,114305338
"plotly",109966538,40718986,94296152,92320541,117553077,204943936
"llvmlite",109407123,22745383,52962238,98473512,155002457,217852027
"typeguard",108963270,8567545,74673356,64785854,115283606,281505987
"typing",108905379,98711007,95646134,112405437,114561869,123202448
"azure-nspkg",107803750,50103014,83746435,118784853,133067817,153316632
"retrying",107280080,76064624,89012145,95367702,106757593,169198336
"slack-sdk",107172286,212674,13774699,74076614,145416421,302381021
"tox",106600116,30968458,47453476,63563776,171151115,219863753
"opentelemetry-semantic-conventions",106404135,0,4291738,20532918,83896850,423299169
"azure-mgmt-core",106059074,7935729,62338054,98338657,133574271,228108660
"statsmodels",106040875,34129897,65060393,106560988,129360310,195092789
"querystring-parser",105996253,30699653,112132309,132327838,131768022,123053442
"snowballstemmer",105843110,41538098,63278865,87595762,114823270,221979557
"httptools",105366756,39590109,82559733,60985077,132686015,211012846
"typedload",105190169,219315,72622,1697782,1300007,522661121
"jsonpickle",104677406,53631789,93056447,117373186,114407405,144918204
"keras",104576573,33289842,54490937,111206567,135848416,188047101
"pydata-google-auth",104559270,62782748,117276301,96546887,79863977,166326437
"flatbuffers",104522249,6018626,54373517,92211831,141611666,228395605
"fastavro",103363604,25247581,46492198,109066977,114922185,221089081
"enum34",103255402,132667750,108433648,84838697,90636108,99700805
"libcst",103154121,12135505,107074161,146353276,98369691,151837974
"setproctitle",102695653,13863547,23765745,66218497,112209059,297421419
"semver",102316597,12421216,34519172,73165491,134342786,257134318
"unidecode",101792501,37086064,63087410,116449441,133987994,158351596
"colorlog",100968963,26046263,55136316,91274807,89809770,242577661
"applicationinsights",99146332,45618214,108656306,122778343,97873964,120804835
"inflection",99006816,29419043,56845354,80765541,106003888,222000253
"argparse",98456353,98209553,73595217,70025803,86283723,164167470
"faker",97658658,28258872,52328958,75428307,107865075,224412078
"hvac",96665499,24234740,40438160,67592626,128961398,222100569
"sentencepiece",96639230,14212065,29982000,72853482,121478601,244670003
"types-python-dateutil",95930978,0,4204278,22681720,81953787,370815104
"rfc3339-validator",95288284,204351,890253,6385788,132026710,336934319
"opt-einsum",95246639,39424649,65786813,98650177,113480788,158890770
"mdit-py-plugins",95196772,14845,3334022,28480481,187788807,256365703
"graphviz",95152514,33043273,76684528,115099905,96675745,154259120
"email-validator",94934022,12610162,32189221,64738136,88907233,276225359
"azure-storage-file-datalake",94694961,4975607,34321349,69580578,132240022,232357250
"azure-mgmt-storage",94426259,32183238,76752380,91581605,91792842,179821231
"openai",94380949,243879,1447527,2789517,84213672,383210151
"dataclasses-json",94203286,4531950,24001307,71892681,114519715,256070775
