repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
jsdom/xml-name-validator,github,15,,npm,1,npm,xml-name-validator,1043035853,,,,,0.000445,,,,30.73,58.70,22.91,100,42.69,1,0,1,10000,75,5,3.1,0,0,0,0,100.00,11.98,88.16,36.41,44.28,apache-2.0,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,43.48,587,gh/28553202
sindresorhus/find-cache-directory,github,162,,npm,1,npm,find-cache-dir,1738931335,,,,,0.000423,,,,30.12,58.36,36.18,100,50.56,4,0,1,5833,131,7,4.5,0,5,5,0,76.37,18.35,50.00,27.11,37.12,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,43.32,588,gh/48783244
sindresorhus/strip-indent,github,146,,npm,1,npm,strip-indent,1234912575,,,,,0.000392,,,,28.61,57.85,37.62,100,51.22,3,0,1,6600,103,6,3.9,0,3,4,-1,81.24,15.27,72.20,18.88,36.06,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,42.98,589,gh/18242629
inspect-js/hasown,github,2,,npm,1,npm,hasown,1120107699,,,,,0.003093,,,,68.06,71.46,34.36,100,54.57,1,0,1,10000,77,1,4.3,0,2,1,1,100.00,5.05,53.38,48.30,33.78,mit,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,42.93,590,gh/703350811
linusu/buffer-from,github,25,,npm,1,npm,buffer-from,1777150723,,,,,0.000758,,,,41.09,62.20,27.77,100,46.99,1,0,1,10000,84,5,2.9,0,2,3,-1,100.00,12.85,95.77,19.11,39.16,mit,registry,False,False,True,3,0,3,False,False,False,False,False,True,,,,,,,True,True,True,True,True,42.90,591,gh/66025821
aws/aws-sdk-js-crypto-helpers,github,68,,npm,7,npm,@aws-crypto/util,2811627150,,,,,0.000850,,,,42.86,62.95,41.74,100,55.63,21,0,3,1255,2793,6,5.5,0,26,27,-1,20.45,33.59,50.00,34.83,33.07,apache-2.0,registry,False,False,False,0,1,1,False,False,False,False,False,False,,,,,amazon.com,company,True,True,False,True,False,42.89,,gh/149673986
ljharb/es-define-property,github,4,,npm,1,npm,es-define-property,2234001437,,,,,0.002440,,,,63.75,69.90,26.40,100,49.21,1,0,1,10000,70,3,4.8,0,1,0,1,100.00,8.42,50.00,46.29,37.36,mit,registry,False,False,True,67,23,90,True,False,True,False,False,True,,,,,,,True,True,True,True,True,42.88,592,gh/756570458
jshttp/vary,github,64,,npm,1,npm,vary,1436231031,,,,,0.000423,,,,30.07,58.35,34.67,100,49.64,4,0,2,2778,662,4,6.6,0,0,0,0,37.27,21.88,50.00,45.32,36.87,mit,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,42.78,593,gh/20498698
servo/rust-fnv,github,358,,crates,1,crates,fnv,,,81821329,,,,,0.001469,,28.33,67.98,42.83,100,55.33,6,0,2,2099,540,2,4,0,3,2,1,32.40,13.67,65.01,41.40,33.04,apache-2.0 / mit,registry,False,False,True,261,0,261,False,False,False,False,False,True,,,,,,,True,True,True,True,True,42.76,594,gh/33499190
sindresorhus/cli-cursor,github,113,,npm,1,npm,cli-cursor,1871033985,,,,,0.000492,,,,32.91,59.35,31.84,100,48.33,2,0,1,6800,100,3,3.8,0,0,0,0,82.46,10.15,75.48,31.39,37.53,mit,registry,False,False,True,186,12,198,False,False,True,True,False,True,,sindresorhus,,,,,True,True,True,True,True,42.59,595,gh/23512396
