repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
daaku/nodejs-makeerror,gh/2097803,False,0,0,0,100.0,12,4,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
daaku/nodejs-tmpl,gh/2171213,False,0,0,0,100.0,20,24,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dateutil/dateutil,gh/26876372,False,0,0,0,100.0,2613,543,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
davidhalter/parso,gh/90668463,True,4,0,4,37.23,672,116,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,72,True,True
davisjam/safe-regex,gh/90781457,False,0,0,0,100.0,192,11,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dchest/tweetnacl-js,gh/15649752,False,0,0,0,100.0,1922,295,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dcodeio/long.js,gh/8678904,True,1,0,1,42.79,921,207,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,75,True,True
debug-js/debug,gh/2871998,False,0,0,0,100.0,11443,968,False,False,,False,False,,False,,True,0,debug,2266.72,5.68,,,,,1,38,True,True
definitelytyped/definitelytyped,gh/6093316,False,0,0,0,100.0,51205,30505,False,False,,False,False,,False,,True,0,,0,100.0,,,microsoft.com,company,0,1,True,False
defunctzombie/node-process,gh/7580644,False,0,0,0,100.0,129,67,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
django/asgiref,gh/48501860,True,145,0,145,9.83,1619,241,False,False,,False,False,,False,,True,0,,0,100.0,,,,,1,46,True,True
djc/rustc-version-rs,gh/41272773,True,27,0,27,19.0,64,23,True,True,"github,patreon",False,False,,False,,True,2,,0,100.0,,,,,1,57,True,True
dmitrysoshnikov/regexp-tree,gh/85459304,False,0,0,0,100.0,423,46,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
docutils/docutils,gh/44840244,False,0,0,0,100.0,67,31,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dominictarr/through,gh/4885140,,,,0,100.0,670,55,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
doowb/ansi-colors,gh/47135420,True,5,0,5,34.72,453,35,True,False,github,False,False,,False,,True,1,,0,100.0,,,,,1,70,True,True
douglasdwyer/wasm_sync,gh/668034655,False,0,0,0,100.0,16,1,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dougwilson/nodejs-depd,gh/20848667,False,0,0,0,100.0,329,40,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
dtolnay/anyhow,gh/212936374,True,126,0,126,11.68,6497,207,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/automod,gh/173074854,True,126,0,126,11.68,182,27,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/dissimilar,gh/229514821,True,126,0,126,11.68,238,16,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/indoc,gh/54252316,True,126,0,126,11.68,778,24,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/itoa,gh/61962375,True,126,0,126,11.68,368,44,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/no-panic,gh/143469762,True,126,0,126,11.68,1190,18,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/paste,gh/155652490,,,0,0,100.0,1086,70,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,True,True
dtolnay/proc-macro2,gh/91860126,True,126,0,126,11.68,917,136,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/quote,gh/67273122,True,126,0,126,11.68,1537,112,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/ref-cast,gh/106295902,True,126,0,126,11.68,219,20,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/rustversion,gh/183990447,True,126,0,126,11.68,394,21,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/ryu,gh/142720484,True,126,0,126,11.68,694,38,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/semver,gh/22432442,True,126,0,126,11.68,663,141,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/syn,gh/67305738,True,126,0,126,11.68,3310,371,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/target-triple,gh/734167706,True,126,0,126,11.68,16,3,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/thiserror,gh/213836768,True,126,0,126,11.68,5412,206,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
dtolnay/trybuild,gh/184941159,True,126,0,126,11.68,965,77,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,49,True,True
