repo,repo_id,eol,archived,mirror,active
mcollina/fastq,37368217,False,False,False,True
mcollina/reusify,42106515,False,False,False,True
mdn/data,70901646,False,False,False,True
medikoo/d,10817569,False,False,False,True
medikoo/es5-ext,1792941,False,False,False,True
medikoo/es6-symbol,14423385,False,False,False,True
medikoo/type,177198492,False,False,False,True
meinersbur/isl,37677854,False,False,False,True
mhammond/pywin32,108187130,False,False,False,True
micheles/decorator,14656555,False,False,False,True
micromark/micromark,157420458,False,False,False,True
micromatch/anymatch,11458302,False,False,False,True
micromatch/braces,25475303,False,False,False,True
micromatch/is-extglob,31788841,False,False,False,True
micromatch/is-glob,28179425,False,False,False,True
micromatch/micromatch,27359938,False,False,False,True
micromatch/picomatch,156211895,False,False,False,True
micromatch/to-regex-range,40355891,False,False,False,True
microsoft/tslib,34414315,False,False,False,True
microsoft/typescript,20929025,False,False,False,True
microsoft/windows-rs,208102250,False,False,False,True
minimistjs/minimist,549230701,False,False,False,True
mirror/ncurses,22324756,False,False,False,True
mitsuhiko/insta,165561258,False,False,False,True
mm2/little-cms,507969,False,False,False,True
moment/moment,1424470,False,False,False,True
more-itertools/more-itertools,4144530,False,False,False,True
motdotla/dotenv,11205780,False,False,False,True
moxystudio/node-cross-spawn,21335844,False,False,False,True
mozilla/source-map,2014930,False,False,False,True
mrabarnett/mrab-regex,309446978,False,False,False,True
mrmlnc/fast-glob,77467076,False,False,False,True
msgpack/msgpack-python,2242705,False,False,False,True
myrne/performance-now,10219264,False,False,False,True
mysticatea/abort-controller,105228556,False,False,False,True
mysticatea/event-target-shim,31137469,False,False,False,True
netflix/vmaf,51317975,False,False,False,True
nghttp2/nghttp2,11452676,False,False,False,True
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,False,False,False,True
nlnetlabs/unbound,94195301,False,False,False,True
node-fetch/fetch-blob,186960326,False,False,False,True
node-fetch/node-fetch,29849956,False,False,False,True
nodeca/argparse,4325614,False,False,False,True
nodeca/js-yaml,2504175,False,False,False,True
nodeca/pako,16231859,False,False,False,True
nodejs/node,27193779,False,False,False,True
nodejs/readable-stream,5187096,False,False,False,True
nodejs/string_decoder,95052330,False,False,False,True
nodejs/undici,133092972,False,False,False,True
nodelib/nodelib,129310478,False,False,False,True
npm/abbrev-js,554893,False,False,False,True
npm/cacache,193812470,False,False,False,True
npm/hosted-git-info,25002984,False,False,False,True
npm/ini,2167680,False,False,False,True
npm/json-parse-even-better-errors,211384370,False,False,False,True
npm/mute-stream,5159166,False,False,False,True
npm/node-semver,1357199,False,False,False,True
npm/node-which,2169708,False,False,False,True
npm/nopt,1544436,False,False,False,True
npm/normalize-package-data,9301720,False,False,False,True
npm/ssri,193817839,False,False,False,True
npm/unique-slug,35246620,False,False,False,True
npm/write-file-atomic,23896209,False,False,False,True
numpy/numpy,908607,False,False,False,True
nv/cssom,1025209,False,False,False,True
nvzqz/static-assertions,100129252,False,False,False,True
oauthlib/oauthlib,2811323,False,False,False,True
octokit/openapi-types.ts,304109193,False,False,False,True
octokit/types.ts,216109757,False,False,False,True
oozcitak/xmlbuilder-js,1042809,False,False,False,True
open-telemetry/opentelemetry-js,185901023,False,False,False,True
open-telemetry/opentelemetry-js-contrib,255986659,False,False,False,True
open-telemetry/opentelemetry-python,185478926,False,False,False,True
open-telemetry/opentelemetry-python-contrib,220524743,False,False,False,True
openssl/openssl,7634677,False,False,False,True
p11-glue/p11-kit,12060420,False,False,False,True
pallets/click,19103692,False,False,False,True
pallets/flask,596892,False,False,False,True
pallets/itsdangerous,1945034,False,False,False,True
pallets/jinja,994551,False,False,False,True
pallets/markupsafe,734244,False,False,False,True
pallets/werkzeug,997338,False,False,False,True
pandas-dev/pandas,858127,False,False,False,True
paramiko/paramiko,119609,False,False,False,True
paulmillr/chokidar,4090287,False,False,False,True
paulmillr/readdirp,4494405,False,False,False,True
pcre2project/pcre2,398251321,False,False,False,True
pest-parser/pest,56964647,False,False,False,True
peternator7/strum,80964373,False,False,False,True
petkaantonov/bluebird,12670444,False,False,False,True
pexpect/ptyprocess,24727748,False,False,False,True
pillarjs/encodeurl,60721766,False,False,False,True
pillarjs/finalhandler,20547377,False,False,False,True
pillarjs/iconv-lite,2743221,False,False,False,True
pillarjs/parseurl,17533192,False,False,False,True
pillarjs/path-to-regexp,5265803,False,False,False,True
pillarjs/send,4879977,False,False,False,True
pkgconf/pkgconf,4180110,False,False,False,True
pnggroup/libpng,3768025,False,False,False,True
postcss/postcss,13078968,False,False,False,True
