"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"azure-mgmt-redhatopenshift","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-redis","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-relay","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-reservations","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-resource","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-resource-deployments","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-resource-deploymentscripts","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-resource-deploymentstacks","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-resource-templatespecs","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-scheduler","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-search","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-security","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-servicebus","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-servicefabric","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-servicefabricmanagedclusters","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-servicelinker","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-signalr","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-sql","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-sqlvirtualmachine","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-storage","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-subscription","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-synapse","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-trafficmanager","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-mgmt-web","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-monitor-opentelemetry","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-monitor-opentelemetry-exporter","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-monitor-query","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-multiapi-storage","https://github.com/azure/azure-multiapi-storage-python.git","","","","","","",""
"azure-nspkg","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-schemaregistry","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-search-documents","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-servicebus","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-servicefabric","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-servicemanagement-legacy","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-storage","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-storage-blob","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-storage-common","https://github.com/azure/azure-storage-python.git","","","","","","",""
"azure-storage-file","https://github.com/azure/azure-storage-python.git","","","","","","",""
"azure-storage-file-datalake","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-storage-file-share","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-storage-nspkg","https://github.com/azure/azure-storage-python.git","","","","","","",""
"azure-storage-queue","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-synapse-accesscontrol","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-synapse-artifacts","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-synapse-managedprivateendpoints","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
"azure-synapse-nspkg","https://github.com/azure/azure-sdk-for-python.git","","","","","","",""
