"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"criterion-rs/criterion.rs","github","gh/1081104682","https://github.com/criterion-rs/criterion.rs.git","","True","crates","1","crates","criterion","64.6109","80.85","A","","","A","","53.82","1","66.84"
"dateutil/dateutil","github","gh/26876372","https://github.com/dateutil/dateutil.git","","True","pypi","1","pypi","python-dateutil","77.7887","84.55","A","","A","","","50.81","1","66.72"
"emotion-js/emotion","github","gh/92570536","https://github.com/emotion-js/emotion.git","","True","npm","17","npm","@emotion/memoize","61.3604","68.71","A","A","","","","56.06","1","66.64"
"dtolnay/quote","github","gh/67273122","https://github.com/dtolnay/quote.git","","True","crates","1","crates","quote","77.9225","83.91","A","","","A","","50.75","1","66.63"
"ai/nanoid","github","gh/99401299","https://github.com/ai/nanoid.git","","True","npm","1","npm","nanoid","40.0548","61.87","A","A","","","","60.71","1","66.62"
"ajv-validator/ajv","github","gh/35914020","https://github.com/ajv-validator/ajv.git","","True","npm","1","npm","ajv","60.7593","68.46","A","A","","","","56.11","1","66.59"
"jridgewell/sourcemaps","github","gh/897142826","https://github.com/jridgewell/sourcemaps.git","","True","npm","4","npm","@jridgewell/sourcemap-codec","78.4627","74.89","A","A","","","","52.02","1","66.55"
"isaacs/node-lru-cache","github","gh/679662","https://github.com/isaacs/node-lru-cache.git","","True","npm","1","npm","lru-cache","67.4727","71.01","A","A","","","","54.45","1","66.52"
"pallets/jinja","github","gh/994551","https://github.com/pallets/jinja.git","","True","pypi","1","pypi","jinja2","47.2217","75.12","A","","A","","","57.09","1","66.49"
"socketio/socket.io","github","gh/557980","https://github.com/socketio/socket.io.git","","True","npm","5","npm","engine.io-parser","26.4483","57.19","A","A","","","","63.44","1","66.43"
"giampaolo/psutil","github","gh/20101515","https://github.com/giampaolo/psutil.git","","True","pypi","1","pypi","psutil","32.9504","70.69","A","","A","","","60.06","1","66.40"
"evanw/esbuild","github","gh/61137153","https://github.com/evanw/esbuild.git","","True","npm","22","npm","esbuild","39.3437","61.70","A","A","","","","60.46","1","66.38"
"chalk/chalk","github","gh/11855195","https://github.com/chalk/chalk.git","","True","npm","1","npm","chalk","76.1039","73.49","A","A","","","","52.02","1","66.17"
"lxml/lxml","github","gh/1353927","https://github.com/lxml/lxml.git","","True","pypi","1","pypi","lxml","32.0475","70.31","A","","A","","","59.74","1","66.08"
"coveragepy/coveragepy","github","gh/138421996","https://github.com/coveragepy/coveragepy.git","","True","pypi","1","pypi","coverage","29.1673","68.49","A","","A","","","60.44","1","66.03"
"git/gettext","custom","","https://git.savannah.gnu.org/git/gettext.git","","True","cpp","1","cpp","gettext","56.9375","75.08","A","","","","A","","","66.01"
"seanmonstar/reqwest","github","gh/62350380","https://github.com/seanmonstar/reqwest.git","","True","crates","1","crates","reqwest","29.8898","68.56","A","","","A","","60.27","1","66.01"
"jpadilla/pyjwt","github","gh/1408162","https://github.com/jpadilla/pyjwt.git","","True","pypi","1","pypi","pyjwt","42.9093","74.20","A","","A","","","56.98","1","65.90"
"textualize/rich","github","gh/220809393","https://github.com/textualize/rich.git","","True","pypi","2","pypi","rich","38.7531","72.14","A","","A","","","57.80","1","65.77"
"rustcrypto/utils","github","gh/77307442","https://github.com/rustcrypto/utils.git","","True","crates","17","crates","zeroize","60.0594","78.77","A","","","A","","52.96","1","65.66"
