"package","year","downloads","fetched_at"
"@algolia/requester-node-http","2024","81400777","2026-03-29 00:00:00.000000"
"@algolia/requester-node-http","2025","137422540","2026-03-29 00:00:00.000000"
"@algorithm.ts/lcs","2021","0","2026-03-29 00:00:00.000000"
"@algorithm.ts/lcs","2022","34940","2026-03-29 00:00:00.000000"
"@algorithm.ts/lcs","2023","17515","2026-03-29 00:00:00.000000"
"@algorithm.ts/lcs","2024","61327","2026-03-29 00:00:00.000000"
"@algorithm.ts/lcs","2025","419075","2026-03-29 00:00:00.000000"
"@altano/repository-tools","2021","0","2026-03-29 00:00:00.000000"
"@altano/repository-tools","2022","0","2026-03-29 00:00:00.000000"
"@altano/repository-tools","2023","0","2026-03-29 00:00:00.000000"
"@altano/repository-tools","2024","586319","2026-03-29 00:00:00.000000"
"@altano/repository-tools","2025","3714285","2026-03-29 00:00:00.000000"
"@amazon-connect/activity","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/activity","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/activity","2023","0","2026-03-29 00:00:00.000000"
"@amazon-connect/activity","2024","0","2026-03-29 00:00:00.000000"
"@amazon-connect/activity","2025","37416","2026-03-29 00:00:00.000000"
"@amazon-connect/contact","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/contact","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/contact","2023","80","2026-03-29 00:00:00.000000"
"@amazon-connect/contact","2024","17053","2026-03-29 00:00:00.000000"
"@amazon-connect/contact","2025","73647","2026-03-29 00:00:00.000000"
"@amazon-connect/core","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/core","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/core","2023","726","2026-03-29 00:00:00.000000"
"@amazon-connect/core","2024","41188","2026-03-29 00:00:00.000000"
"@amazon-connect/core","2025","1856074","2026-03-29 00:00:00.000000"
"@amazon-connect/site","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site","2023","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site","2024","15919","2026-03-29 00:00:00.000000"
"@amazon-connect/site","2025","1783192","2026-03-29 00:00:00.000000"
"@amazon-connect/site-streams","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site-streams","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site-streams","2023","0","2026-03-29 00:00:00.000000"
"@amazon-connect/site-streams","2024","15901","2026-03-29 00:00:00.000000"
"@amazon-connect/site-streams","2025","1773749","2026-03-29 00:00:00.000000"
"@amazon-connect/voice","2021","0","2026-03-29 00:00:00.000000"
"@amazon-connect/voice","2022","0","2026-03-29 00:00:00.000000"
"@amazon-connect/voice","2023","68","2026-03-29 00:00:00.000000"
"@amazon-connect/voice","2024","6429","2026-03-29 00:00:00.000000"
"@amazon-connect/voice","2025","16617","2026-03-29 00:00:00.000000"
