"formula","dep_name","dep_type","fetched_at"
"apache-arrow","abseil","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","aws-crt-cpp","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","aws-sdk-cpp","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","brotli","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","grpc","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","llvm","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","lz4","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","openssl@3","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","protobuf","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","re2","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","snappy","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","thrift","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","utf8proc","runtime","2026-04-16 22:49:08.142515"
"apache-arrow","zstd","runtime","2026-04-16 22:49:08.142515"
"apache-arrow-adbc","cmake","build","2026-04-16 22:49:08.142515"
"apache-arrow-adbc","pkgconf","build","2026-04-16 22:49:08.142515"
"apache-arrow-adbc-glib","gobject-introspection","build","2026-04-16 22:49:08.142515"
"apache-arrow-adbc-glib","meson","build","2026-04-16 22:49:08.142515"
