repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
gnome/pango,4537144,ok,293,6038,3.4,,2026-05-19T11:24:07+00:00
gnutls/gnutls,58873704,ok,269,21196,13.7,,2026-05-19T11:24:09+00:00
gnutls/libtasn1,59017205,ok,29,1626,0.7,,2026-05-19T11:24:10+00:00
gnutls/nettle,59017402,ok,78,4759,1.1,,2026-05-19T11:24:11+00:00
google/brotli,24993138,ok,144,1079,0.8,,2026-05-19T11:24:11+00:00
google/zerocopy,534354967,ok,82,1660,1.8,,2026-05-19T11:24:12+00:00
googleapis/google-cloud-python,16316451,ok,1170,60277,8.5,,2026-05-19T11:24:12+00:00
googlechrome/workbox,55424670,ok,94,1335,15.8,,2026-05-19T11:24:12+00:00
gpg/libgpg-error,42075984,ok,57,1416,1.5,,2026-05-19T11:24:12+00:00
grahamdumpleton/wrapt,10357291,ok,38,1121,0.6,,2026-05-19T11:24:13+00:00
grantjenks/python-sortedcontainers,17144859,ok,25,632,0.7,,2026-06-28T14:47:38+00:00
graydon/exhaustigen-rs,432630522,ok,1,1,0.8,,2026-05-19T11:24:14+00:00
gregberge/svgr,102155012,ok,138,585,1.3,,2026-05-19T11:24:14+00:00
grncdr/merge-stream,10579821,ok,12,54,0.8,,2026-05-19T11:24:14+00:00
grpc/grpc,27729880,ok,1260,40916,12.2,,2026-05-19T11:24:15+00:00
gsnedders/python-webencodings,7043404,ok,6,43,0.7,,2026-05-19T11:24:16+00:00
guillaumegomez/doc-comment,127254922,ok,2,44,1.0,,2026-05-19T11:24:16+00:00
gulpjs/glob-parent,29154915,ok,13,89,0.5,,2026-05-19T11:24:17+00:00
gweis/isodate,6449370,ok,28,163,0.5,,2026-05-19T11:24:18+00:00
gyscos/zstd-rs,52115335,ok,67,527,0.7,,2026-05-19T11:24:18+00:00
hapijs/hoek,5831189,ok,67,573,18.1,,2026-05-19T11:24:19+00:00
harfbuzz/harfbuzz,5050525,ok,341,20567,7.1,,2026-05-19T11:24:19+00:00
hiddentao/fast-levenshtein,9490451,ok,10,56,0.5,,2026-05-19T11:24:23+00:00
httplib2/httplib2,53002916,ok,86,557,0.7,,2026-05-19T11:24:24+00:00
hukkin/tomli,370616797,ok,18,312,0.6,,2026-05-19T11:24:24+00:00
