url,valid,method,checked_at
https://gitlab.com/wireshark/wireshark.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/wufz/io-close.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/xmpp-rs/xmpp-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.com/zhiburt/ansitok.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.dkrz.de/k202009/libaec.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.exherbo.org/sydbox/sydbox.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/dbus/dbus-python.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/emersion/libdisplay-info.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/fontconfig/fontconfig.git,True,ls-remote,2026-06-28T13:20:44Z
https://gitlab.freedesktop.org/geoclue/geoclue/wikis/home.git,False,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/glvnd/libglvnd.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/gstreamer/gstreamer-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/gstreamer/gstreamer.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/libbsd/libbsd.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/libbsd/libmd.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/libdecor/libdecor.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/libinput/libei.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/libspectre/libspectre.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/mesa/drm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/mesa/glu.git,True,ls-remote,2026-07-06T10:53:22Z
https://gitlab.freedesktop.org/mesa/mesa.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/mobile-broadband/libqrtr-glib.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/networkmanager/networkmanager.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/pipewire/pipewire-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/pipewire/wireplumber.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/poppler/poppler.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/pulseaudio/pulseaudio.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/pwithnall/malcontent.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/pwithnall/uhttpmock.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/slirp/libslirp.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/spice/libcacard.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/uchardet/uchardet.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/wayland/wayland-protocols.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/wayland/wayland.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xdg/shared-mime-info.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/app/xauth.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/app/xkbcomp.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/xorg/lib/libapplewm.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/xorg/lib/libice.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libpciaccess.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libsm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxaw.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxcursor.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxfixes.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxfont.git,True,ls-remote,2026-05-17T23:15:11Z
https://gitlab.freedesktop.org/xorg/lib/libxft.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxi.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxinerama.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxmu.git,True,ls-remote,2026-04-27T20:41:04Z
