"package","dependency","type"
"gimme-aws-creds","cryptography","runtime"
"gimme-aws-creds","libyaml","runtime"
"gimme-aws-creds","python@3.14","runtime"
"git","gettext","runtime"
"git","pcre2","runtime"
"git-crypt","openssl@4","runtime"
"git-delta","libgit2","runtime"
"git-delta","oniguruma","runtime"
"git-gui","tcl-tk","runtime"
"gitui","openssl@3","runtime"
"gl2ps","libpng","runtime"
"glances","certifi","runtime"
"glances","cryptography","runtime"
"glances","pydantic","runtime"
"glances","python@3.14","runtime"
"glib","gettext","runtime"
"glib","pcre2","runtime"
"glib-networking","gettext","runtime"
"glib-networking","glib","runtime"
"glib-networking","gnutls","runtime"
"glib-networking","gsettings-desktop-schemas","runtime"
"glibc","linux-headers@6.8","runtime"
"glog","gflags","runtime"
"glslang","spirv-headers","runtime"
"glslang","spirv-tools","runtime"
"gnupg","gettext","runtime"
"gnupg","gnutls","runtime"
"gnupg","libassuan","runtime"
"gnupg","libgcrypt","runtime"
"gnupg","libgpg-error","runtime"
"gnupg","libksba","runtime"
"gnupg","libusb","runtime"
"gnupg","npth","runtime"
"gnupg","pinentry","runtime"
"gnupg","readline","runtime"
"gnuplot","cairo","runtime"
"gnuplot","gd","runtime"
"gnuplot","gettext","runtime"
"gnuplot","glib","runtime"
"gnuplot","harfbuzz","runtime"
"gnuplot","libcerf","runtime"
"gnuplot","lua","runtime"
"gnuplot","pango","runtime"
"gnuplot","qt5compat","runtime"
"gnuplot","qtbase","runtime"
"gnuplot","qtsvg","runtime"
"gnuplot","readline","runtime"
"gnuplot","webp","runtime"
"gnuradio","adwaita-icon-theme","runtime"
"gnuradio","boost","runtime"
"gnuradio","cppzmq","runtime"
"gnuradio","fftw","runtime"
"gnuradio","fmt","runtime"
"gnuradio","gmp","runtime"
"gnuradio","gsl","runtime"
"gnuradio","gtk+3","runtime"
"gnuradio","jack","runtime"
"gnuradio","libsndfile","runtime"
"gnuradio","libyaml","runtime"
"gnuradio","numpy","runtime"
"gnuradio","portaudio","runtime"
"gnuradio","pygobject3","runtime"
"gnuradio","pyqt@5","runtime"
"gnuradio","python@3.14","runtime"
"gnuradio","qt@5","runtime"
"gnuradio","qwt-qt5","runtime"
"gnuradio","rpds-py","runtime"
"gnuradio","soapyrtlsdr","runtime"
"gnuradio","soapysdr","runtime"
"gnuradio","spdlog","runtime"
"gnuradio","uhd","runtime"
"gnuradio","volk","runtime"
"gnuradio","zeromq","runtime"
"gnutls","ca-certificates","runtime"
"gnutls","gettext","runtime"
"gnutls","gmp","runtime"
"gnutls","libidn2","runtime"
"gnutls","libtasn1","runtime"
"gnutls","libunistring","runtime"
"gnutls","nettle","runtime"
"gnutls","p11-kit","runtime"
"gobject-introspection","cairo","runtime"
"gobject-introspection","glib","runtime"
"gobject-introspection","pkgconf","runtime"
"gobject-introspection","python@3.14","runtime"
"golangci-lint","go","runtime"
"gpgme","gnupg","runtime"
"gpgme","libassuan","runtime"
"gpgme","libgpg-error","runtime"
"gpgmepp","gpgme","runtime"
"gradle","gradle-completion","runtime"
"gradle","openjdk","runtime"
"graphene","gettext","runtime"
"graphene","glib","runtime"
"graphicsmagick","freetype","runtime"
"graphicsmagick","jasper","runtime"
"graphicsmagick","jpeg-turbo","runtime"
"graphicsmagick","jpeg-xl","runtime"
"graphicsmagick","libheif","runtime"
"graphicsmagick","libpng","runtime"
"graphicsmagick","libtiff","runtime"
"graphicsmagick","libtool","runtime"
"graphicsmagick","little-cms2","runtime"
"graphicsmagick","webp","runtime"
"graphicsmagick","zstd","runtime"
"graphviz","cairo","runtime"
"graphviz","fontconfig","runtime"
"graphviz","freetype","runtime"
"graphviz","gd","runtime"
"graphviz","gdk-pixbuf","runtime"
"graphviz","gettext","runtime"
"graphviz","glib","runtime"
"graphviz","gts","runtime"
"graphviz","harfbuzz","runtime"
"graphviz","libpng","runtime"
"graphviz","librsvg","runtime"
"graphviz","libtool","runtime"
"graphviz","pango","runtime"
"graphviz","webp","runtime"
"grep","pcre2","runtime"
"groff","ghostscript","runtime"
"groff","netpbm","runtime"
"groff","psutils","runtime"
"groff","uchardet","runtime"
"groonga","lz4","runtime"
"groonga","mecab","runtime"
"groonga","mecab-ipadic","runtime"
"groonga","msgpack","runtime"
"groonga","onigmo","runtime"
"groonga","simdjson","runtime"
"groonga","zstd","runtime"
"groovy","openjdk","runtime"
"grpc","abseil","runtime"
"grpc","c-ares","runtime"
"grpc","openssl@3","runtime"
"grpc","protobuf","runtime"
"grpc","re2","runtime"
"gsettings-desktop-schemas","glib","runtime"
"gspell","at-spi2-core","runtime"
"gspell","cairo","runtime"
"gspell","enchant","runtime"
"gspell","gdk-pixbuf","runtime"
"gspell","gettext","runtime"
"gspell","glib","runtime"
"gspell","gtk+3","runtime"
"gspell","harfbuzz","runtime"
"gspell","icu4c@78","runtime"
"gspell","pango","runtime"
"gstreamer","aom","runtime"
"gstreamer","cairo","runtime"
"gstreamer","dav1d","runtime"
"gstreamer","faac","runtime"
"gstreamer","faad2","runtime"
"gstreamer","fdk-aac","runtime"
"gstreamer","ffmpeg","runtime"
"gstreamer","flac","runtime"
"gstreamer","gdk-pixbuf","runtime"
"gstreamer","gettext","runtime"
"gstreamer","glib","runtime"
"gstreamer","graphene","runtime"
"gstreamer","gtk+3","runtime"
"gstreamer","gtk4","runtime"
"gstreamer","harfbuzz","runtime"
"gstreamer","imath","runtime"
"gstreamer","jpeg-turbo","runtime"
"gstreamer","json-glib","runtime"
"gstreamer","lame","runtime"
"gstreamer","libass","runtime"
"gstreamer","libnice","runtime"
"gstreamer","libogg","runtime"
"gstreamer","libpng","runtime"
"gstreamer","librsvg","runtime"
"gstreamer","libshout","runtime"
"gstreamer","libsndfile","runtime"
"gstreamer","libsodium","runtime"
"gstreamer","libsoup","runtime"
"gstreamer","libusrsctp","runtime"
"gstreamer","libvmaf","runtime"
"gstreamer","libvorbis","runtime"
"gstreamer","libvpx","runtime"
"gstreamer","libx11","runtime"
