"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"docker","docker/cli","https://github.com/docker/cli.git","","go","532299","0","707814","239614","518365","663406","True","False","False","0.00122268","B","apache-2.0"
"libass","libass/libass","https://github.com/libass/libass.git","","c/c++","523758","0","1016533","168937","545196","364369","True","True","True","0.00122240","B","isc"
"nspr","","","","c/c++","180335","0","403409","37807","116739","163386","True","True","False","0.00121128","B","mpl-2.0"
"rubberband","","","","c/c++","521210","0","1233867","245444","302391","303140","True","True","False","0.00121113","B","gpl-2.0-or-later"
"double-conversion","google/double-conversion","https://github.com/google/double-conversion.git","","c/c++","286751","0","666887","136324","152151","191642","True","True","True","0.00121013","B","bsd-3-clause"
"libfido2","Yubico/libfido2","https://github.com/yubico/libfido2.git","","c/c++","428495","0","996262","184873","352371","180475","True","True","True","0.00120458","B","bsd-2-clause"
"libsamplerate","libsndfile/libsamplerate","https://github.com/libsndfile/libsamplerate.git","","c/c++","291149","0","616921","123071","205001","219606","True","True","False","0.00120172","B","bsd-2-clause"
"z3","Z3Prover/z3","https://github.com/z3prover/z3.git","","c/c++","371464","0","276404","112337","510498","586619","True","True","False","0.00119567","B","mit"
"libcbor","PJK/libcbor","https://github.com/pjk/libcbor.git","","c/c++","295006","0","717435","100741","224915","136936","True","True","True","0.00119115","B","mit"
"svt-av1","","https://gitlab.com/aomediacodec/svt-av1.git","","c/c++","402269","0","239974","240854","557142","571106","True","True","False","0.00118877","B","bsd-3-clause"
"jq","jqlang/jq","https://github.com/jqlang/jq.git","","c/c++","517103","0","608777","250050","568956","640630","True","True","True","0.00118777","B","mit"
"netpbm","","","","c/c++","457559","0","875415","239127","359471","356225","True","True","False","0.00118331","B","gpl-3.0-or-later"
"libgit2","libgit2/libgit2","https://github.com/libgit2/libgit2.git","","c/c++","203009","0","70927","71862","364891","304356","True","True","True","0.00115824","B","gpl-2.0-only with gcc-exception-2.0"
"wangle","facebook/wangle","https://github.com/facebook/wangle.git","","c/c++","440946","0","896583","220266","389071","257867","True","True","False","0.00114582","B","apache-2.0"
"libvorbis","","","","c/c++","256517","0","493344","87499","211088","234138","True","True","False","0.00114515","B","bsd-3-clause"
"cryptography","","","","rust","376711","0","0","42","526478","603614","True","False","False","0.00112067","B","apache-2.0 or bsd-3-clause"
"numpy","","","","c/c++","440092","0","589182","144545","623393","403250","True","True","False","0.00111094","B","bsd-3-clause"
"helm","helm/helm","https://github.com/helm/helm.git","","go","454806","0","628822","200068","479448","510887","True","False","False","0.00110955","B","apache-2.0"
"nvm","nvm-sh/nvm","https://github.com/nvm-sh/nvm.git","","c/c++","481434","0","827523","235816","421318","441082","True","True","False","0.00110584","B","mit"
"lame","","","","c/c++","253156","0","454009","93265","219040","246312","True","True","False","0.00109765","B","lgpl-2.0-or-later"
"python-setuptools","","","","python","476082","0","0","0","590666","361498","True","False","False","0.00109355","B","mit"
"libksba","","","","c/c++","402629","0","832902","146345","403227","228045","True","True","False","0.00108842","B","lgpl-3.0-or-later or gpl-2.0-or-later"
"libgcrypt","","","","c/c++","374095","0","568298","160507","307085","460493","True","True","False","0.00108410","B","lgpl-2.1-or-later and gpl-2.0-or-later"
"libssh","","","","c/c++","405225","0","528589","131743","540928","419642","True","True","False","0.00108168","B","lgpl-2.1-or-later"
"x264","","https://code.videolan.org/videolan/x264.git","","c/c++","353427","0","795901","87923","246240","283645","True","True","False","0.00108137","B","gpl-2.0-or-later"
"srt","Haivision/srt","https://github.com/haivision/srt.git","","c/c++","464860","0","1012893","204712","305709","336128","True","True","False","0.00107935","B","mpl-2.0"
"libzip","","","","c/c++","388245","0","820296","180733","243219","308735","True","True","False","0.00107344","B","bsd-3-clause"
