"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"libgpg-error","","","","","","",""
"libgphoto2","","","","","","",""
"libgsf","","https://gitlab.gnome.org/gnome/libgsf.git","","","","",""
"libhandy","","https://gitlab.gnome.org/gnome/libhandy.git","","","","",""
"libharu","https://github.com/libharu/libharu.git","","","","","",""
"libheif","https://github.com/strukturag/libheif.git","","","","","",""
"libice","","","","","","",""
"libiconv","","","","","","",""
"libidn","","","","","","",""
"libidn2","","","","","","",""
"libimagequant","https://github.com/imageoptim/libimagequant.git","","","","","",""
"libimobiledevice","https://github.com/libimobiledevice/libimobiledevice.git","","","","","",""
"libimobiledevice-glue","https://github.com/libimobiledevice/libimobiledevice-glue.git","","","","","",""
"libiscsi","https://github.com/sahlberg/libiscsi.git","","","","","",""
"libkml","https://github.com/libkml/libkml.git","","","","","",""
"libksba","","","","","","",""
