"package","avg_downloads","2021","2022","2023","2024","2025"
"git-gui","102727","0","201599","41942","92563","74804"
"gtk4","100659","0","18130","69797","182982","131728"
"scrcpy","100474","0","130768","51212","113305","106614"
"jansson","100151","0","260787","30024","48405","61388"
"libvterm","99457","0","225517","52449","88696","31168"
"py3cairo","99421","0","130881","48305","137369","81132"
"eigen","98603","0","142292","40595","94982","116545"
"clang-format","98106","0","132426","48392","106081","105525"
"fd","97972","0","144024","23607","107766","116491"
"doxygen","97634","0","142639","42662","108545","96690"
"pygobject3","97625","0","124742","51564","122104","92090"
"swig","96459","0","154515","33341","90637","107346"
"shellcheck","96304","0","70454","22701","125533","166529"
"aws-sdk-cpp","94341","0","86792","72175","112082","106315"
"graphicsmagick","93974","0","122936","57548","119599","75814"
"pugixml","93632","0","134067","14825","166611","59028"
"simdjson","93378","0","1144","603","2990","368777"
"unibilium","93304","0","154685","27235","104900","86399"
"berkeley-db","92616","0","247159","106274","11615","5419"
"grep","91840","0","196725","58267","47748","64623"
"vtk","91433","0","139854","46618","100555","78705"
"pillow","91084","0","120205","38579","106096","99459"
"ffmpeg@4","90920","0","241524","30313","60317","31529"
"libimagequant","90806","0","170964","34239","82521","75503"
"wimlib","90303","0","178425","60563","67286","54938"
"hiredis","90297","0","101720","50816","99829","108823"
"groonga","90009","0","188778","38922","70847","61489"
"libmng","89572","0","230702","22697","58639","46253"
"postgresql@15","89172","0","25506","65593","136257","129335"
"libxtst","88422","0","4773","21595","176645","150677"
"node@22","87927","0","0","0","25411","150443"
"jsoncpp","87412","0","74626","55116","158331","61576"
"cloudflared","87278","0","20120","13820","131707","183467"
"node@18","86982","0","62655","69763","131089","84421"
"fastfetch","86420","0","959","2375","107891","234456"
"cfitsio","86102","0","158496","29261","86666","69987"
"mvfst","86003","0","0","1695","192214","64100"
"p7zip","85932","0","111281","37994","76560","117895"
"popt","85837","0","211392","24968","49050","57939"
"tflint","85765","0","89157","39571","102493","111841"
"swiftformat","84357","0","56906","48236","118114","114174"
"mariadb","84311","0","147170","43007","84550","62520"
"hicolor-icon-theme","84232","0","95597","34335","114598","92401"
"pyenv-virtualenv","83753","0","128718","34859","105633","65802"
"lazygit","83329","0","37708","25912","82848","186850"
"ipython","83029","0","146220","53539","79397","52962"
"pyqt","81996","0","71168","33803","119726","103287"
"docbook","81968","0","241309","8467","35607","42490"
"libepoxy","81254","0","133052","35450","79842","76672"
"age","81122","0","7025","3567","272546","41352"
"rabbitmq","80962","0","153407","46233","72204","52006"
"md4c","80766","0","94874","19592","123981","84619"
"hello","80754","0","1782","10760","49997","260480"
"glib-networking","80390","0","104923","61917","100784","53938"
"pyqt@5","80376","0","202801","40050","41212","37441"
"docbook-xsl","80145","0","239797","7900","34687","38198"
"llama.cpp","79971","0","0","0","32770","127172"
"acl","78861","0","0","6255","73863","156467"
"fftw","78727","0","132896","25024","64916","92073"
"rsync","77761","0","150682","33166","52845","74352"
"httpie","77298","0","96409","46589","98849","67348"
"geos","76246","0","151139","31826","63620","58400"
"gawk","75556","0","172143","34047","57442","38595"
"alsa-lib","75135","0","0","26752","97050","101605"
"libsoup","74525","0","115016","45045","79207","58834"
"act","74271","0","94490","37089","82607","82899"
"gnuplot","73549","0","135612","47897","59340","51350"
"tcl-tk@8","73084","0","0","0","40197","105971"
"openssh","72811","0","98739","43258","79967","69283"
"systemd","72406","0","0","20132","85990","111098"
"ffmpeg@6","72395","0","0","0","105230","39560"
"json-c","72181","0","131259","31923","66812","58732"
"libmagic","71507","0","142761","33769","53202","56297"
"aws-sam-cli","70489","0","7453","32245","134881","107380"
"wireshark","70267","0","108530","33209","64313","75016"
"exiftool","69726","0","81648","23447","65265","108546"
"kind","69528","0","88868","32794","81462","74988"
"orc","69087","0","93020","36111","96135","51082"
"adwaita-icon-theme","69056","0","103004","25711","83577","63932"
"llvm@19","68755","0","0","0","0","68755"
"vips","68640","0","107771","35160","73957","57675"
"net-snmp","68153","0","12478","31852","73875","154407"
"parallel","67410","0","84324","27043","77456","80817"
"go-task","67155","0","1390","8824","140642","117764"
"mysql@8.0","67140","0","0","2587","77608","121227"
"midnight-commander","66679","0","117944","35906","64927","47941"
"swiftgen","66615","0","24209","30269","97090","114892"
"jenv","65775","0","136805","25201","52667","48428"
"libpsl","65530","0","96548","34517","90792","40266"
"xmlto","65496","0","232705","1437","15028","12816"
"php@8.2","64720","0","0","0","76168","53273"
"elfutils","64564","0","0","25227","69981","98485"
"postgresql@16","64358","0","0","1749","94481","96846"
"aws-iam-authenticator","63771","0","141473","25181","48463","39970"
"minizip","63344","0","137098","22770","55086","38424"
"protobuf@21","62866","0","0","88753","86450","13397"
"portaudio","62688","0","77913","26969","67587","78284"
"aria2","62538","0","108543","38599","45464","57549"
"certbot","62442","0","106710","26718","61899","54444"
"sbt","61593","0","110576","34523","55757","45519"
"xctesthtmlreport","61481","0","8341","13737","125269","98579"
"r","61478","0","109759","29487","56468","50198"
"zip","61097","0","7304","26210","96348","114527"
"nasm","60871","0","80113","18358","70055","74960"
"utf8cpp","60420","0","102201","25366","50773","63340"
"just","60007","0","20533","14536","65440","139520"
"python-tk@3.13","59768","0","0","0","21270","98267"
"trivy","59690","0","20385","15305","91096","111976"
"luajit-openresty","58689","0","191827","21514","16067","5350"
"zsh-syntax-highlighting","58409","0","92536","22717","61162","57221"
"php@8.1","58032","0","55105","58489","71926","46610"
"protobuf-c","57921","0","82950","26579","70314","51842"
"node-build","57793","0","113148","27284","53233","37509"
"openjdk@8","57693","0","140155","27533","35730","27357"
"grpcurl","57374","0","41726","10554","61250","115967"
"dtc","57133","0","6144","29366","124374","68648"
"libxslt","56911","0","43894","32737","75587","75429"
"libxt","56866","0","24004","29772","85911","87779"
"rclone","56846","0","62931","19403","55386","89665"
"attr","56712","0","0","33796","69735","66607"
"cask","56673","0","120664","36048","32473","37510"
"glab","56585","0","12996","15733","52384","145228"
"kafka","56410","0","112543","20531","52819","39750"
"libgeotiff","56263","0","102689","23851","49915","48597"
"libice","56048","0","40116","26162","76341","81573"
"tfsec","56012","0","42571","33298","90047","58133"
"cups","55791","0","1029","25161","80382","116595"
"libcap","55416","0","0","17039","65750","83460"
"btop","55350","0","46716","7981","56709","109994"
"mercurial","55200","0","104598","30740","46802","38663"
"elixir","55191","0","83803","33200","56485","47276"
"gitleaks","55146","0","28598","28794","69934","93261"
"terminal-notifier","55071","0","83800","15591","53705","67189"
"ruff","54944","0","3302","18601","92843","105032"
"xerces-c","54586","0","97156","20149","54224","46817"
"librdkafka","54354","0","110698","29300","39699","37720"
"putty","53919","0","111769","23353","44210","36346"
"libtommath","53827","0","716","441","62585","151567"
"thrift","53749","0","60195","38511","58674","57617"
"zoxide","53428","0","27653","13890","75147","97025"
"texinfo","53303","0","98809","33210","43572","37622"
"kubectx","53246","0","95207","31121","45048","41609"
"postgresql@17","53069","0","0","0","14734","91404"
"libsm","53003","0","33304","24084","69678","84948"
"openvpn","52891","0","77841","38889","50578","44259"
"libxrandr","52743","0","23331","27782","77434","82426"
"sonar-scanner","52464","0","28996","37148","73149","70566"
"json-glib","52447","0","18984","35789","89928","65090"
"gpgmepp","52080","0","0","0","0","52080"
"eksctl","52066","0","85639","33615","49859","39153"
"libspatialite","51893","0","78146","20191","54486","54751"
"lpeg","51748","0","0","4816","81142","69287"
"ncdu","51062","0","77744","14327","47420","64758"
"mysql@8.4","51045","0","0","0","39638","62453"
"terraform-docs","50991","0","24330","24097","86276","69262"
"zsh-autosuggestions","50938","0","56951","16647","62704","67452"
"dnsmasq","50801","0","117708","20347","33463","31689"
"lzip","50795","0","9018","2917","18210","173038"
"cfn-lint","50713","0","64675","23073","70462","44645"
"gdb","50657","0","86276","23349","47325","45679"
"libgit2@1.8","50523","0","0","0","29679","71368"
"rustup","50129","0","0","0","31559","68699"
"iperf3","49914","0","58627","22443","45895","72693"
"lcov","49842","0","23209","25299","52268","98595"
"ansible-lint","49635","0","62705","24617","51681","59539"
"jfrog-cli","49564","0","76846","25617","42239","53554"
"mesa","49254","0","50486","12070","63521","70939"
"mas","49090","0","44438","10902","40257","100764"
"ceres-solver","48706","0","108276","18719","39029","28801"
"k6","48528","0","63075","21526","47366","62145"
"blake3","48358","0","0","161","42216","102698"
"mpv","47867","0","46002","23930","56897","64642"
"socat","47484","0","79804","13352","45699","51082"
"libimobiledevice","47463","0","65197","26703","50884","47068"
"chezmoi","47221","0","38989","20597","45294","84007"
"sourcekitten","47123","0","7093","9458","57109","114835"
"llvm@18","46983","0","0","0","53376","40591"
"libtermkey","46927","0","149037","22603","15701","368"
"yamllint","46740","0","78601","34058","34922","39381"
"actionlint","46550","0","6028","4742","85950","89481"
"rust-analyzer","46508","0","76781","24458","44191","40605"
"tailscale","46425","0","16030","9087","25567","135019"
"pybind11","46182","0","82901","18030","44809","38991"
"python-tk@3.10","46115","0","103150","23943","30301","27067"
"python-tk@3.12","46083","0","0","0","60268","31898"
"neofetch","46009","0","64772","18344","62636","38286"
"black","45582","0","47298","28823","75798","30412"
"carthage","45354","0","81326","35352","39601","25140"
"postgresql@13","45267","0","108882","25710","30808","15670"
"aws-crt-cpp","45263","0","0","0","2932","87594"
"hub","45257","0","21589","31741","115653","12045"
"opentofu","44959","0","0","0","35672","54246"
"zsh-completions","44742","0","103114","22896","26442","26516"
"python-tk@3.9","44707","0","113829","17698","26796","20507"
"libcerf","44550","0","116473","17916","16181","27633"
"circleci","44444","0","91857","29511","29883","26525"
"docker-machine","43952","0","86768","22430","35453","31159"
