"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"path-key","sindresorhus/path-key","3449793390","1837594866","2581621394","3334968576","4022662249","5472119865","True","0.00134870","A","https://github.com/sindresorhus/path-key.git","eco","gh/48706449","","mit"
"is-fullwidth-code-point","sindresorhus/is-fullwidth-code-point","4706890774","3019697029","4053789992","4478427568","4929268537","7053270744","True","0.00133755","A","https://github.com/sindresorhus/is-fullwidth-code-point.git","eco","gh/39222301","","mit"
"resolve-from","sindresorhus/resolve-from","3884918762","2359454888","3220309641","3751914612","4239484705","5853429968","True","0.00133552","A","https://github.com/sindresorhus/resolve-from.git","eco","gh/22022707","","mit"
"json-schema-traverse","epoberezkin/json-schema-traverse","4049056696","1797392941","3021909408","4048922097","4806755631","6570303405","True","0.00132874","A","https://github.com/epoberezkin/json-schema-traverse.git","eco","gh/93333933","","mit"
"@babel/template","babel/babel","2320849551","1415747586","1899448708","2238230917","2575836687","3474983861","True","0.00131584","A","https://github.com/babel/babel.git","eco","gh/24560307","","mit"
"camelcase","sindresorhus/camelcase","4053095470","2836277164","3685201057","4077108770","4226262224","5440628138","True","0.00127443","A","https://github.com/sindresorhus/camelcase.git","eco","gh/25116836","","mit"
"yallist","isaacs/yallist","5390134991","2507289225","3520412360","5952456329","7187337331","7783179711","True","0.00127233","A","https://github.com/isaacs/yallist.git","eco","gh/48222381","","blueoak-1.0.0"
"unicorn-magic","sindresorhus/unicorn-magic","332554983","0","0","4813521","231973854","760877576","True","0.00126838","A","https://github.com/sindresorhus/unicorn-magic.git","eco","gh/716660564","","mit"
"buffer","feross/buffer","2785211646","1641197624","2194045309","2676583774","3214492534","4199738993","True","0.00126343","A","https://github.com/feross/buffer.git","eco","gh/14494363","","mit"
"@types/istanbul-lib-coverage","definitelytyped/definitelytyped","1126184996","608996876","896286687","1101465440","1298071556","1726104423","True","0.00124922","A","https://github.com/definitelytyped/definitelytyped.git","eco","gh/6093316","","mit"
"isarray","juliangruber/isarray","4404556181","2461718922","3393971833","4406969679","5090979894","6669140581","True","0.00124614","A","https://github.com/juliangruber/isarray.git","eco","gh/10227611","","mit"
"schema-utils","webpack/schema-utils","3832204059","2329955006","3781872756","4418885875","4108024892","4522281768","True","0.00122345","A","https://github.com/webpack/schema-utils.git","eco","gh/80306715","","mit"
"mime-types","jshttp/mime-types","2718082982","1792872356","2259315938","2449243660","2673174363","4415808597","True","0.00121757","A","https://github.com/jshttp/mime-types.git","eco","gh/19380178","","mit"
"util-deprecate","tootallnate/util-deprecate","1996878292","1237303503","1620362780","1903946961","2186968686","3035809530","True","0.00120950","A","https://github.com/tootallnate/util-deprecate.git","eco","gh/19321056","","mit"
