repo_id,repo,ecosystem,value_score,risk_score
512723354,pyasn1/pyasn1-modules,pypi,49.5711,42
66012563,pytest-dev/iniconfig,pypi,40.9562,42
48707028,sindresorhus/npm-run-path,npm,39.15,42
41659073,inspect-js/is-data-descriptor,npm,38.0705,42
88415331,sindresorhus/is-wsl,npm,35.3683,42
21672939,sindresorhus/figures,npm,32.5894,42
205007356,aio-libs/aiosignal,pypi,31.3569,42
29991041,inspect-js/is-date-object,npm,31.19,42
21686666,zesterer/spin-rs,crates,30.4522,42
17789771,blakeembrey/array-flatten,npm,28.7446,42
6229722,tj/node-cookie-signature,npm,26.5305,42
149682261,inspect-js/is-bigint,npm,26.1804,42
13868694,bminor/glibc,cpp,75.7109,41
30227790,rust-random/rand,crates,73.3737,41
5187096,nodejs/readable-stream,npm,67.7683,41
24208073,isaacs/wrappy,npm,62.8379,41
92570536,emotion-js/emotion,npm,61.3647,41
242158882,python/tzdata,pypi,50.9293,41
481834578,inspect-js/has-property-descriptors,npm,48.2658,41
41905436,sindresorhus/path-type,npm,44.7291,41
32247847,reactivex/rxjs,npm,36.737,41
18991884,cheeriojs/dom-serializer,npm,35.3105,41
41790094,sindresorhus/read-pkg,npm,35.0243,41
61962375,dtolnay/itoa,crates,34.2928,41
203607977,rollup/plugins,npm,30.4733,41
24300217,jshttp/forwarded,npm,30.2998,41
50187748,sindresorhus/parent-module,npm,26.8166,41
29436825,sindresorhus/is-stream,npm,54.7407,40
29154915,gulpjs/glob-parent,npm,49.1277,40
1446467,pypa/pip,pypi,47.9546,40
41658845,inspect-js/is-descriptor,npm,46.7428,40
15186239,sindresorhus/globals,npm,44.6364,40
11205780,motdotla/dotenv,npm,35.4263,40
179492861,encode/httpx,pypi,33.5167,40
33456236,servo/rust-smallvec,crates,31.3085,40
84983058,hyperium/http,crates,30.9577,40
991475,brianc/node-postgres,npm,26.1115,40
898125972,ljharb/call-bound,npm,74.8562,39
22970419,jshttp/mime-db,npm,59.7946,39
716660564,sindresorhus/unicorn-magic,npm,52.1709,39
19103692,pallets/click,pypi,50.4305,39
24557614,mathiasbynens/emoji-regex,npm,49.239,39
