repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
ljharb/es-define-property,756570458,4.8,0,False,2026-04-27
ljharb/es-errors,752160492,4.8,0,False,2026-04-27
ljharb/es-object-atoms,773229339,4.0,0,False,2026-04-27
ljharb/es-shim-unscopables,480458584,4.0,0,False,2026-04-27
ljharb/es-to-primitive,32377814,,0,False,
ljharb/get-intrinsic,308516559,4.0,0,False,2026-04-27
ljharb/get-proto,911035271,4.0,0,False,2026-04-27
ljharb/gopd,560708130,4.1,0,False,2026-04-27
ljharb/has-bigints,201714166,4.1,0,False,2026-04-27
ljharb/internal-slot,216159146,4.0,0,False,2026-04-27
ljharb/object-keys,9103992,,0,False,
ljharb/object.assign,17755831,4.0,0,False,2026-04-27
ljharb/possible-typed-array-names,760136716,4.0,0,False,2026-04-27
ljharb/qs,22266795,5.2,2,True,2026-04-27
ljharb/safe-regex-test,540138887,4.1,0,False,2026-04-27
ljharb/set-function-length,704249795,4.0,0,False,2026-04-27
