repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
rust-lang/hashbrown,155119796,1293,136,120,1155,3,2026-04-27T23:48:25+00:00,24828,12375,1001,8.09,546,0.56,31,2025,38060,38098060,13.7454,77.41,5.8,openssf_local,1,False,0,0,0,,2026-04-27T21:48:56+01:00,0,A,False,,False,,2026-04-28T00:16:24+00:00,2912,345,31,2026-04-27T13:18:32Z,7.2,120,10,True,5,2026-04-20T23:47:46Z,137,83,0.606,54,-0.5,0.6,0.0401,206.9,0.0083,0.45,62.77,82.47,72.96,72.28,A,2026-04-27T13:18:32Z
rust-lang/libc,29197565,9009,876,420,793,5,2026-04-27T23:48:28+00:00,139087,119191,2963,2.49,2060,1.5,321,2025,360228,1067355564,19.2918,89.22,6.6,openssf_local,0,False,5,5,5,,2026-04-27T14:56:22+01:00,0,A,False,,False,,2026-04-28T00:16:25+00:00,2528,1242,41,2026-04-27T13:18:32Z,11.0,420,10,True,5,2026-04-27T11:36:58Z,360,296,0.822,64,7.0,4.1,-0.0403,331.1595,0.0,0.1524,73.29,39.03,50.67,52.53,B,2026-04-27T13:18:32Z
rust-lang/libz-sys,26042019,484,57,53,1369,3,2026-04-27T23:48:27+00:00,1336,1181,100,8.47,137,5.71,51,2025,3339,333900,7.0627,53.44,6.4,openssf_local,0,False,0,0,0,,2026-04-27T21:49:05+01:00,0,A,False,,False,,2026-04-28T00:16:26+00:00,133,87,7,2026-04-27T13:18:32Z,11.2,53,10,True,5,2026-04-13T07:58:08Z,61,41,0.672,20,0.1,0.0,-0.0082,25.2075,0.0,0.3774,13.16,39.03,69.15,32.87,C,2026-04-27T13:18:32Z
rust-lang/log,27974762,960,134,122,1466,3,2026-04-27T23:48:29+00:00,6204,3818,261,6.84,142,0.34,12,2025,8910,2325510,9.5521,62.04,6.5,openssf_local,0,False,0,0,0,,2026-04-27T21:49:10+01:00,0,A,False,,False,,2026-04-28T00:16:26+00:00,2507,286,35,2026-04-27T13:18:32Z,11.0,122,6,True,5,2026-04-14T06:36:04Z,118,121,1.025,-3,-0.3,-1.9,-0.0678,50.8525,0.0,-0.0246,27.94,39.03,18.2,27.07,D,2026-04-27T13:18:32Z
rust-lang/pkg-config-rs,26042035,308,58,54,1869,2,2026-04-27T23:48:31+00:00,1522,1141,125,10.96,165,2.17,54,2025,1044,130500,6.3413,48.85,4.3,openssf_local,0,False,0,0,0,,2026-04-27T21:49:12+01:00,0,A,False,,False,,2026-04-28T00:16:26+00:00,188,88,6,2026-04-27T13:18:32Z,11.2,54,4,True,5,2026-04-24T07:27:36Z,27,13,0.481,14,0.3,0.0,-0.0556,28.1852,0.0,0.2593,14.95,39.03,60.64,32.83,C,2026-04-27T13:18:32Z
rust-lang/regex,27890669,1596,210,192,4907,1,2026-04-27T23:48:34+00:00,160481,98600,5504,5.58,8048,2,214,2025,160972,885989888,19.4772,90.02,6.2,openssf_local,1,True,0,0,0,,2026-04-27T21:49:25+01:00,0,A,False,,False,,2026-04-28T00:16:27+00:00,3955,503,45,2026-04-27T13:18:32Z,11.1,192,10,True,5,2026-02-24T15:41:12Z,222,231,1.041,-9,-2.6,-2.1,0.0113,835.8385,0.0052,-0.0469,86.17,80.57,16.63,48.69,B,2026-04-27T13:18:32Z
rust-lang/rust,724712,325112,8379,442,291,27,2026-04-27T23:48:40+00:00,3648106,2660348,231548,8.7,240025,1.31,5206,2025,,,,,7.1,depsdev,0,False,428,9,428,,2026-04-20T00:00:00Z,0,A,True,custom,False,,2026-04-28T00:16:27+00:00,112375,14823,1472,2026-04-27T13:18:32Z,15.5,442,,True,5,2026-04-27T13:18:31Z,23496,18834,0.802,4662,74.8,164.7,0.0191,8253.6335,0.0,10.5475,97.93,39.03,99.72,72.5,A,2026-04-27T13:18:32Z
rust-num/num-traits,114705611,1179,131,116,1140,5,2026-04-27T23:48:38+00:00,8787,4683,335,7.15,132,0.35,13,2025,4360,1460600,9.1948,60.89,4.2,openssf_local,0,False,0,0,0,,2026-04-27T16:05:24+01:00,0,A,False,,False,,2026-04-28T00:16:28+00:00,929,164,17,2026-04-27T13:18:32Z,8.0,116,2,True,5,2025-06-17T21:40:09Z,84,46,0.548,38,-0.7,0.1,0.0476,75.75,0.0,0.3276,37.57,39.03,65.12,45.7,B,2026-04-27T13:18:32Z
rust-phf/rust-phf,15992970,891,73,65,3543,1,2026-04-27T23:48:40+00:00,4532,3393,287,8.46,271,1,38,2025,7535,2162545,9.5354,61.81,6.6,openssf_local,0,False,0,0,0,,2026-04-27T18:06:05+01:00,13,C,True,github,False,,2026-04-28T00:16:28+00:00,2131,137,9,2026-04-27T13:18:32Z,12.0,65,10,True,5,2026-04-18T06:38:16Z,48,46,0.958,2,0.0,-0.6,-0.0625,69.7231,0.0,0.0308,34.77,39.03,38.02,37.23,C,2026-04-27T13:18:32Z
rust-random/getrandom,166545969,667,64,63,2358,2,2026-04-27T23:48:42+00:00,2960,2052,287,13.99,229,1.73,16,2025,13423,3852401,10.1521,64.68,7.4,openssf_local,0,False,0,0,0,,2026-04-27T21:49:41+01:00,0,A,False,,False,,2026-04-28T00:15:38+00:00,541,256,10,2026-04-27T13:18:32Z,6.9,63,10,True,5,2026-04-20T18:34:23Z,138,135,0.978,3,2.7,5.0,0.0833,46.9841,0.0,0.0476,25.81,39.03,39.75,34.21,C,2026-04-27T13:18:32Z
rust-random/rand,30227790,3560,310,285,1592,3,2026-04-27T23:48:45+00:00,13671,8548,646,7.56,700,1.31,40,2025,71560,46227760,13.6460,76.72,6.8,openssf_local,1,False,0,0,0,,2026-04-27T14:55:11+01:00,4,B,True,github,False,,2026-04-28T00:15:38+00:00,2026,494,26,2026-04-27T13:18:32Z,10.9,285,10,True,5,2026-04-25T11:14:00Z,225,246,1.093,-21,3.4,7.5,0.0911,47.9684,0.0035,-0.0737,26.37,79.45,14.5,31.2,C,2026-04-27T13:18:32Z
rust-random/rand_core,1086593277,371,38,36,2995,1,2026-04-27T23:48:45+00:00,1282,590,45,7.63,42,0.57,8,2025,4965,223425,6.1456,47.82,7,openssf_local,2,False,2,2,2,,2026-04-27T15:06:53+01:00,4,B,True,github,False,,2026-04-28T00:15:39+00:00,9,4,2,2026-04-27T13:18:32Z,0.2,36,10,True,5,2026-04-13T15:09:28Z,3,1,0.333,2,0.6,0.2,,35.6111,0.0556,0.0556,18.31,93.45,40.43,41.05,C,2026-04-27T13:18:32Z
rust-random/rngs,209510094,189,22,21,4219,1,2026-04-27T23:48:47+00:00,6259,4028,284,7.05,236,0.81,22,2025,4902,1392168,9.0595,60.09,5.3,openssf_local,0,False,0,0,0,,2026-04-27T15:52:50+01:00,4,B,True,github,False,,2026-04-28T00:15:39+00:00,51,40,3,2026-04-27T13:18:32Z,6.3,21,10,True,5,2026-04-26T19:50:06Z,16,12,0.75,4,0.1,-0.3,-0.125,298.0476,0.0,0.1905,70.83,39.03,54.65,53.26,B,2026-04-27T13:18:32Z
rustcrypto/formats,406051759,1783,101,96,3020,1,2026-04-27T23:48:48+00:00,76579,54022,3179,5.88,3527,1.11,67,2025,270323,859356817,19.0248,88.65,6.1,openssf_local,0,False,9,9,9,,2026-04-27T16:10:25+01:00,0,A,False,,False,,2026-04-28T00:15:40+00:00,318,172,11,2026-04-27T13:18:32Z,4.3,96,10,True,5,2026-04-25T22:35:35Z,280,235,0.839,45,9.9,14.2,0.0768,797.6979,0.0,0.4688,85.5,39.03,73.96,62.73,A,2026-04-27T13:18:32Z
rustcrypto/hashes,74106774,706,88,86,2743,2,2026-04-27T23:48:50+00:00,20723,17677,1216,6.88,649,0.92,152,2025,97488,118545408,15.3924,82.45,5.8,openssf_local,3,False,0,0,0,,2026-04-27T21:49:49+01:00,0,A,False,,False,,2026-04-28T00:15:40+00:00,2209,315,29,2026-04-27T13:18:32Z,9.1,86,10,True,5,2026-04-24T17:19:02Z,110,119,1.082,-9,-4.4,-3.3,0.05,240.9651,0.0349,-0.1047,66.57,90.65,12.71,42.49,C,2026-04-27T13:18:32Z
rustcrypto/stream-ciphers,83051505,601,30,28,3706,1,2026-04-27T23:48:53+00:00,5629,3996,365,9.13,265,1.32,29,2025,22122,8074530,11.1379,68.35,6,openssf_local,1,False,0,0,0,,2026-04-27T21:49:49+01:00,0,A,False,,False,,2026-04-28T00:15:40+00:00,318,69,8,2026-04-27T13:18:32Z,8.8,28,10,True,5,2026-04-27T12:44:47Z,36,35,0.972,1,2.3,2.0,-0.0417,201.0357,0.0357,0.0357,62.32,90.99,38.69,60.31,A,2026-04-27T13:18:32Z
rustcrypto/traits,85605821,1979,72,69,4768,1,2026-04-27T23:48:57+00:00,13869,9769,843,8.63,453,0.57,13,2025,80678,68011554,14.3589,79.24,6.3,openssf_local,0,False,0,0,0,,2026-05-03T23:33:42+01:00,0,A,False,,False,,2026-04-28T00:15:41+00:00,739,242,16,2026-04-27T13:18:32Z,8.8,69,10,True,5,2026-04-27T12:17:45Z,195,176,0.903,19,1.6,1.0,-0.0154,201.0,0.0,0.2754,62.21,39.03,61.98,53.19,B,2026-04-27T13:18:32Z
rustcrypto/utils,77307442,1311,77,76,4274,1,2026-04-27T23:48:57+00:00,11305,8140,569,6.99,410,0.6,33,2025,94728,53900232,13.7146,76.95,5.6,openssf_local,2,False,0,0,0,,2026-04-27T14:57:03+01:00,0,A,False,,False,,2026-04-28T00:15:41+00:00,616,158,14,2026-04-27T13:18:33Z,9.0,76,10,True,5,2026-04-27T04:55:29Z,137,116,0.847,21,-3.6,-2.3,0.0474,148.75,0.0263,0.2763,54.7,88.35,62.09,66.95,A,2026-04-27T13:18:33Z
rvagg/bl,10706095,280,40,33,1486,2,2026-04-27T23:49:00+00:00,2082,1584,123,7.77,134,1.06,27,2025,911,112053,6.1965,48.28,5.4,openssf_local,0,False,0,0,0,,2026-04-27T21:50:09+01:00,0,A,False,,False,,2026-04-28T00:15:41+00:00,439,81,11,2026-04-27T13:18:32Z,12.5,33,10,True,5,2026-04-24T00:52:42Z,12,7,0.583,5,-0.7,-0.4,0.125,63.0909,0.0,0.1515,33.09,39.03,50.56,40.27,C,2026-04-27T13:18:32Z
rvagg/through2,11808187,125,21,20,4648,1,2026-04-27T23:49:04+00:00,547,449,35,7.8,48,0.7,3,HEAD,0,0,0.0000,7.28,3.2,openssf_local,0,False,0,0,0,,2026-04-27T21:50:19+01:00,0,A,False,,False,,2026-04-28T00:15:42+00:00,1905,105,18,2026-04-27T13:18:33Z,12.4,20,0,True,0,2022-11-22T08:53:01Z,4,1,0.25,3,-0.6,-0.2,,27.35,0.0,0.15,14.39,39.03,50.22,30.44,C,2026-04-27T13:18:33Z
ryanzim/universalify,87651180,28,5,5,6837,1,2026-04-27T23:49:05+00:00,213,188,6,3.19,11,0.21,2,2023,22,132,1.1508,19.38,3.3,openssf_local,0,False,0,0,0,,2026-04-27T15:05:19+01:00,0,A,False,,False,,2026-04-28T00:15:42+00:00,112,15,2,2026-04-27T13:18:33Z,8.7,5,0,True,2,2023-11-01T17:12:25Z,2,2,1.0,0,-0.3,-0.3,,42.6,0.0,0.0,22.68,39.03,27.49,28.98,D,2026-04-27T13:18:33Z
salesforce/tough-cookie,2606873,714,43,36,1337,3,2026-04-27T23:49:07+00:00,,,,,,,,,42017,,,,7.3,openssf_local,1,False,1,1,1,,2026-05-03T23:33:48+01:00,0,A,False,,False,,2026-04-28T00:15:43+00:00,1055,295,43,2026-04-27T13:18:33Z,14.2,36,10,True,5,2026-04-23T18:43:37Z,72,60,0.833,12,1.8,0.1,-0.1181,,,,,,,,,2026-04-27T13:18:33Z
samn/json-stable-stringify,76598131,34,8,7,156,7,2026-04-27T23:49:09+00:00,340,290,35,12.07,41,0.89,19,HEAD,0,0,0.0000,7.28,2.5,openssf_local,0,False,0,0,0,,2026-04-27T21:50:27+01:00,0,A,False,,False,,2026-04-28T00:15:43+00:00,13,3,1,2026-04-27T13:18:33Z,9.0,7,0,False,0,2021-04-11T19:15:36Z,0,0,,0,,,,48.5714,0.0,0.0,26.71,39.03,27.49,30.6,C,2026-04-27T13:18:33Z
samverschueren/decode-uri-component,91837954,19,3,3,8061,1,2026-04-27T23:49:11+00:00,147,113,10,8.85,17,1.89,7,2022,96,960,2.0690,26.03,3.7,openssf_local,1,False,0,0,0,,2026-04-27T21:50:32+01:00,0,A,False,,False,,2026-04-28T00:15:44+00:00,156,41,9,2026-04-27T13:18:33Z,8.6,3,0,True,1,2023-12-30T21:25:37Z,12,7,0.583,5,0.3,-0.5,-0.3333,49.0,0.3333,1.6667,27.32,99.38,94.51,63.55,A,2026-04-27T13:18:33Z
sboudrias/inquirer.js,10114077,2093,252,216,4282,1,2026-04-27T23:49:15+00:00,17550,14627,1305,8.92,2687,2.47,1095,2025,,,,,5.6,openssf_local,0,False,1,0,1,,2026-04-27T15:06:21+01:00,4,B,True,"github,thanks_dev,tidelift",False,,2026-04-28T00:15:44+00:00,21519,1351,146,2026-04-27T13:18:33Z,12.6,216,10,True,5,2026-04-23T05:51:20Z,321,455,1.417,-134,4.9,26.3,0.3333,81.25,0.0,-0.6204,40.15,39.03,2.63,16.03,D,2026-04-27T13:18:33Z
scikit-build/ninja-python-distributions,75102202,369,12,10,1189,3,2026-04-27T23:49:13+00:00,559,415,58,13.98,39,1.03,12,2025,5024,291392,6.5542,50.69,5.5,openssf_local,0,False,0,0,0,,2026-05-03T23:33:51+01:00,0,A,False,,False,,2026-04-28T00:15:44+00:00,87,21,9,2026-04-27T13:18:33Z,9.1,10,1,True,5,2026-04-20T21:50:25Z,28,27,0.964,1,-0.2,-0.5,-0.0536,55.9,0.0,0.1,30.07,39.03,45.24,37.58,C,2026-04-27T13:18:33Z
scikit-learn/scikit-learn,843222,33586,3503,409,183,22,2026-04-27T23:49:21+00:00,438082,327036,21909,6.7,24999,2.2,147,2025,540189,11835000801,24.8829,96.67,9.6,openssf_local,3,True,25,2,24,,2026-05-03T23:33:58+01:00,11,C,True,custom,False,numfocus,2026-04-28T00:15:45+00:00,65932,26974,2119,2026-04-27T13:18:33Z,15.4,409,10,True,5,2026-04-27T10:45:06Z,3724,3708,0.996,16,-79.6,-68.7,0.0146,1071.1051,0.0073,0.0391,88.41,81.69,39.25,65.69,A,2026-04-27T13:18:33Z
scipy/scipy,1460385,37385,1904,413,332,12,2026-04-27T23:49:23+00:00,841228,615879,67645,10.98,,,,2025,1949982,131906532390,30.3824,99.08,5.9,openssf_local,3,True,46,6,46,,2026-04-27T16:05:30+01:00,70,C,True,"github,tidelift,custom",False,numfocus,2026-04-28T00:15:45+00:00,14643,5713,341,2026-04-27T13:18:33Z,14.8,413,10,True,5,2026-04-25T06:20:56Z,4323,4129,0.955,194,-42.9,-5.8,0.0429,2036.8717,0.0073,0.4697,93.78,81.52,74.08,82.74,A,2026-04-27T13:18:33Z
seanmonstar/reqwest,62350380,1290,399,375,1997,6,2026-04-27T23:49:25+00:00,26707,18425,1098,5.96,1393,1.05,198,2025,30203,33162894,13.6239,76.49,6.1,openssf_local,0,False,0,0,0,,2026-05-03T23:34:16+01:00,67,C,True,github,False,,2026-04-28T00:15:46+00:00,11568,1358,82,2026-04-27T13:18:33Z,9.5,375,,True,5,2026-04-27T13:13:27Z,879,669,0.761,210,4.5,22.3,0.1013,71.2187,0.0,0.56,35.44,39.03,78.89,47.79,B,2026-04-27T13:18:33Z
sec-ant/readable-stream,569980966,119,4,1,1984,1,2026-04-27T23:49:24+00:00,2020,1721,81,4.71,72,0.41,7,2025,12491,1011771,7.8402,56.88,3.8,openssf_local,0,False,0,0,0,,2026-04-27T21:50:52+01:00,0,A,False,,False,,2026-04-28T00:15:46+00:00,8,3,1,2026-04-27T13:18:33Z,3.1,1,0,True,4,2026-04-26T16:36:20Z,5,3,0.6,2,0.5,0.3,-0.2,2020.0,0.0,2.0,93.56,39.03,96.02,70.51,A,2026-04-27T13:18:33Z
selinuxproject/selinux,20648799,4099,191,132,748,5,2026-04-27T23:49:28+00:00,240764,180435,32765,18.16,,,,2025,54685,1791754025,21.3935,92.78,5.5,openssf_local,5,True,42,1,42,,2026-04-07T12:56:19+01:00,0,A,False,,False,,2026-05-17T23:35:55+00:00,1573,397,103,2026-04-27T18:55:54Z,11.6,132,10,True,5,2026-04-22T19:06:09Z,113,57,0.504,56,0.1,0.5,0.0177,1823.9697,0.0379,0.4242,93.11,91.66,71.28,84.73,A,2026-04-27T18:55:54Z
serde-rs/bytes,87358441,215,9,9,8660,1,2026-04-27T23:49:30+00:00,1505,1127,93,8.25,23,0.18,6,2025,699,65007,5.6137,45.41,4.6,openssf_local,0,False,0,0,0,,2026-05-03T23:34:22+01:00,0,A,False,,False,,2026-04-28T00:15:47+00:00,376,38,6,2026-04-27T13:18:33Z,8.7,9,0,True,5,2025-12-20T05:13:08Z,10,4,0.4,6,-0.5,-0.1,0.2,167.2222,0.0,0.6667,58.06,39.03,82.25,57.12,B,2026-04-27T13:18:33Z
serde-rs/json,35894511,1848,144,129,6239,1,2026-04-27T23:49:35+00:00,23077,17317,890,5.14,539,0.46,10,2025,9072,8074080,11.6749,69.95,5.6,openssf_local,0,True,0,0,0,,2026-04-27T14:55:50+01:00,0,A,False,,False,,2026-04-28T00:15:47+00:00,5554,639,39,2026-04-27T13:18:33Z,10.6,129,5,True,5,2026-04-10T19:06:13Z,339,224,0.661,115,-7.4,-6.1,0.0192,178.8915,0.0,0.8915,59.74,39.03,87.07,58.77,A,2026-04-27T13:18:33Z
serde-rs/serde,14367737,4354,205,180,4140,1,2026-04-27T23:49:36+00:00,42608,33285,1795,5.39,1489,0.87,185,2025,95552,171515840,16.2072,84.06,5.6,openssf_local,0,False,0,0,0,,2026-04-27T14:52:37+01:00,130,D,True,github,False,,2026-04-28T00:15:48+00:00,10564,904,73,2026-04-27T13:18:33Z,12.1,180,10,True,5,2026-03-06T05:50:24Z,666,529,0.794,137,-14.7,-16.3,-0.012,236.7111,0.0,0.7611,66.24,39.03,84.27,60.17,A,2026-04-27T13:18:33Z
servo/rust-fnv,33499190,60,19,17,828,4,2026-04-27T23:49:40+00:00,540,483,4,0.83,2,0.2,1,2024,327,1308,1.7585,23.05,4,openssf_local,0,False,0,0,0,,2026-05-03T23:34:24+01:00,271,D,False,,False,,2026-04-28T00:15:48+00:00,358,32,22,2026-04-27T13:18:33Z,10.7,17,0,True,3,2024-03-20T08:58:38Z,3,2,0.667,1,0.1,-0.2,,31.7647,0.0,0.0588,16.18,39.03,40.87,29.55,D,2026-04-27T13:18:33Z
servo/rust-smallvec,33456236,504,97,88,586,15,2026-04-27T23:49:42+00:00,4714,3489,287,8.23,267,0.92,44,2025,7068,2028516,9.4671,61.58,4.3,openssf_local,5,False,0,0,0,,2026-05-03T23:34:30+01:00,271,D,False,,False,,2026-04-28T00:15:49+00:00,1638,175,26,2026-04-27T13:18:33Z,10.7,88,,True,5,2026-04-15T22:35:41Z,45,23,0.511,22,-0.4,0.7,0.1222,53.5682,0.0568,0.25,28.95,93.56,59.69,54.47,B,2026-04-27T13:18:33Z
servo/rust-url,14934771,1409,198,179,1513,3,2026-04-27T23:49:45+00:00,14748,10381,1601,15.42,1859,3.78,241,2025,89528,143334328,15.8694,83.37,7.1,openssf_local,1,False,0,0,0,,2026-04-27T16:06:10+01:00,271,D,True,"github,open_collective",False,,2026-04-28T00:15:49+00:00,1538,374,28,2026-04-27T13:18:33Z,12.1,179,4,True,5,2026-04-16T14:24:20Z,190,122,0.642,68,2.7,2.3,-0.0105,82.3911,0.0056,0.3799,40.26,80.91,69.26,60.88,A,2026-04-27T13:18:33Z
sinclairzx81/sinclair-typebox,1122129819,12,1,1,10000,1,2026-04-27T23:49:47+00:00,71960,54940,2233,4.06,2579,0.33,100,2025,71994,160762602,16.2675,84.40,3.6,openssf_local,0,False,24,0,24,,2026-04-27T21:51:11+01:00,0,A,False,,False,,2026-04-28T00:15:21+00:00,8,0,0,2026-04-27T13:18:33Z,0.0,1,2,True,1,2026-03-28T04:08:30Z,0,0,,0,,,,71960.0,0.0,0.0,99.5,39.03,27.49,47.44,B,2026-04-27T13:18:33Z
sindresorhus/ansi-escapes,40721875,82,18,17,5938,1,2026-04-27T23:49:50+00:00,288,224,33,14.73,21,0.75,7,2025,1360,44880,4.7994,41.74,4,openssf_local,0,False,0,0,0,,2026-04-27T16:09:10+01:00,184,D,False,,False,,2026-04-28T00:15:50+00:00,547,53,4,2026-04-27T13:18:33Z,10.4,17,1,True,5,2026-02-04T16:21:10Z,8,11,1.375,-3,-0.5,0.9,0.875,16.9412,0.0,-0.1765,8.68,39.03,8.9,14.45,D,2026-04-27T13:18:33Z
sindresorhus/array-union,21005682,25,9,9,4752,1,2026-04-27T23:49:53+00:00,22,19,0,0,0,0,0,2021,14,0,0.0000,7.28,3.8,openssf_local,0,False,0,0,0,,2026-04-27T18:06:42+01:00,184,D,False,,False,,2026-04-28T00:15:50+00:00,78,14,5,2026-04-27T13:18:33Z,11.5,9,0,True,1,2021-03-01T18:43:16Z,1,1,1.0,0,-0.2,-0.2,,2.4444,0.0,0.0,1.06,39.03,27.49,10.45,D,2026-04-27T13:18:33Z
sindresorhus/binary-extensions,29771015,73,23,23,3147,1,2026-04-27T23:49:56+00:00,14,11,0,0.00,0,0,0,2025,17,0,0.0000,7.28,3.9,openssf_local,0,False,0,0,0,,2026-04-27T21:51:13+01:00,184,D,False,,False,,2026-04-28T00:15:51+00:00,89,24,7,2026-04-27T13:18:33Z,10.9,23,0,True,3,2025-05-04T07:29:40Z,3,3,1.0,0,-0.2,0.1,,0.6087,0.0,0.0,0.06,39.03,27.49,3.92,D,2026-04-27T13:18:33Z
sindresorhus/callsites,18938743,38,7,7,5277,1,2026-04-27T23:49:57+00:00,62,54,0,0.00,1,0.12,1,2025,203,0,0.0000,7.28,3.8,openssf_local,0,False,0,0,0,,2026-04-27T21:51:19+01:00,184,D,False,,False,,2026-04-28T00:15:51+00:00,271,24,7,2026-04-27T13:18:33Z,11.7,7,0,True,4,2025-09-09T08:53:49Z,5,6,1.2,-1,0.2,0.8,0.6,8.8571,0.0,-0.1429,4.76,39.03,10.02,12.3,D,2026-04-27T13:18:33Z
sindresorhus/camelcase,25116836,106,31,28,3835,1,2026-04-27T23:49:59+00:00,683,536,40,7.46,46,1.15,18,2025,807,32280,4.6890,41.17,4,openssf_local,0,False,0,0,0,,2026-04-27T15:07:00+01:00,184,D,False,,False,,2026-04-28T00:15:51+00:00,699,100,11,2026-04-27T13:18:33Z,11.2,28,0,True,4,2025-11-10T20:38:46Z,16,17,1.062,-1,-1.3,-1.3,0.0,24.3929,0.0,-0.0357,12.49,39.03,17.86,20.57,D,2026-04-27T13:18:33Z
sindresorhus/clean-stack,62838930,59,15,15,5139,1,2026-04-27T23:50:01+00:00,415,351,14,3.99,16,0.52,8,2025,443,6202,3.1136,32.91,3.9,openssf_local,0,False,0,0,0,,2026-04-27T21:51:19+01:00,184,D,False,,False,,2026-04-28T00:15:52+00:00,346,23,6,2026-04-27T13:18:33Z,9.5,15,0,True,5,2025-11-04T06:46:30Z,8,9,1.125,-1,-0.5,-0.5,0.0,27.6667,0.0,-0.0667,14.61,39.03,15.06,20.48,D,2026-04-27T13:18:33Z
sindresorhus/cli-cursor,23512396,30,6,5,6989,1,2026-04-27T23:50:04+00:00,100,77,5,6.49,5,0.38,3,2024,112,560,1.5976,22.02,3.8,openssf_local,0,False,0,0,0,,2026-04-27T21:51:28+01:00,184,D,False,,False,,2026-04-28T00:15:52+00:00,113,7,4,2026-04-27T13:18:33Z,11.3,5,0,True,2,2024-07-26T14:02:28Z,0,0,,0,,,,20.0,0.0,0.0,10.25,39.03,27.49,22.24,D,2026-04-27T13:18:33Z
sindresorhus/crypto-random-string,73665728,33,8,8,3848,1,2026-04-27T23:50:06+00:00,333,270,31,11.48,23,0.88,20,2022,622,19282,4.2061,39.22,3.9,openssf_local,0,False,0,0,0,,2026-04-27T21:51:29+01:00,184,D,False,,False,,2026-04-28T00:15:52+00:00,575,43,7,2026-04-27T13:18:33Z,9.1,8,0,True,2,2022-05-10T06:15:39Z,12,13,1.083,-1,-1.6,-1.8,-0.0833,41.625,0.0,-0.125,21.56,39.03,11.14,21.08,D,2026-04-27T13:18:33Z
sindresorhus/decamelize,29773710,59,15,14,4260,1,2026-04-27T23:50:09+00:00,269,213,4,1.88,9,0.5,6,2025,472,1888,1.8696,23.74,3.9,openssf_local,0,False,0,0,0,,2026-04-27T21:51:30+01:00,184,D,False,,False,,2026-04-28T00:15:53+00:00,244,28,8,2026-04-27T13:18:33Z,10.9,14,2,True,3,2026-03-10T20:37:27Z,9,9,1.0,0,-0.8,-0.8,0.0,19.2143,0.0,0.0,9.57,39.03,27.49,21.74,D,2026-04-27T13:18:33Z
sindresorhus/detect-newline,21304485,39,9,9,5989,1,2026-04-27T23:50:12+00:00,51,43,5,11.63,0,0,0,2023,91,455,1.5281,21.22,3.8,openssf_local,0,False,0,0,0,,2026-04-27T21:51:33+01:00,184,D,False,,False,,2026-04-28T00:15:53+00:00,55,6,4,2026-04-27T13:18:33Z,11.5,9,0,True,3,2023-09-23T02:22:52Z,1,1,1.0,0,0.0,0.0,,5.6667,0.0,0.0,3.75,39.03,27.49,15.91,D,2026-04-27T13:18:33Z
sindresorhus/environment,793180075,5,1,1,10000,1,2026-04-27T23:50:13+00:00,73,54,18,33.33,0,0,0,2024,149,2682,2.7827,31.48,3.9,openssf_local,0,False,0,0,0,,2026-04-27T18:06:55+01:00,184,D,False,,False,,2026-04-28T00:15:53+00:00,167,1,1,2026-04-27T13:18:33Z,1.7,1,0,True,1,2024-09-13T06:20:07Z,2,2,1.0,0,0.2,0.2,,73.0,0.0,0.0,36.62,39.03,27.49,34.0,C,2026-04-27T13:18:33Z
sindresorhus/escape-string-regexp,21169121,33,8,7,3085,1,2026-04-27T23:50:15+00:00,38,31,1,3.23,1,0.2,1,2025,16,16,0.3704,15.02,3.9,openssf_local,0,False,0,0,0,,2026-04-27T14:57:28+01:00,184,D,False,,False,,2026-04-28T00:15:54+00:00,598,58,12,2026-04-27T13:18:34Z,11.5,7,0,True,3,2025-05-06T15:42:08Z,8,9,1.125,-1,-0.9,-0.8,0.0625,5.4286,0.0,-0.1429,3.3,39.03,10.02,10.89,D,2026-04-27T13:18:34Z
sindresorhus/execa,47475908,824,64,62,5453,1,2026-04-27T23:50:18+00:00,32909,27596,782,2.83,1120,0.47,22,2025,146273,114385486,14.9468,81.08,4.5,openssf_local,0,False,0,0,0,,2026-04-27T21:51:38+01:00,184,D,False,,False,,2026-04-28T00:15:54+00:00,7498,250,41,2026-04-27T13:18:34Z,10.1,62,4,True,5,2026-01-29T03:54:57Z,286,288,1.007,-2,13.3,13.4,0.0017,530.7903,0.0,-0.0323,79.79,39.03,17.97,38.25,C,2026-04-27T13:18:34Z
