repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
gregberge/svgr,102155012,652,133,1,5541,2026-04-27T23:48:16+00:00
grncdr/merge-stream,10579821,66,11,2,2716,2026-04-27T23:48:18+00:00
grpc/grpc,27729880,58323,1147,9,549,2026-04-27T23:48:21+00:00
gsnedders/python-webencodings,7043404,46,6,1,4197,2026-04-27T23:48:19+00:00
guillaumegomez/doc-comment,127254922,59,2,1,9667,2026-04-27T23:48:21+00:00
gulpjs/glob-parent,29154915,89,10,2,2997,2026-04-27T23:48:23+00:00
gweis/isodate,6449370,193,24,8,964,2026-04-27T23:48:25+00:00
gyscos/zstd-rs,52115335,552,66,1,5730,2026-04-27T23:48:27+00:00
hapijs/hoek,5831189,716,57,5,775,2026-04-27T23:48:29+00:00
harfbuzz/harfbuzz,5050525,21304,293,1,5083,2026-04-27T23:48:32+00:00
hiddentao/fast-levenshtein,9490451,64,10,1,6892,2026-04-27T23:48:33+00:00
httplib2/httplib2,53002916,570,80,2,1958,2026-04-27T23:48:34+00:00
hukkin/tomli,370616797,333,15,1,4370,2026-04-27T23:48:36+00:00
hyperium/http,84983058,487,132,3,1362,2026-04-27T23:48:39+00:00
hyperium/http-body,183281612,118,27,2,1856,2026-04-27T23:48:39+00:00
iarna/aproba,31432421,47,6,1,8008,2026-04-27T23:48:41+00:00
import-js/eslint-plugin-import,32238354,2341,400,2,2152,2026-04-27T23:48:46+00:00
indexmap-rs/indexmap,68294628,1014,58,1,4106,2026-04-27T23:48:44+00:00
indutny/bn.js,19176350,435,34,1,4507,2026-04-27T23:48:46+00:00
indygreg/python-zstandard,67307930,1514,46,1,8801,2026-04-27T23:48:49+00:00
inikulin/parse5,8862593,1870,43,36,827,2026-04-27T23:48:50+00:00
inspect-js/array-buffer-byte-length,607836784,28,1,1,10000,2026-04-27T23:48:52+00:00
inspect-js/available-typed-arrays,235965505,68,3,1,9425,2026-04-27T23:48:55+00:00
inspect-js/functions-have-names,198357138,62,1,1,10000,2026-04-27T23:48:59+00:00
inspect-js/has-bigints,201714166,56,2,1,9649,2026-05-17T23:35:35+00:00
inspect-js/has-property-descriptors,481834578,19,1,1,10000,2026-04-27T23:49:00+00:00
inspect-js/has-proto,577580747,32,1,1,10000,2026-04-27T23:49:01+00:00
inspect-js/has-symbols,68573418,63,1,1,10000,2026-04-27T23:49:03+00:00
inspect-js/has-tostringtag,392913710,40,1,1,10000,2026-04-27T23:49:05+00:00
inspect-js/hasown,703350811,25,2,1,9232,2026-04-27T23:49:07+00:00
inspect-js/is-accessor-descriptor,41658954,89,3,1,5011,2026-04-27T23:49:09+00:00
inspect-js/is-arguments,15725461,161,2,1,9877,2026-04-27T23:49:10+00:00
inspect-js/is-array-buffer,45977026,66,4,1,4254,2026-04-27T23:49:12+00:00
inspect-js/is-bigint,149682261,62,2,1,9683,2026-04-27T23:49:12+00:00
inspect-js/is-boolean-object,34700259,103,1,1,10000,2026-04-27T23:49:16+00:00
inspect-js/is-callable,30012910,354,8,1,9554,2026-04-27T23:49:17+00:00
inspect-js/is-core-module,24578130,112,5,1,8791,2026-04-27T23:47:53+00:00
inspect-js/is-data-descriptor,41659073,80,4,1,5053,2026-04-27T23:47:54+00:00
inspect-js/is-data-view,751048078,20,1,1,10000,2026-04-27T23:47:55+00:00
inspect-js/is-date-object,29991041,101,1,1,10000,2026-04-27T23:47:57+00:00
inspect-js/is-descriptor,41658845,68,5,1,4602,2026-04-27T23:47:59+00:00
inspect-js/is-number-object,29991666,104,1,1,10000,2026-04-27T23:48:01+00:00
inspect-js/is-regex,15930063,170,4,1,9651,2026-04-27T23:48:03+00:00
inspect-js/is-string,30010185,99,1,1,10000,2026-04-27T23:48:04+00:00
inspect-js/is-symbol,29791606,115,1,1,10000,2026-04-27T23:48:04+00:00
inspect-js/is-typed-array,43528820,155,2,1,9872,2026-04-27T23:48:06+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,17,1,1,10000,2026-04-27T23:48:08+00:00
inspect-js/object-inspect,11683441,258,10,1,5832,2026-04-27T23:48:09+00:00
inspect-js/typed-array-buffer,649850465,31,1,1,10000,2026-04-27T23:48:10+00:00
