repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
expressjs/serve-static,17464338,1138,892,31,3.48,32,0.18,8,2025,204,6324,3.4795,35.09
facebook/create-react-app,63537249,99756,66448,9567,14.4,6138,2.46,178,2025,2655,25400385,13.6312,76.61
facebook/metro,76504246,116265,90811,3443,3.79,5063,0.62,112,2025,199081,685435883,18.7430,88.07
facebook/react,10270250,719761,584798,44888,7.68,60393,1.28,1378,2025,,,,
facebook/watchman,6930489,96546,69742,7887,11.31,10351,2.56,338,2025,296960,2342123520,21.3269,92.55
facebook/zstd,29759715,146489,100337,17958,17.9,22426,6.14,1100,2025,110123,1977588834,21.4496,93.00
facelessuser/soupsieve,160789418,11906,9306,671,7.21,1395,2.17,117,2025,3682,2470622,10.0830,64.11
fastify/fast-uri,419317518,3058,2490,130,5.22,81,0.67,27,2025,7088,921440,8.1527,57.57
faye/websocket-driver-node,9733816,3374,2675,273,10.21,330,0.68,22,2023,0,0,0.0000,7.28
fb55/boolbase,16864585,13,12,0,0,0,0,0,2024,0,0,0.0000,7.28
fb55/css-select,3411063,6080,4541,352,7.75,193,0.49,14,2025,6203,2183456,9.6629,62.39
fb55/css-what,4460687,2240,2004,160,7.98,173,3.53,117,2025,2921,467360,7.6482,55.85
fb55/domelementtype,6627835,54,27,3,11.11,1,1,1,2024,20,60,0.7961,16.97
fb55/domhandler,5414232,911,553,66,11.93,43,0.59,9,2025,889,58674,5.3858,44.50
fb55/domutils,6627949,2058,1399,165,11.79,115,0.58,12,2025,1696,279840,7.1702,54.13
fb55/entities,3172629,2872,2103,330,15.69,309,1.92,59,2025,7442,2455860,9.7561,62.84
fb55/htmlparser2,2279062,2663,2038,333,16.34,174,0.87,17,2025,6869,2287377,9.6835,62.50
fb55/nth-check,16864923,445,248,51,20.56,42,1.24,11,2025,288,14688,4.2229,39.33
felixge/node-combined-stream,1787452,551,434,33,7.6,32,0.59,6,HEAD,0,0,0.0000,7.28
felixge/node-delayed-stream,1783893,300,235,8,3.4,8,0.29,3,HEAD,0,0,0.0000,7.28
feross/buffer,14494363,9452,7295,672,9.21,657,1.28,52,2025,656,440832,7.9681,57.22
feross/ieee754,15489525,151,126,21,16.67,12,1.5,12,HEAD,0,0,0.0000,7.28
feross/is-buffer,25997846,35,26,4,15.38,1,0.25,1,HEAD,0,0,0.0000,7.28
feross/queue-microtask,207021895,45,33,1,3.03,2,0.15,2,2021,2,2,0.1436,14.68
feross/run-parallel,18700638,310,260,11,4.23,9,0.14,4,2021,4,44,0.7543,16.74
feross/safe-buffer,49538897,166,140,15,10.71,11,0.38,6,HEAD,0,0,0.0000,7.28
ffmpeg/ffmpeg,1614410,1958319,1529746,222538,14.55,0,0,0,2025,,,,
firebase/firebase-js-sdk,89290483,498432,350055,36805,10.51,17836,3.37,1803,2025,882044,32463629420,27.1466,98.51
floating-ui/floating-ui,54994103,47265,39597,2808,7.09,3977,1.6,126,2025,162593,456561144,17.9708,87.04
follow-redirects/follow-redirects,6697086,3190,2701,108,4.00,150,0.3,23,2025,2082,224856,6.7616,51.72
fontconfig/fontconfig,926884194,40534,32093,6206,19.34,8035,6.81,532,2025,34560,214479360,17.2143,85.78
form-data/form-data,1755793,2515,1735,166,9.57,175,0.86,16,2025,1698,281868,7.1798,54.24
formatjs/formatjs,19117456,403734,393944,5799,1.47,4094,1.72,124,2025,582522,3378045078,21.6973,93.46
freedesktop-unofficial-mirror/cairo,34372735,353301,246127,34112,13.86,35714,4.11,223,HEAD,0,0,0.0000,7.28
freetype/freetype,187000659,254498,147307,17965,12.20,29373,11.04,1056,2025,97264,1747347760,21.2210,92.20
frenic/csstype,104001328,4425,3737,498,13.33,688,2.7,90,2025,28450,14168100,12.0176,71.33
frommi/miniz_oxide,96124162,31727,21437,4251,19.83,5334,7.57,340,2025,23047,97972797,15.8302,83.26
fsevents/fsevents,1402936,817,668,68,10.18,42,0.88,7,2023,81,5508,3.5192,35.32
fsspec/filesystem_spec,130727736,35988,28357,3130,11.04,4128,2.09,80,2025,65832,206054160,16.8438,85.21
fsspec/s3fs,53987953,9688,7837,686,8.75,1078,2.86,51,2025,8328,5713008,11.1226,68.23
garycourt/uri-js,989080,5428,4179,962,23.02,631,3.03,29,2021,6,5772,2.5215,30.16
gcc-mirror/gcc,22711503,13441044,9273103,1469572,15.85,,,,2025,,,,
getsentry/sentry-javascript,3328572,408713,313085,18264,5.83,18681,0.71,241,2025,1687538,30821194032,26.5382,97.48
giampaolo/psutil,20101515,50667,38017,6943,18.26,8404,4.21,160,2025,110687,768499841,19.3775,89.68
