"package","github_repo","repo_url"
"lsofi","marionebl/lsofi","https://github.com/marionebl/lsofi"
"react-native-qrcode-svg","Expensify/react-native-qrcode-svg","https://github.com/Expensify/react-native-qrcode-svg"
"node-sql-parser","taozhi8833998/node-sql-parser","https://github.com/taozhi8833998/node-sql-parser"
"serverless-step-functions","serverless-operations/serverless-step-functions","https://github.com/serverless-operations/serverless-step-functions"
"jackpot","3rd-Eden/jackpot","https://github.com/3rd-Eden/jackpot"
"contentstream","stream-utils/contentstream","https://github.com/stream-utils/contentstream"
"yocto-spinner","sindresorhus/yocto-spinner","https://github.com/sindresorhus/yocto-spinner"
"imul","sindresorhus/imul","https://github.com/sindresorhus/imul"
"htmlhint","htmlhint/HTMLHint","https://github.com/htmlhint/HTMLHint"
"get-os-info","Artem-Babich/get-os-info","https://github.com/Artem-Babich/get-os-info"
"isnumber","brycebaril/node-isnumber","https://github.com/brycebaril/node-isnumber"
"vargs","",""
"redis-semaphore","swarthy/redis-semaphore","https://github.com/swarthy/redis-semaphore"
"ember-cli-test-info","ember-cli/ember-cli-test-info","https://github.com/ember-cli/ember-cli-test-info"
"memcached","3rd-Eden/node-memcached","https://github.com/3rd-Eden/node-memcached"
"asl-validator","ChristopheBougere/asl-validator","https://github.com/ChristopheBougere/asl-validator"
"yaml-front-matter","dworthen/js-yaml-front-matter","https://github.com/dworthen/js-yaml-front-matter"
"inferno","infernojs/inferno","https://github.com/infernojs/inferno"
"ripple-binary-codec","XRPLF/xrpl.js","https://github.com/XRPLF/xrpl.js"
"react-addons-css-transition-group","facebook/react","https://github.com/facebook/react"
"stylefire","Popmotion/popmotion","https://github.com/Popmotion/popmotion"
"tinydate","lukeed/tinydate","https://github.com/lukeed/tinydate"
"vfile-matter","vfile/vfile-matter","https://github.com/vfile/vfile-matter"
"canvaskit-wasm","",""
"vue-component-meta","vuejs/language-tools","https://github.com/vuejs/language-tools"
"snyk-python-plugin","snyk/snyk-python-plugin","https://github.com/snyk/snyk-python-plugin"
"component-event","component/event","https://github.com/component/event"
"parse-static-imports","dev-cprice/parse-static-imports","https://github.com/dev-cprice/parse-static-imports"
"lockfile-lint-api","lirantal/lockfile-lint","https://github.com/lirantal/lockfile-lint"
"react-ssr-prepass","FormidableLabs/react-ssr-prepass","https://github.com/FormidableLabs/react-ssr-prepass"
"grant-koa","simov/grant","https://github.com/simov/grant"
"netlify-redirector","",""
"graphql-parse-resolve-info","graphile/graphile-engine","https://github.com/graphile/graphile-engine"
"snyk-tree","Snyk/tree","https://github.com/Snyk/tree"
"string-to-arraybuffer","dy/string-to-arraybuffer","https://github.com/dy/string-to-arraybuffer"
"w-json","IonicaBizau/node-w-json","https://github.com/IonicaBizau/node-w-json"
"http-browserify","substack/http-browserify","https://github.com/substack/http-browserify"
"bmpimagejs","hamzakilic/bmpjs","https://github.com/hamzakilic/bmpjs"
"bootstrap-daterangepicker","dangrossman/daterangepicker","https://github.com/dangrossman/daterangepicker"
"cloudflare","cloudflare/cloudflare-typescript","https://github.com/cloudflare/cloudflare-typescript"
"twilio-sync","",""
"indx","jenius/indx","https://github.com/jenius/indx"
"log-process-errors","ehmicky/log-process-errors","https://github.com/ehmicky/log-process-errors"
"json-socket","sebastianseilund/node-json-socket","https://github.com/sebastianseilund/node-json-socket"
"snyk-mvn-plugin","snyk/snyk-mvn-plugin","https://github.com/snyk/snyk-mvn-plugin"
"promisify","dpw/promisify","https://github.com/dpw/promisify"
"snyk-nuget-plugin","snyk/snyk-nuget-plugin","https://github.com/snyk/snyk-nuget-plugin"
"email-templates","forwardemail/email-templates","https://github.com/forwardemail/email-templates"
"streamsink","andrewrk/node-streamsink","https://github.com/andrewrk/node-streamsink"
"karma-chai","xdissent/karma-chai","https://github.com/xdissent/karma-chai"
"appdirectory","MrJohz/appdirectory","https://github.com/MrJohz/appdirectory"
"swagger-ui","swagger-api/swagger-ui","https://github.com/swagger-api/swagger-ui"
"ical-generator","sebbo2002/ical-generator","https://github.com/sebbo2002/ical-generator"
"jest-sonar","sh33dafi/jest-sonar","https://github.com/sh33dafi/jest-sonar"
"unidiff","mvoss9000/unidiff","https://github.com/mvoss9000/unidiff"
"gh-release-fetch","netlify/gh-release-fetch","https://github.com/netlify/gh-release-fetch"
"ip3country","statsig-io/ip3country","https://github.com/statsig-io/ip3country"
"safari-14-idb-fix","",""
"snyk-go-plugin","snyk/snyk-go-plugin","https://github.com/snyk/snyk-go-plugin"
"level-hooks","dominictarr/level-hooks","https://github.com/dominictarr/level-hooks"
