"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"overload","37000443","0.00088578","23874","2595138","28375311","59405557","94602335"
"serde_with","36900418","0.00088338","2589676","8118789","18255569","50147038","105391020"
"cipher","36708192","0.00087878","4895477","13584529","29960578","48149010","86951366"
"tinystr","36450590","0.00087261","317674","1060321","2034035","14426338","164414586"
"crunchy","36381561","0.00087096","5003768","10383106","19500877","44724064","102295992"
"cfg_aliases","36378730","0.00087089","1084668","1514289","4137334","40225880","134931479"
"prost-build","36372086","0.00087073","5389351","11944672","22797171","47815765","93913472"
"num-iter","36346146","0.00087011","7532193","12773207","21231881","47450132","92743320"
"serde_with_macros","36332158","0.00086978","2588938","7980960","17846310","49189020","104055564"
"core-foundation","36327975","0.00086968","6554131","10855530","17886735","38502504","107840979"
"pkcs8","36206511","0.00086677","1254710","6268735","19627844","46198219","107683048"
"data-encoding","36189325","0.00086636","4719998","10252065","20607583","46997725","98369254"
"adler2","36119643","0.00086469","0","0","0","19361496","161236720"
"futures-lite","36000953","0.00086185","5310726","9041056","18503867","50425509","96723609"
"litemap","35824121","0.00085762","878","111689","739235","12760394","165508409"
"hyper-util","35792502","0.00085686","0","112","171493","39717841","139073064"
"openssl-macros","35669496","0.00085391","0","8733535","26875749","50436156","92302043"
"target-lexicon","35416973","0.00084787","2409024","7552307","17513465","48393896","101216177"
"yoke","35286521","0.00084475","1339","142390","859341","12798291","162631247"
"yoke-derive","35268210","0.00084431","946","115167","768116","12640539","162816283"
"zerovec","35131736","0.00084104","984","137779","732267","11989840","162797810"
"bit-set","34982973","0.00083748","4096508","7852331","17599915","44909234","100456878"
"async-stream","34844912","0.00083417","5960232","12917738","23917564","42563848","88865182"
"memmap2","34787778","0.00083281","2953321","9870311","21298386","50687929","89128945"
"async-stream-impl","34770060","0.00083238","5983123","12826492","23821221","42466356","88753109"
"icu_properties_data","34735582","0.00083156","0","0","32653","10386250","163259007"
"portable-atomic","34605603","0.00082844","0","994893","10898919","40610712","120523493"
"indoc","34601734","0.00082835","5978982","8545440","18079710","46597452","93807087"
"writeable","34596873","0.00082824","1058","146474","794623","12215111","159827099"
"http-body-util","34569011","0.00082757","0","8646","554601","40277693","132004119"
"zerofrom","34568821","0.00082756","0","98893","782015","12774731","159188470"
"pest","34557848","0.00082730","9955737","13657581","21484951","42856492","84834481"
"bytemuck","34512406","0.00082621","3745796","8376510","19167329","44962671","96309726"
"zerovec-derive","34492283","0.00082573","21","50967","640648","11802775","159967007"
"icu_provider","34490191","0.00082568","1090","110599","732990","11752771","159853508"
"zerofrom-derive","34456826","0.00082488","0","51327","683586","12555614","158993604"
"bincode","34447001","0.00082465","7356770","12570407","24636736","40409549","87261546"
"icu_normalizer_data","34347369","0.00082226","0","0","21237","10288999","161426613"
"icu_properties","34302434","0.00082119","46","58971","256644","10592667","160603845"
"windows-core","34207483","0.00081891","26","110","2450169","38665624","129921486"
"base64ct","34164288","0.00081788","860830","7231281","20786238","43197776","98745317"
"icu_collections","34033889","0.00081476","0","1788","187358","10501430","159478873"
"tokio-native-tls","33946075","0.00081266","7040037","15308391","24417786","42702063","80262101"
"concurrent-queue","33907631","0.00081174","5383885","10255508","20955266","41478584","91464915"
"tower-http","33862517","0.00081066","347920","7076007","16342875","33669279","111876506"
"icu_normalizer","33824752","0.00080975","38","1486","159569","10380715","158581955"
"const-oid","33479969","0.00080150","1313548","7167147","19141485","44260346","95517323"
"clang-sys","33145710","0.00079350","5664443","11372053","22303920","42244842","84143292"
"md-5","33024448","0.00079059","3745182","11806826","23849028","42947713","82773494"
"linked-hash-map","32803949","0.00078531","12291326","19808299","26109265","40387150","65423705"
"windows","32780403","0.00078475","408463","3262757","19929852","37687526","102613421"
"idna_adapter","32772761","0.00078457","0","0","0","7392289","156471517"
"ucd-trie","32498310","0.00077800","9655465","13061037","19751110","39922316","80101625"
