"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"ggml","https://github.com/ggml-org/ggml.git","","","","","",""
"ghostscript","https://github.com/artifexsoftware/ghostpdl-downloads.git","","","","","https://git.ghostscript.com/ghostpdl.git",""
"giflib","","","","","","https://git.code.sf.net/p/giflib/code",""
"gimp","","https://salsa.debian.org/gnome-team/gimp.git","","","","","git"
"git","https://github.com/git/git.git","","","","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz",""
"gjs","","https://gitlab.gnome.org/gnome/gjs.git","","","","",""
"gl2ps","","https://salsa.debian.org/science-team/gl2ps.git","","","","","git"
"glade","","https://salsa.debian.org/gnome-team/glade.git","","","","","git"
"glew","","https://salsa.debian.org/debian/glew.git","","","","","git"
"glib","","https://gitlab.gnome.org/gnome/glib.git","","","","",""
"glib-networking","","https://gitlab.gnome.org/gnome/glib-networking.git","","","","",""
"glibc","","","","","","",""
"glibmm","","https://gitlab.gnome.org/gnome/glibmm.git","","","","","git"
"glog","https://github.com/google/glog.git","","","","","",""
"glslang","https://github.com/khronosgroup/glslang.git","","","","","",""
"glu","","https://gitlab.freedesktop.org/mesa/glu.git","","","","",""
"glusterfs","","","","","","",""
"gmmlib","https://github.com/intel/gmmlib.git","","","","","",""
"gmp","","","","","","",""
"gnome-autoar","","https://salsa.debian.org/gnome-team/gnome-autoar.git","","","","","git"
"gnome-bluetooth","","https://salsa.debian.org/gnome-team/gnome-bluetooth.git","","","","","git"
"gnome-contacts","","https://salsa.debian.org/gnome-team/gnome-contacts.git","","","","","git"
"gnome-control-center","","https://salsa.debian.org/gnome-team/gnome-control-center.git","","","","","git"
"gnome-desktop","","https://salsa.debian.org/gnome-team/gnome-desktop.git","","","","","git"
"gnome-disk-utility","","https://salsa.debian.org/gnome-team/gnome-disk-utility.git","","","","","git"
"gnome-keyring","","https://salsa.debian.org/gnome-team/gnome-keyring.git","","","","","git"
"gnome-menus","","https://salsa.debian.org/gnome-team/gnome-menus.git","","","","","git"
"gnome-online-accounts","","https://salsa.debian.org/gnome-team/gnome-online-accounts.git","","","","","git"
"gnome-session","","https://gitlab.gnome.org/gnome/gnome-session.git","","","","",""
"gnome-settings-daemon","","https://gitlab.gnome.org/gnome/gnome-settings-daemon.git","","","","",""
"gnome-shell","","https://gitlab.gnome.org/gnome/gnome-shell.git","","","","",""
"gnome-terminal","","https://salsa.debian.org/gnome-team/gnome-terminal.git","","","","","git"
"gnome-user-share","","https://salsa.debian.org/gnome-team/gnome-user-share.git","","","","","git"
"gnu-bc","","","","","","",""
"gnumpc","","","","","","",""
"gnupg","","","","","","https://git.gnupg.org/gnupg.git",""
"gnuplot","","https://salsa.debian.org/science-team/gnuplot.git","","","","","git"
"gnutls","","https://gitlab.com/gnutls/gnutls.git","","","","",""
"go","https://github.com/golang/go.git","","","","","https://go.googlesource.com/go.git",""
"gobject-introspection","","","","","","",""
"gom","","https://salsa.debian.org/debian/gom.git","","","","","git"
"gpgme","https://github.com/gpg/gpgme.git","","","","","",""
"gpgmepp","","","","","","",""
"gpm","https://github.com/telmich/gpm.git","","","","","",""
"gptfdisk","","","","","","",""
"grantleetheme","","","","","","https://invent.kde.org/pim/grantleetheme",""
"graphene","https://github.com/ebassi/graphene.git","","","","","",""
"graphicsmagick","","","","","","",""
"graphite2","https://github.com/silnrsi/graphite.git","","","","","",""
"graphviz","","https://gitlab.com/api/v4/projects/4207231/packages/generic/graphviz-releases/15.1.0/graphviz-15.1.0.tar.xz.git","","","","",""
"grep","","","","","","",""
"grilo","","https://salsa.debian.org/berto/grilo.git","","","","","git"
"grilo-plugins","","https://salsa.debian.org/berto/grilo-plugins.git","","","","","git"
"groff","","","","","","https://git.savannah.gnu.org/cgit/groff.git",""
"groonga","https://github.com/groonga/groonga.git","","","","","",""
"grpc","https://github.com/grpc/grpc.git","","","","","",""
"grub","https://github.com/erkanisik1/pisilinux2.4-grub2-themes.git","https://gitlab.freedesktop.org/gnu-grub/grub.git","","","","https://https.git.savannah.gnu.org/git/grub.git",""
"gsasl","","https://salsa.debian.org/xmpp-team/gsasl.git","","","","","git"
