package,license,fetched_at
gnome-disk-utility,,2026-07-21T21:08:15Z
gnome-keyring,,2026-07-21T21:08:15Z
gnome-menus,,2026-07-21T21:08:15Z
gnome-online-accounts,,2026-07-21T21:08:15Z
gnome-session,,2026-07-21T21:08:15Z
gnome-settings-daemon,,2026-07-21T21:08:15Z
gnome-shell,,2026-07-21T21:08:15Z
gnome-terminal,,2026-07-21T21:08:15Z
gnome-user-share,,2026-07-21T21:08:15Z
gnu-bc,,2026-07-21T21:08:15Z
gnumpc,,2026-07-21T21:08:15Z
gnupg,gpl-3.0-or-later,2026-07-21T21:08:15Z
gnuplot,gnuplot,2026-07-21T21:08:15Z
gnutls,lgpl-2.1-or-later and gpl-3.0-only,2026-07-21T21:08:15Z
go,bsd-3-clause,2026-07-21T21:08:15Z
gobject-introspection,gpl-2.0-or-later and lgpl-2.0-or-later and mit,2026-07-21T21:08:15Z
gom,,2026-07-21T21:08:15Z
gpgme,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gpgmepp,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gpm,,2026-07-21T21:08:15Z
gptfdisk,,2026-07-21T21:08:15Z
grantleetheme,,2026-07-21T21:08:15Z
graphene,mit,2026-07-21T21:08:15Z
graphicsmagick,mit,2026-07-21T21:08:15Z
graphite2,mit or mpl-2.0 or lgpl-2.1-or-later or gpl-2.0-or-later,2026-07-21T21:08:15Z
graphviz,epl-1.0,2026-07-21T21:08:15Z
grep,gpl-3.0-or-later,2026-07-21T21:08:15Z
grilo,,2026-07-21T21:08:15Z
grilo-plugins,,2026-07-21T21:08:15Z
groff,gpl-3.0-or-later,2026-07-21T21:08:15Z
groonga,lgpl-2.1-or-later,2026-07-21T21:08:15Z
grpc,apache-2.0,2026-07-21T21:08:15Z
grub,,2026-07-21T21:08:15Z
gsasl,,2026-07-21T21:08:15Z
gsettings-desktop-schemas,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gsettings-qt,,2026-07-21T21:08:15Z
gsl,gpl-3.0-or-later,2026-07-21T21:08:15Z
gsm,,2026-07-21T21:08:15Z
gsound,,2026-07-21T21:08:15Z
gspell,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gssdp,,2026-07-21T21:08:15Z
gstreamer,lgpl-2.0-or-later and lgpl-2.1-or-later and mit,2026-07-21T21:08:15Z
gstreamer-orc,,2026-07-21T21:08:15Z
gstreamer:bad,,2026-07-21T21:08:15Z
gstreamer:base,,2026-07-21T21:08:15Z
gstreamer:editing-services,,2026-07-21T21:08:15Z
gstreamer:good,,2026-07-21T21:08:15Z
gstreamer:libav,,2026-07-21T21:08:15Z
gstreamer:ugly,,2026-07-21T21:08:15Z
gtk,,2026-07-21T21:08:15Z
gtk-engines,,2026-07-21T21:08:15Z
gtk-layer-shell,,2026-07-21T21:08:15Z
gtk-mac-integration,lgpl-2.1-only,2026-07-21T21:08:15Z
gtk-vnc,lgpl-2.1-or-later,2026-07-21T21:08:15Z
gtkmm,,2026-07-21T21:08:15Z
gtksourceview,,2026-07-21T21:08:15Z
gtkspell,,2026-07-21T21:08:15Z
gts-triangulated-surface,,2026-07-21T21:08:15Z
gucharmap,,2026-07-21T21:08:15Z
guile,lgpl-3.0-or-later,2026-07-21T21:08:15Z
gumbo-parser,apache-2.0,2026-07-21T21:08:15Z
gupnp,,2026-07-21T21:08:15Z
gupnp-av,,2026-07-21T21:08:15Z
gupnp-dlna,,2026-07-21T21:08:15Z
gupnp-igd,,2026-07-21T21:08:15Z
gutenprint,,2026-07-21T21:08:15Z
gvfs,,2026-07-21T21:08:15Z
gwenview,,2026-07-21T21:08:15Z
gzip,gpl-3.0-or-later,2026-07-21T21:08:15Z
harfbuzz,mit,2026-07-21T21:08:15Z
hdf5,bsd-3-clause,2026-07-21T21:08:15Z
hdparm,,2026-07-21T21:08:15Z
hdrhistogram-c,,2026-07-21T21:08:15Z
heimdal,,2026-07-21T21:08:15Z
hello,gpl-3.0-or-later,2026-07-21T21:08:15Z
hfst-ospell,,2026-07-21T21:08:15Z
hicolor-icon-theme,gpl-2.0-only,2026-07-21T21:08:15Z
hidapi,gpl-3.0-only or bsd-3-clause or hidapi,2026-07-21T21:08:15Z
highway-simd-library,,2026-07-21T21:08:15Z
hiredis,bsd-3-clause,2026-07-21T21:08:15Z
hitori,,2026-07-21T21:08:15Z
hoichess,,2026-07-21T21:08:15Z
hostname,,2026-07-21T21:08:15Z
hplip,,2026-07-21T21:08:15Z
hsqldb,,2026-07-21T21:08:15Z
htop,gpl-2.0-or-later,2026-07-21T21:08:15Z
http-parser,,2026-07-21T21:08:15Z
httpie,bsd-3-clause,2026-07-21T21:08:15Z
hunspell,mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later,2026-07-21T21:08:15Z
hwloc,bsd-3-clause,2026-07-21T21:08:15Z
hyphen,,2026-07-21T21:08:15Z
ibus,,2026-07-21T21:08:15Z
icu,,2026-07-21T21:08:15Z
iftop,,2026-07-21T21:08:15Z
