"package","dep_name","dep_version","fetched_at"
"@agora-js/shared","ua-parser-js","^0.7.34","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","aws4fetch","^1.0.20","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","@ai-sdk/provider","3.0.8","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","@ai-sdk/anthropic","3.0.64","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","@smithy/util-utf8","^4.0.0","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","@ai-sdk/provider-utils","4.0.21","2026-03-30 09:59:22.825284"
"@ai-sdk/amazon-bedrock","@smithy/eventstream-codec","^4.0.1","2026-03-30 09:59:22.825284"
"@ai-sdk/anthropic","@ai-sdk/provider","3.0.8","2026-03-30 10:44:26.069532"
"@ai-sdk/anthropic","@ai-sdk/provider-utils","4.0.21","2026-03-30 10:44:26.069532"
"@ai-sdk/azure","@ai-sdk/openai","3.0.48","2026-03-30 10:44:26.069532"
"@ai-sdk/azure","@ai-sdk/provider","3.0.8","2026-03-30 10:44:26.069532"
"@ai-sdk/azure","@ai-sdk/provider-utils","4.0.21","2026-03-30 10:44:26.069532"
"@ai-sdk/gateway","@vercel/oidc","3.1.0","2026-03-30 10:44:26.069532"
"@ai-sdk/gateway","@ai-sdk/provider","3.0.8","2026-03-30 10:44:26.069532"
"@ai-sdk/gateway","@ai-sdk/provider-utils","4.0.21","2026-03-30 10:44:26.069532"
"@ai-sdk/google","@ai-sdk/provider","3.0.8","2026-03-30 11:57:53.657563"
"@ai-sdk/google","@ai-sdk/provider-utils","4.0.21","2026-03-30 11:57:53.657563"
"@ai-sdk/google-vertex","@ai-sdk/google","3.0.53","2026-03-30 11:57:53.657563"
"@ai-sdk/google-vertex","@ai-sdk/provider","3.0.8","2026-03-30 11:57:53.657563"
"@ai-sdk/google-vertex","@ai-sdk/anthropic","3.0.64","2026-03-30 11:57:53.657563"
"@ai-sdk/google-vertex","google-auth-library","^10.5.0","2026-03-30 11:57:53.657563"
"@ai-sdk/google-vertex","@ai-sdk/provider-utils","4.0.21","2026-03-30 11:57:53.657563"
"@ai-sdk/groq","@ai-sdk/provider","3.0.8","2026-03-30 11:57:53.657563"
"@ai-sdk/groq","@ai-sdk/provider-utils","4.0.21","2026-03-30 11:57:53.657563"
"@ai-sdk/mistral","@ai-sdk/provider","3.0.8","2026-03-30 11:57:53.657563"
