"package","year","downloads"
"apache2-bin","2022","95563"
"apache2-bin","2023","104391"
"apache2-bin","2024","111280"
"apache2-bin","2025","121995"
"apache2-dev","2021","1469"
"apache2-dev","2022","1378"
"apache2-dev","2023","1352"
"apache2-dev","2024","1325"
"apache2-dev","2025","1246"
"apache2-prefork-dev","2021","177"
"apache2-prefork-dev","2022","139"
"apache2-prefork-dev","2023","123"
"apache2-prefork-dev","2024","93"
"apache2-prefork-dev","2025","81"
"apache2-threaded-dev","2021","110"
"apache2-threaded-dev","2022","80"
"apache2-threaded-dev","2023","73"
"apache2-threaded-dev","2024","55"
"apache2-threaded-dev","2025","45"
"apache2-utils","2021","67904"
"apache2-utils","2022","65615"
"apache2-utils","2023","66100"
"apache2-utils","2024","66824"
"apache2-utils","2025","69232"
"apache2.2-common","2021","7302"
"apache2.2-common","2022","5542"
"apache2.2-common","2023","4864"
"apache2.2-common","2024","3467"
"apache2.2-common","2025","2859"
"apachetop","2021","928"
"apachetop","2022","841"
"apachetop","2023","789"
"apachetop","2024","724"
"apachetop","2025","709"
"apbs","2021","663"
"apbs","2022","696"
"apbs","2023","673"
"apbs","2024","579"
"apbs","2025","670"
"apbs-data","2021","277"
"apbs-data","2022","461"
"apbs-data","2023","484"
"apbs-data","2024","511"
"apbs-data","2025","630"
"apbs-doc","2022","1"
"apbs-doc","2023","2"
"apbs-doc","2024","3"
"apbs-doc","2025","1"
"apparix","2021","24"
"apparix","2022","19"
"apparix","2023","16"
"apparix","2024","12"
"apparix","2025","14"
"appmenu-gtk-module-common","2021","904"
"appmenu-gtk-module-common","2022","881"
"appmenu-gtk-module-common","2023","915"
"appmenu-gtk-module-common","2024","921"
"appmenu-gtk-module-common","2025","976"
"appmenu-gtk3-module","2021","868"
"appmenu-gtk3-module","2022","839"
"appmenu-gtk3-module","2023","873"
"appmenu-gtk3-module","2024","886"
"appmenu-gtk3-module","2025","938"
"apriltag","2021","3"
"apriltag","2022","5"
"apriltag","2023","6"
"apriltag","2024","19"
"apriltag","2025","39"
"apt","2021","207345"
"apt","2022","204725"
"apt","2023","222305"
"apt","2024","243427"
"apt","2025","272795"
"apt-cacher-ng","2021","1153"
"apt-cacher-ng","2022","1070"
"apt-cacher-ng","2023","1064"
"apt-cacher-ng","2024","1117"
"apt-cacher-ng","2025","1158"
"apt-dater","2021","179"
"apt-dater","2022","143"
"apt-dater","2023","141"
"apt-dater","2024","132"
"apt-dater","2025","125"
