spdx_id,spdx_id_canonical,name,is_osi_approved,is_fsf_libre,is_deprecated,reference,osi_url,fetched_at
tpdl,TPDL,Time::ParseDate License,False,False,False,https://spdx.org/licenses/TPDL.html,,2026-07-06T16:17:40Z
tpl-1.0,TPL-1.0,THOR Public License 1.0,False,False,False,https://spdx.org/licenses/TPL-1.0.html,,2026-07-06T16:17:40Z
trustedqsl,TrustedQSL,TrustedQSL License,False,False,False,https://spdx.org/licenses/TrustedQSL.html,,2026-07-06T16:17:40Z
ttwl,TTWL,Text-Tabs+Wrap License,False,False,False,https://spdx.org/licenses/TTWL.html,,2026-07-06T16:17:40Z
ttyp0,TTYP0,TTYP0 License,False,False,False,https://spdx.org/licenses/TTYP0.html,,2026-07-06T16:17:40Z
tu-berlin-1.0,TU-Berlin-1.0,Technische Universitaet Berlin License 1.0,False,False,False,https://spdx.org/licenses/TU-Berlin-1.0.html,,2026-07-06T16:17:40Z
tu-berlin-2.0,TU-Berlin-2.0,Technische Universitaet Berlin License 2.0,False,False,False,https://spdx.org/licenses/TU-Berlin-2.0.html,,2026-07-06T16:17:40Z
ubuntu-font-1.0,Ubuntu-font-1.0,Ubuntu Font Licence v1.0,False,False,False,https://spdx.org/licenses/Ubuntu-font-1.0.html,,2026-07-06T16:17:40Z
ucar,UCAR,UCAR License,False,False,False,https://spdx.org/licenses/UCAR.html,,2026-07-06T16:17:40Z
ucl-1.0,UCL-1.0,Upstream Compatibility License v1.0,True,False,False,https://spdx.org/licenses/UCL-1.0.html,https://opensource.org/license/UCL-1.0,2026-07-06T16:17:40Z
ulem,ulem,ulem License,False,False,False,https://spdx.org/licenses/ulem.html,,2026-07-06T16:17:40Z
umich-merit,UMich-Merit,Michigan/Merit Networks License,False,False,False,https://spdx.org/licenses/UMich-Merit.html,,2026-07-06T16:17:40Z
unicode-3.0,Unicode-3.0,Unicode License v3,True,False,False,https://spdx.org/licenses/Unicode-3.0.html,,2026-07-06T16:17:40Z
unicode-dfs-2015,Unicode-DFS-2015,Unicode License Agreement - Data Files and Software (2015),False,False,False,https://spdx.org/licenses/Unicode-DFS-2015.html,,2026-07-06T16:17:40Z
unicode-dfs-2016,Unicode-DFS-2016,Unicode License Agreement - Data Files and Software (2016),True,False,False,https://spdx.org/licenses/Unicode-DFS-2016.html,,2026-07-06T16:17:40Z
unicode-tou,Unicode-TOU,Unicode Terms of Use,False,False,False,https://spdx.org/licenses/Unicode-TOU.html,,2026-07-06T16:17:40Z
unixcrypt,UnixCrypt,UnixCrypt License,False,False,False,https://spdx.org/licenses/UnixCrypt.html,,2026-07-06T16:17:40Z
unlicense,Unlicense,The Unlicense,True,True,False,https://spdx.org/licenses/Unlicense.html,,2026-07-06T16:17:40Z
