repo,2021,2022,2023,2024,2025
node-fetch/fetch-blob,20,4,0,0,0
node-fetch/node-fetch,136,79,18,3,1
nodeca/argparse,5,5,2,0,1
nodeca/js-yaml,35,29,7,2,2
nodeca/pako,30,12,4,4,2
nodejs/cjs-module-lexer,15,6,5,1,5
nodejs/node,1090,1341,1522,1392,1169
nodejs/readable-stream,2,40,19,8,1
nodejs/string_decoder,1,0,0,0,0
nodejs/undici,255,166,178,309,139
nodelib/nodelib,4,3,1,7,0
npm/abbrev-js,0,0,0,0,1
npm/cacache,3,2,18,2,2
npm/hosted-git-info,8,10,2,2,1
npm/ini,10,13,17,16,0
npm/json-parse-even-better-errors,0,1,0,1,0
npm/mute-stream,0,3,0,0,0
npm/node-semver,15,51,43,17,18
npm/node-which,0,6,2,0,0
npm/nopt,0,3,2,0,5
npm/normalize-package-data,13,1,4,0,3
npm/ssri,1,2,2,0,0
npm/unique-slug,0,1,1,0,0
npm/write-file-atomic,0,15,0,0,0
nucleic/kiwi,8,15,8,5,5
numpy/numpy,931,1004,937,929,584
nv/cssom,1,0,0,0,1
oauthlib/oauthlib,13,17,6,3,12
octokit/openapi-types.ts,14,8,3,2,3
octokit/types.ts,21,10,14,6,6
omnilib/aioitertools,0,6,1,0,1
oozcitak/xmlbuilder-js,3,0,0,0,1
open-telemetry/opentelemetry-js,239,343,309,304,253
open-telemetry/opentelemetry-js-contrib,127,169,159,134,122
open-telemetry/opentelemetry-python,338,302,166,240,121
openssl/openssl,1497,781,1002,1453,1094
opensuse/ca-certificates,2,0,1,0,0
p11-glue/p11-kit,9,12,40,12,15
pallets-eco/blinker,1,17,11,7,1
pallets/click,230,105,110,66,116
pallets/flask,201,218,156,76,44
pallets/itsdangerous,8,9,1,6,4
pallets/jinja,117,102,49,53,18
pallets/markupsafe,17,19,9,17,12
pallets/werkzeug,113,109,118,75,22
pandas-dev/pandas,2287,1653,2077,1320,1029
paramiko/paramiko,40,90,85,31,28
paulmillr/chokidar,59,26,12,154,16
paulmillr/readdirp,6,1,0,6,2
pcre2project/pcre2,33,53,89,73,64
perl/perl5,257,385,310,251,332
pest-parser/pest,14,95,40,18,13
peternator7/strum,21,20,15,42,15
petkaantonov/bluebird,7,1,5,2,1
pexpect/pexpect,13,7,54,12,2
pexpect/ptyprocess,0,1,0,1,2
pillarjs/encodeurl,0,0,1,0,2
pillarjs/finalhandler,2,1,0,1,4
pillarjs/iconv-lite,11,4,2,1,27
pillarjs/parseurl,1,1,0,0,0
pillarjs/path-to-regexp,16,11,8,37,10
pillarjs/send,0,4,1,4,4
pkgconf/pkgconf,15,11,38,25,45
pnggroup/libpng,0,19,23,37,49
postcss/postcss,102,56,51,34,32
postcss/postcss-selector-parser,2,2,2,2,0
prettier/prettier,478,396,407,254,339
primus/eventemitter3,3,9,5,1,1
prompt-toolkit/python-prompt-toolkit,40,34,20,14,8
proptest-rs/proptest,12,2,38,17,9
protocolbuffers/protobuf,638,863,465,1016,443
psf/requests,262,158,163,149,86
psycopg/psycopg2,154,90,87,71,28
py4j/py4j,5,20,5,2,5
