repo,repo_id,git_url,status,n_contributors,fetched_at
expressjs/serve-static,gh/17464338,https://github.com/expressjs/serve-static.git,ok,20,2026-05-19T11:22:38+00:00
facebook/create-react-app,gh/63537249,https://github.com/react/create-react-app.git,ok,450,2026-05-19T11:22:41+00:00
facebook/metro,gh/76504246,https://github.com/react/metro.git,ok,323,2026-05-19T11:22:41+00:00
facebook/prop-types,gh/87597642,https://github.com/facebook/prop-types.git,ok,45,2026-07-05T22:54:31+00:00
facebook/react,gh/10270250,https://github.com/react/react.git,ok,410,2026-05-19T11:22:42+00:00
facebook/regenerator,gh/13346571,https://github.com/facebook/regenerator.git,ok,69,2026-07-05T22:54:32+00:00
facebook/watchman,gh/6930489,https://github.com/facebook/watchman.git,ok,315,2026-05-19T11:22:43+00:00
facebook/zstd,gh/29759715,https://github.com/facebook/zstd.git,ok,357,2026-05-19T11:22:45+00:00
facelessuser/soupsieve,gh/160789418,https://github.com/facelessuser/soupsieve.git,ok,14,2026-05-19T11:22:44+00:00
fastify/fast-uri,gh/419317518,https://github.com/fastify/fast-uri.git,ok,13,2026-05-19T11:22:45+00:00
faye/websocket-driver-node,gh/9733816,https://github.com/faye/websocket-driver-node.git,ok,9,2026-05-19T11:22:46+00:00
fb55/boolbase,gh/16864585,https://github.com/fb55/boolbase.git,ok,3,2026-05-19T11:22:46+00:00
fb55/css-select,gh/3411063,https://github.com/fb55/css-select.git,ok,25,2026-05-19T11:22:48+00:00
fb55/css-what,gh/4460687,https://github.com/fb55/css-what.git,ok,25,2026-05-19T11:22:48+00:00
fb55/domelementtype,gh/6627835,https://github.com/fb55/domelementtype.git,ok,6,2026-05-19T11:22:49+00:00
fb55/domhandler,gh/5414232,https://github.com/fb55/domhandler.git,ok,20,2026-05-19T11:22:50+00:00
fb55/domutils,gh/6627949,https://github.com/fb55/domutils.git,ok,21,2026-05-19T11:22:52+00:00
fb55/entities,gh/3172629,https://github.com/fb55/entities.git,ok,23,2026-05-19T11:22:53+00:00
fb55/htmlparser2,gh/2279062,https://github.com/fb55/htmlparser2.git,ok,58,2026-05-19T11:22:54+00:00
fb55/nth-check,gh/16864923,https://github.com/fb55/nth-check.git,ok,7,2026-05-19T11:22:55+00:00
felixge/node-combined-stream,gh/1787452,https://github.com/felixge/node-combined-stream.git,ok,12,2026-05-19T11:22:56+00:00
felixge/node-delayed-stream,gh/1783893,https://github.com/felixge/node-delayed-stream.git,ok,4,2026-05-19T11:22:57+00:00
feross/buffer,gh/14494363,https://github.com/feross/buffer.git,ok,68,2026-05-19T11:22:58+00:00
feross/ieee754,gh/15489525,https://github.com/feross/ieee754.git,ok,5,2026-05-19T11:22:59+00:00
feross/is-buffer,gh/25997846,https://github.com/feross/is-buffer.git,ok,6,2026-05-19T11:23:01+00:00
feross/queue-microtask,gh/207021895,https://github.com/feross/queue-microtask.git,ok,5,2026-05-19T11:23:02+00:00
