name,project_slug,domain,website,github_repo,ecosystem,package,description,fetched_at
GNU Ghostscript,ghostscript,gnu.org,https://www.gnu.org/software/ghostscript/,,,,Ghostscript is an interpreter for the PostScript language and the PDF file format. It also includes a C library that implements the graphics capabilities of the PostScript language. It supports a wide,2026-07-05T16:57:24+00:00
GIFT,gift,gnu.org,https://www.gnu.org/software/gift/,,,,"The GNU Image-Finding Tool (GIFT) is a Content Based Image Retrieval System. It uses the content of images to perform queries on a collection, enabling you to query by example. Also, a tool to index w",2026-07-05T16:57:24+00:00
GIMP,gimp,gnu.org,https://www.gnu.org/software/gimp/,,,,"GIMP is an application for image manipulation tasks such as photo retouching, composition and authoring. It supports all common image formats as well as specialized ones. It features a highly customiz",2026-07-05T16:57:24+00:00
Glean,glean,gnu.org,https://www.gnu.org/software/glean/,,,,"GNU glean is a modular system for self-study, considerably more intricate than standard flash cards method. It is very customizable, allowing the user to define subjects of interest and activities to ",2026-07-05T16:57:24+00:00
Global,global,gnu.org,https://www.gnu.org/software/global/,,,,"GNU GLOBAL is a source code tagging system that functions in the same way across a wide array of environments, such as different text editors, shells and web browsers. The resulting tags are useful fo",2026-07-05T16:57:24+00:00
GLPK,glpk,gnu.org,https://www.gnu.org/software/glpk/,,,,"GLPK is a C library for solving large-scale linear programming (LP), mixed integer programming (MIP), and other related problems. It supports the GNU MathProg modeling language, a subset of the AMPL l",2026-07-05T16:57:24+00:00
Gmediaserver,gmediaserver,gnu.org,https://www.gnu.org/software/gmediaserver/,,,,GMediaServer is a UPnP-compatible media server. It serves audio and video files to network-connected media players via a command-line program that runs in the background.,2026-07-05T16:57:24+00:00
GMP,gmp,gnu.org,https://www.gnu.org/software/gmp/,,,,"GMP is a library for arbitrary precision arithmetic, operating on signed integers, rational numbers and floating point numbers. The precision is only limited by the available memory. The library is hi",2026-07-05T16:57:24+00:00
Gnash,gnash,gnu.org,https://www.gnu.org/software/gnash/,,,,"Gnash is a free Flash movie player. It supports SWF version v7 and some of v8 and v9. It is possible to configure Gnash to use several different audio or video backends, ensuring good performance.",2026-07-05T16:57:24+00:00
GNAT,gnat,gnu.org,https://www.gnu.org/software/gnat/,,,,See gcc.,2026-07-05T16:57:24+00:00
GNATS,gnats,gnu.org,https://www.gnu.org/software/gnats/,,,,"GNATS is a set of tools for tracking bugs and other user-reported software issues. It is completely open-ended in how its database may be queried, edited and maintained, featuring interfaces ranging f",2026-07-05T16:57:24+00:00
Gnatsweb,gnatsweb,gnu.org,https://www.gnu.org/software/gnatsweb/,,,,See gnats.,2026-07-05T16:57:24+00:00
