repo,repo_id,depsdev_scorecard_overall,depsdev_scorecard_date,depsdev_license,depsdev_open_issues,bestpractices_badge_id,bestpractices_tiered_percentage,fetched_at
epoberezkin/ajv-keywords,gh/60477053,3.2,2026-04-20,MIT,47,,,2026-05-03T19:10:55+00:00
epoberezkin/fast-deep-equal,gh/94483360,2.3,2026-04-20,MIT,35,,,2026-05-03T19:10:55+00:00
epoberezkin/fast-json-stable-stringify,gh/108103016,2.2,2026-04-20,non-standard,25,,,2026-05-03T19:10:55+00:00
epoberezkin/json-schema-traverse,gh/93333933,3,2026-04-20,MIT,13,,,2026-05-03T19:10:56+00:00
es-shims/array-includes,gh/28753032,3.8,2026-04-20,MIT,1,,,2026-05-03T19:10:56+00:00
es-shims/dunder-proto,gh/898274312,,,MIT,1,,,2026-05-03T19:10:56+00:00
es-shims/es-object-atoms,gh/773229339,,,MIT,1,,,2026-05-17T23:42:50+00:00
es-shims/es-set-tostringtag,gh/580683868,3.4,2026-04-20,MIT,1,,,2026-05-03T19:10:56+00:00
es-shims/math-intrinsics,gh/902014040,,,MIT,3,,,2026-05-03T19:10:57+00:00
es-shims/object.values,gh/41723335,3.8,2026-04-20,MIT,1,,,2026-05-03T19:10:57+00:00
es-shims/regexp.prototype.flags,gh/26932422,3.8,2026-04-20,MIT,2,,,2026-05-03T19:10:57+00:00
es-shims/string.prototype.trimend,gh/114682758,3.8,2026-04-20,MIT,2,,,2026-05-03T19:10:58+00:00
es-shims/string.prototype.trimstart,gh/114682105,3.8,2026-04-20,MIT,1,,,2026-05-03T19:10:58+00:00
eslint-community/eslint-utils,gh/568240379,,,MIT,20,,,2026-05-03T19:10:58+00:00
eslint/doctrine,gh/4286644,4.5,2026-04-20,Apache-2.0,0,,,2026-05-03T19:10:59+00:00
eslint/eslint,gh/11061773,6.3,2026-04-20,MIT,109,,,2026-05-03T19:11:00+00:00
eslint/js,gh/27620277,,,non-standard,8,,,2026-05-03T19:11:00+00:00
eslint/rewrite,gh/791446923,,,Apache-2.0,8,,,2026-05-03T19:11:01+00:00
estools/escodegen,gh/3611422,2.6,2026-04-20,non-standard,143,,,2026-05-03T19:11:01+00:00
estools/esquery,gh/11412938,3.6,2026-04-20,non-standard,42,,,2026-05-03T19:11:01+00:00
estools/esrecurse,gh/27429822,2.4,2026-04-20,non-standard,3,,,2026-05-03T19:11:02+00:00
estools/estraverse,gh/6145439,2.8,2026-04-20,non-standard,39,,,2026-05-03T19:11:02+00:00
estools/esutils,gh/14677293,2.3,2026-04-20,non-standard,10,,,2026-05-03T19:11:02+00:00
ethers-io/ethers.js,gh/63465664,4.2,2026-04-20,MIT,639,,,2026-05-03T19:11:03+00:00
evanw/esbuild,gh/61137153,4.2,2026-04-20,MIT,611,,,2026-05-03T19:11:04+00:00
evanw/node-source-map-support,gh/7682781,2.3,2026-04-20,MIT,128,,,2026-05-03T19:11:02+00:00
eventualbuddha/lines-and-columns,gh/47284288,3.1,2026-04-20,MIT,10,,,2026-05-03T19:11:03+00:00
executablebooks/markdown-it-py,gh/249956697,5.1,2026-04-20,MIT,47,,,2026-05-03T19:11:03+00:00
executablebooks/mdurl,gh/387293763,3.4,2026-04-20,non-standard,1,,,2026-05-03T19:11:03+00:00
exodusoss/bytes,gh/885154008,,,MIT,6,,,2026-05-03T19:11:04+00:00
expressjs/body-parser,gh/15669006,7.7,2026-04-20,MIT,52,,,2026-05-03T19:11:04+00:00
expressjs/serve-static,gh/17464338,6.6,2026-04-20,MIT,25,,,2026-05-03T19:11:05+00:00
facebook/create-react-app,gh/63537249,4.8,2026-04-20,MIT,2378,,,2026-05-03T19:11:05+00:00
facebook/metro,gh/76504246,5.8,2026-04-20,MIT,434,,,2026-05-03T19:11:05+00:00
facebook/prop-types,gh/87597642,5.5,2026-04-20,MIT,60,,,2026-05-03T19:11:05+00:00
facebook/react,gh/10270250,6.6,2026-04-20,MIT,1246,in_progress,81,2026-05-03T19:11:07+00:00
facebook/regenerator,gh/13346571,4.1,2026-04-20,MIT,81,,,2026-05-03T19:11:06+00:00
facebook/watchman,gh/6930489,5.4,2026-04-20,MIT,246,,,2026-05-03T19:11:06+00:00
facebook/zstd,gh/29759715,8.7,2026-04-20,non-standard,278,,,2026-05-03T19:11:06+00:00
facelessuser/soupsieve,gh/160789418,4.9,2026-04-20,MIT,12,,,2026-05-03T19:11:06+00:00
fastify/fast-uri,gh/419317518,,,non-standard,6,,,2026-05-03T19:11:22+00:00
faye/websocket-driver-node,gh/9733816,2.7,2026-04-20,non-standard,1,,,2026-05-03T19:11:23+00:00
fb55/boolbase,gh/16864585,6.1,2026-04-20,non-standard,0,,,2026-05-03T19:11:23+00:00
fb55/css-select,gh/3411063,5.7,2026-04-20,non-standard,10,,,2026-05-03T19:11:23+00:00
fb55/css-what,gh/4460687,6,2026-04-20,non-standard,3,,,2026-05-03T19:11:23+00:00
fb55/domelementtype,gh/6627835,5.6,2026-04-20,non-standard,0,,,2026-05-03T19:11:24+00:00
fb55/domhandler,gh/5414232,5.7,2026-04-20,non-standard,7,,,2026-05-03T19:11:24+00:00
fb55/domutils,gh/6627949,5.7,2026-04-20,non-standard,13,,,2026-05-03T19:11:24+00:00
fb55/entities,gh/3172629,6,2026-04-20,non-standard,16,,,2026-05-03T19:11:24+00:00
fb55/htmlparser2,gh/2279062,6.5,2026-04-20,MIT,12,,,2026-05-03T19:11:25+00:00
fb55/nth-check,gh/16864923,5.8,2026-04-20,non-standard,4,,,2026-05-03T19:11:25+00:00
felixge/node-combined-stream,gh/1787452,2.1,2026-04-20,MIT,10,,,2026-05-03T19:11:25+00:00
felixge/node-delayed-stream,gh/1783893,2,2026-04-20,MIT,0,,,2026-05-03T19:11:25+00:00
feross/buffer,gh/14494363,3.7,2026-04-20,non-standard,55,,,2026-05-03T19:11:26+00:00
feross/ieee754,gh/15489525,2.4,2026-04-20,BSD-3-Clause,3,,,2026-05-03T19:11:26+00:00
feross/is-buffer,gh/25997846,2.5,2026-04-20,MIT,8,,,2026-05-03T19:11:26+00:00
feross/queue-microtask,gh/207021895,3.2,2026-04-20,MIT,2,,,2026-05-03T19:11:26+00:00
feross/run-parallel,gh/18700638,3.1,2026-04-20,MIT,1,,,2026-05-03T19:11:27+00:00
feross/safe-buffer,gh/49538897,2.5,2026-04-20,MIT,9,,,2026-05-03T19:11:27+00:00
ffmpeg/ffmpeg,gh/1614410,5.2,2026-04-20,non-standard,3,,,2026-05-03T19:11:27+00:00
firebase/firebase-js-sdk,gh/89290483,6.7,2026-04-20,non-standard,694,,,2026-05-03T19:11:34+00:00
fitzgen/glob-to-regexp,gh/11461122,2.1,2026-04-20,,9,,,2026-05-03T19:11:27+00:00
floatdrop/require-from-string,gh/39301848,2.3,2026-04-20,MIT,6,,,2026-05-03T19:11:28+00:00
floating-ui/floating-ui,gh/54994103,,,MIT,48,,,2026-05-03T19:11:28+00:00
follow-redirects/follow-redirects,gh/6697086,5,2026-04-20,MIT,17,,,2026-05-03T19:11:28+00:00
fontconfig/fontconfig,gh/926884194,,,non-standard,0,,,2026-05-03T19:11:28+00:00
