spdx_id,spdx_id_canonical,name,source,is_deprecated,reference,osi_url,fetched_at
gpl-3.0-with-gcc-exception,GPL-3.0-with-GCC-exception,GNU General Public License v3.0 w/GCC Runtime Library exception,osi,True,https://spdx.org/licenses/GPL-3.0-with-GCC-exception.html,,2026-07-06T15:43:02Z
hpnd,HPND,Historical Permission Notice and Disclaimer,osi,False,https://spdx.org/licenses/HPND.html,https://opensource.org/license/HPND,2026-07-06T15:43:02Z
icu,ICU,ICU License,osi,False,https://spdx.org/licenses/ICU.html,,2026-07-06T15:43:02Z
ijg,IJG,Independent JPEG Group License,fsf,False,https://spdx.org/licenses/IJG.html,,2026-07-06T15:43:02Z
imatix,iMatix,iMatix Standard Function Library Agreement,fsf,False,https://spdx.org/licenses/iMatix.html,,2026-07-06T15:43:02Z
imlib2,Imlib2,Imlib2 License,fsf,False,https://spdx.org/licenses/Imlib2.html,,2026-07-06T15:43:02Z
intel,Intel,Intel Open Source License,osi,False,https://spdx.org/licenses/Intel.html,https://opensource.org/license/Intel,2026-07-06T15:43:02Z
ipa,IPA,IPA Font License,osi,False,https://spdx.org/licenses/IPA.html,https://opensource.org/license/IPA,2026-07-06T15:43:02Z
ipl-1.0,IPL-1.0,IBM Public License v1.0,osi,False,https://spdx.org/licenses/IPL-1.0.html,https://opensource.org/license/IPL-1.0,2026-07-06T15:43:02Z
isc,ISC,ISC License,osi,False,https://spdx.org/licenses/ISC.html,https://opensource.org/license/ISC,2026-07-06T15:43:02Z
jam,Jam,Jam License,osi,False,https://spdx.org/licenses/Jam.html,,2026-07-06T15:43:02Z
lgpl-2.0,LGPL-2.0,GNU Library General Public License v2 only,osi,True,https://spdx.org/licenses/LGPL-2.0.html,,2026-07-06T15:43:02Z
lgpl-2.0+,LGPL-2.0+,GNU Library General Public License v2 or later,osi,True,https://spdx.org/licenses/LGPL-2.0+.html,,2026-07-06T15:43:02Z
lgpl-2.0-only,LGPL-2.0-only,GNU Library General Public License v2 only,osi,False,https://spdx.org/licenses/LGPL-2.0-only.html,,2026-07-06T15:43:02Z
lgpl-2.0-or-later,LGPL-2.0-or-later,GNU Library General Public License v2 or later,osi,False,https://spdx.org/licenses/LGPL-2.0-or-later.html,,2026-07-06T15:43:02Z
lgpl-2.1,LGPL-2.1,GNU Lesser General Public License v2.1 only,osi,True,https://spdx.org/licenses/LGPL-2.1.html,https://opensource.org/license/LGPL-2.1,2026-07-06T15:43:02Z
lgpl-2.1+,LGPL-2.1+,GNU Lesser General Public License v2.1 or later,osi,True,https://spdx.org/licenses/LGPL-2.1+.html,https://opensource.org/license/LGPL-2.1,2026-07-06T15:43:02Z
lgpl-2.1-only,LGPL-2.1-only,GNU Lesser General Public License v2.1 only,osi,False,https://spdx.org/licenses/LGPL-2.1-only.html,https://opensource.org/license/LGPL-2.1-only,2026-07-06T15:43:02Z
lgpl-2.1-or-later,LGPL-2.1-or-later,GNU Lesser General Public License v2.1 or later,osi,False,https://spdx.org/licenses/LGPL-2.1-or-later.html,https://opensource.org/license/LGPL-2.1,2026-07-06T15:43:02Z
lgpl-3.0,LGPL-3.0,GNU Lesser General Public License v3.0 only,osi,True,https://spdx.org/licenses/LGPL-3.0.html,https://opensource.org/license/LGPL-3.0,2026-07-06T15:43:02Z
lgpl-3.0+,LGPL-3.0+,GNU Lesser General Public License v3.0 or later,osi,True,https://spdx.org/licenses/LGPL-3.0+.html,https://opensource.org/license/LGPL-3.0,2026-07-06T15:43:02Z
lgpl-3.0-only,LGPL-3.0-only,GNU Lesser General Public License v3.0 only,osi,False,https://spdx.org/licenses/LGPL-3.0-only.html,https://opensource.org/license/LGPL-3.0,2026-07-06T15:43:02Z
lgpl-3.0-or-later,LGPL-3.0-or-later,GNU Lesser General Public License v3.0 or later,osi,False,https://spdx.org/licenses/LGPL-3.0-or-later.html,https://opensource.org/license/LGPL-3.0,2026-07-06T15:43:02Z
libpng-2.0,libpng-2.0,PNG Reference Library version 2,extras,False,https://spdx.org/licenses/libpng-2.0.html,,2026-07-06T15:43:02Z
liliq-p-1.1,LiLiQ-P-1.1,Licence Libre du Québec – Permissive version 1.1,osi,False,https://spdx.org/licenses/LiLiQ-P-1.1.html,http://opensource.org/license/LiLiQ-P-1.1,2026-07-06T15:43:02Z
liliq-r-1.1,LiLiQ-R-1.1,Licence Libre du Québec – Réciprocité version 1.1,osi,False,https://spdx.org/licenses/LiLiQ-R-1.1.html,http://opensource.org/license/LiLiQ-R-1.1,2026-07-06T15:43:02Z
liliq-rplus-1.1,LiLiQ-Rplus-1.1,Licence Libre du Québec – Réciprocité forte version 1.1,osi,False,https://spdx.org/licenses/LiLiQ-Rplus-1.1.html,http://opensource.org/license/LiLiQ-Rplus-1.1,2026-07-06T15:43:02Z
lpl-1.0,LPL-1.0,Lucent Public License Version 1.0,osi,False,https://spdx.org/licenses/LPL-1.0.html,https://opensource.org/license/LPL-1.0,2026-07-06T15:43:02Z
lpl-1.02,LPL-1.02,Lucent Public License v1.02,osi,False,https://spdx.org/licenses/LPL-1.02.html,https://opensource.org/license/LPL-1.02,2026-07-06T15:43:02Z
lppl-1.2,LPPL-1.2,LaTeX Project Public License v1.2,fsf,False,https://spdx.org/licenses/LPPL-1.2.html,,2026-07-06T15:43:02Z
lppl-1.3a,LPPL-1.3a,LaTeX Project Public License v1.3a,fsf,False,https://spdx.org/licenses/LPPL-1.3a.html,,2026-07-06T15:43:02Z
lppl-1.3c,LPPL-1.3c,LaTeX Project Public License v1.3c,osi,False,https://spdx.org/licenses/LPPL-1.3c.html,https://opensource.org/license/LPPL-1.3c,2026-07-06T15:43:02Z
miros,MirOS,The MirOS Licence,osi,False,https://spdx.org/licenses/MirOS.html,https://opensource.org/license/MirOS,2026-07-06T15:43:02Z
mit,MIT,MIT License,osi,False,https://spdx.org/licenses/MIT.html,https://opensource.org/license/MIT,2026-07-06T15:43:02Z
mit-0,MIT-0,MIT No Attribution,osi,False,https://spdx.org/licenses/MIT-0.html,,2026-07-06T15:43:02Z
mit-cmu,MIT-CMU,CMU License,extras,False,https://spdx.org/licenses/MIT-CMU.html,,2026-07-06T15:43:02Z
mit-modern-variant,MIT-Modern-Variant,MIT License Modern Variant,osi,False,https://spdx.org/licenses/MIT-Modern-Variant.html,,2026-07-06T15:43:02Z
motosoto,Motosoto,Motosoto License,osi,False,https://spdx.org/licenses/Motosoto.html,https://opensource.org/license/Motosoto,2026-07-06T15:43:02Z
mpl-1.0,MPL-1.0,Mozilla Public License 1.0,osi,False,https://spdx.org/licenses/MPL-1.0.html,https://opensource.org/license/MPL-1.0,2026-07-06T15:43:02Z
mpl-1.1,MPL-1.1,Mozilla Public License 1.1,osi,False,https://spdx.org/licenses/MPL-1.1.html,https://opensource.org/license/MPL-1.1,2026-07-06T15:43:02Z
