repo,repo_id,status,n_contributors,fetched_at
gnome/gdk-pixbuf,4533539,ok,160,2026-05-19T11:22:41+00:00
gnome/glib,4537082,ok,258,2026-05-19T11:22:43+00:00
gnome/libxml2,4537118,ok,271,2026-05-19T11:22:44+00:00
gnome/pango,4537144,ok,156,2026-05-19T11:22:44+00:00
gnutls/gnutls,58873704,ok,216,2026-05-19T11:22:46+00:00
gnutls/libtasn1,59017205,ok,17,2026-05-19T11:22:46+00:00
gnutls/nettle,59017402,ok,48,2026-05-19T11:22:47+00:00
google/brotli,24993138,ok,121,2026-05-19T11:22:48+00:00
google/zerocopy,534354967,ok,72,2026-05-19T11:22:49+00:00
googleapis/google-cloud-python,16316451,ok,399,2026-05-19T11:22:51+00:00
googlechrome/workbox,55424670,ok,77,2026-05-19T11:22:51+00:00
gpg/libgpg-error,42075984,ok,35,2026-05-19T11:22:52+00:00
grahamdumpleton/wrapt,10357291,ok,34,2026-05-19T11:22:53+00:00
graydon/exhaustigen-rs,432630522,ok,1,2026-05-19T11:22:54+00:00
gregberge/svgr,102155012,ok,125,2026-05-19T11:22:55+00:00
grncdr/merge-stream,10579821,ok,10,2026-05-19T11:22:56+00:00
grpc/grpc,27729880,ok,304,2026-05-19T11:22:58+00:00
gsnedders/python-webencodings,7043404,ok,6,2026-05-19T11:22:58+00:00
guillaumegomez/doc-comment,127254922,ok,2,2026-05-19T11:22:59+00:00
gulpjs/glob-parent,29154915,ok,10,2026-05-19T11:23:01+00:00
gweis/isodate,6449370,ok,18,2026-05-19T11:23:02+00:00
gyscos/zstd-rs,52115335,ok,65,2026-05-19T11:23:04+00:00
hapijs/hoek,5831189,ok,48,2026-05-19T11:23:04+00:00
harfbuzz/harfbuzz,5050525,ok,261,2026-05-19T11:23:07+00:00
hiddentao/fast-levenshtein,9490451,ok,9,2026-05-19T11:23:07+00:00
httplib2/httplib2,53002916,ok,62,2026-05-19T11:23:08+00:00
hukkin/tomli,370616797,ok,15,2026-05-19T11:23:10+00:00
hyperium/http,84983058,ok,125,2026-05-19T11:23:11+00:00
hyperium/http-body,183281612,ok,27,2026-05-19T11:23:13+00:00
iarna/aproba,31432421,ok,6,2026-05-19T11:23:13+00:00
import-js/eslint-plugin-import,32238354,ok,350,2026-05-19T11:23:17+00:00
indexmap-rs/indexmap,68294628,ok,52,2026-05-19T11:23:16+00:00
indutny/bn.js,19176350,ok,28,2026-05-19T11:23:18+00:00
indygreg/python-zstandard,67307930,ok,44,2026-05-19T11:23:20+00:00
inikulin/parse5,8862593,ok,37,2026-05-19T11:23:21+00:00
inspect-js/array-buffer-byte-length,607836784,ok,1,2026-05-19T11:23:22+00:00
inspect-js/available-typed-arrays,235965505,ok,3,2026-05-19T11:23:23+00:00
inspect-js/functions-have-names,198357138,ok,1,2026-05-19T11:23:25+00:00
inspect-js/has-bigints,201714166,ok,2,2026-05-19T11:23:26+00:00
inspect-js/has-property-descriptors,481834578,ok,1,2026-05-19T11:23:28+00:00
inspect-js/has-proto,577580747,ok,1,2026-05-19T11:23:29+00:00
inspect-js/has-symbols,68573418,ok,1,2026-05-19T11:23:31+00:00
inspect-js/has-tostringtag,392913710,ok,1,2026-05-19T11:23:32+00:00
inspect-js/hasown,703350811,ok,2,2026-05-19T11:23:34+00:00
inspect-js/is-accessor-descriptor,41658954,ok,3,2026-05-19T11:22:36+00:00
inspect-js/is-arguments,15725461,ok,2,2026-05-19T11:22:37+00:00
inspect-js/is-array-buffer,45977026,ok,3,2026-05-19T11:22:37+00:00
inspect-js/is-bigint,149682261,ok,2,2026-05-19T11:22:38+00:00
inspect-js/is-boolean-object,34700259,ok,1,2026-05-19T11:22:39+00:00
