repo,repo_id,has_gh_sponsors,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_link,funding_link_platforms,has_funding_json,org_fundable,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
conventional-changelog/conventional-changelog,15639771,False,0,0,0,100.0,8431,736,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
cosmiconfig/cosmiconfig,45750507,False,0,0,0,100.0,4145,141,True,"github,custom",False,False,True,https://github.com/sponsors/d-fischer,False,,3,,0,100.0,,,,,1,79,True,True
coveragepy/coveragepy,138421996,False,0,0,0,100.0,3361,478,True,"github,tidelift",False,False,False,,True,tidelift,3,,0,100.0,,,,,1,79,True,True
cpburnz/python-pathspec,14648551,False,0,1,1,43.69,220,51,False,,False,False,False,,False,,0,,0,100.0,,,,,1,76,False,True
crate-py/rpds,608018848,False,0,0,0,100.0,63,27,False,,False,False,False,,True,"github,tidelift",1,,0,100.0,,,,,1,79,True,True
criterion-rs/criterion.rs,1081104682,False,0,0,0,100.0,285,17,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
crossbeam-rs/crossbeam,35566048,False,0,0,0,100.0,8421,544,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
css-modules/icss-utils,42766912,False,0,0,0,100.0,22,16,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
cssnano/cssnano,33943153,False,0,0,0,100.0,4961,326,True,open_collective,False,False,False,,False,,1,cssnano,617.92,7.82,,,,,1,43,True,True
csstools/postcss-plugins,219192307,True,6,0,6,34.41,1043,85,True,"github,open_collective",False,False,True,https://github.com/sponsors/csstools,False,,3,csstools,1167.20,7.04,,,,,1,29,True,True
csstree/csstree,67236461,False,0,0,0,100.0,2095,112,True,open_collective,False,False,False,,False,,1,csstree,278,16.76,,,,,1,55,True,True
curl/curl,569041,True,67,0,67,16.87,41686,7157,True,"github,open_collective",False,False,False,,False,,2,curl,67058.81,0.34,,,,,1,8,True,True
cuviper/autocfg,135481335,False,0,0,0,100.0,113,29,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
cyan4973/xxhash,19330466,False,0,0,0,100.0,10994,893,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
daaku/nodejs-makeerror,2097803,False,0,0,0,100.0,12,4,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
daaku/nodejs-tmpl,2171213,False,0,0,0,100.0,20,24,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
dateutil/dateutil,26876372,False,0,0,0,100.0,2613,543,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
davidhalter/parso,90668463,True,4,0,4,37.99,672,116,False,,False,False,False,,False,,0,,0,100.0,,,,,1,72,True,True
davisjam/safe-regex,90781457,False,0,0,0,100.0,192,11,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
dchest/tweetnacl-js,15649752,False,0,0,0,100.0,1922,295,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
dcodeio/long.js,8678904,True,1,0,1,43.69,921,207,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,76,True,True
debug-js/debug,2871998,False,0,0,0,100.0,11443,968,False,,False,False,False,,False,,0,debug,2266.72,5.59,,,,,1,38,True,True
definitelytyped/definitelytyped,6093316,False,0,0,0,100.0,51205,30505,False,,False,False,False,,False,,0,,0,100.0,,,microsoft.com,company,0,1,True,False
defunctzombie/node-process,7580644,False,0,0,0,100.0,129,67,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
django/asgiref,48501860,True,145,0,145,10.06,1619,241,False,,False,False,False,,False,,0,,0,100.0,,,,,1,47,True,True
djc/rustc-version-rs,41272773,True,27,0,27,19.44,64,23,True,"github,patreon",False,False,False,,False,,2,,0,100.0,,,,,1,58,True,True
dmitrysoshnikov/regexp-tree,85459304,False,0,0,0,100.0,423,46,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
docutils/docutils,44840244,False,0,0,0,100.0,67,31,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
doowb/ansi-colors,47135420,True,5,0,5,35.42,453,35,True,github,False,False,False,,False,,1,,0,100.0,,,,,1,71,True,True
douglasdwyer/wasm_sync,668034655,False,0,0,0,100.0,16,1,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
dougwilson/nodejs-depd,20848667,False,0,0,0,100.0,329,40,False,,False,False,False,,False,,0,,0,100.0,,,,,1,100,False,True
