repo,repo_id,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,bestpractices_badge_id,openssf_score_p,cve_score,score,fetched_at
alexei/sprintf.js,gh/9175790,1.8,openssf_local,0,False,,100.0,50.0,100,2026-04-27T21:28:27+01:00
alexeyraspopov/picocolors,gh/410740124,3.6,openssf_local,0,False,,79.19,50.0,79,2026-04-27T14:57:00+01:00
alexhuszagh/rust-lexical,gh/155286170,5.4,openssf_local,2,True,,36.69,82.2,82,2026-04-27T21:28:35+01:00
alexindigo/asynckit,gh/59087459,2.7,openssf_local,0,False,,97.32,50.0,97,2026-04-27T21:28:42+01:00
amanieu/parking_lot,gh/58731560,4.1,openssf_local,1,False,,59.06,72.68,73,2026-04-27T21:28:45+01:00
andialbrecht/sqlparse,gh/4067434,4.8,openssf_local,3,True,,45.08,84.88,85,2026-04-27T21:28:47+01:00
andrewrk/node-pend,gh/11836813,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T21:28:50+01:00
andyperlitch/jsbn,gh/9710533,2.4,openssf_local,0,False,,98.88,50.0,99,2026-04-27T21:28:54+01:00
angular/angular-cli,gh/36891867,8.6,openssf_local,0,False,,1.34,50.0,50,2026-06-28T16:39:35+01:00
annotated-types/annotated-types,gh/487934134,3.9,openssf_local,0,False,,72.04,50.0,72,2026-04-27T16:09:58+01:00
antonk52/lilconfig,gh/238967485,3.5,openssf_local,1,False,,80.98,72.68,81,2026-04-27T21:28:58+01:00
apache/airflow,gh/33884891,7.8,openssf_local,92,True,,3.91,99.02,99,2026-05-03T23:26:18+01:00
apache/arrow,gh/51905353,6.9,openssf_local,4,True,,12.3,87.07,87,2026-04-27T16:08:30+01:00
apache/arrow-rs,gh/358917250,7,openssf_local,4,False,,11.41,87.07,87,2026-05-03T23:21:24+01:00
ardatan/graphql-tools,gh/54432168,5.5,openssf_local,0,False,,34.23,50.0,50,2026-04-27T15:07:35+01:00
ardatan/whatwg-node,gh/429511342,5.7,openssf_local,0,False,,31.1,50.0,50,2026-04-27T21:29:14+01:00
assert-rs/snapbox,gh/424722460,6.5,openssf_local,0,False,,19.57,50.0,50,2026-05-03T23:21:24+01:00
astanin/python-tabulate,gh/205875548,4.9,openssf_local,0,True,,43.18,50.0,50,2026-06-28T21:20:09+01:00
astral-sh/ruff,gh/523043277,6.3,openssf_local,0,False,,23.04,50.0,50,2026-04-27T21:29:49+01:00
auth0/node-jwa,gh/8116861,4.6,openssf_local,0,False,,48.66,50.0,50,2026-04-27T21:31:37+01:00
autotools-mirror/autoconf,gh/47662429,4.1,openssf_local,0,False,,59.06,50.0,59,2026-04-27T21:29:59+01:00
autotools-mirror/libtool,gh/47662711,3.4,openssf_local,0,False,,82.33,50.0,82,2026-04-27T21:30:04+01:00
autotools-mirror/m4,gh/66880383,3.5,openssf_local,0,False,,80.98,50.0,81,2026-04-27T21:30:16+01:00
aws/aws-cli,gh/6780767,6,openssf_local,0,False,,26.96,50.0,50,2026-04-27T21:30:21+01:00
aws/aws-sdk-js-crypto-helpers,gh/149673986,5.5,openssf_local,0,False,,34.23,50.0,50,2026-05-03T17:22:49+01:00
aws/aws-sdk-js-v3,gh/87228090,5.6,openssf_local,0,False,,32.55,50.0,50,2026-04-27T14:53:35+01:00
axios/axios,gh/23088740,7.7,openssf_local,6,False,,4.81,89.27,89,2026-05-03T20:00:58+01:00
azure/azure-sdk-for-js,gh/108311273,6.1,openssf_local,1,False,,26.06,72.68,73,2026-04-27T16:09:34+01:00
azure/azure-sdk-for-python,gh/4127088,6.5,openssf_local,2,True,,19.57,82.2,82,2026-04-27T21:30:49+01:00
azuread/microsoft-authentication-library-for-python,gh/67243113,7.6,openssf_local,0,True,,5.26,50.0,50,2026-05-03T23:21:51+01:00
babel/babel,gh/24560307,6.6,openssf_local,2,False,in_progress,17.0,82.2,82,2026-04-27T14:52:37+01:00
babel/babel-polyfills,gh/190579283,4.6,openssf_local,0,False,,48.66,50.0,50,2026-04-27T15:06:31+01:00
babel/minify,gh/55723051,2.9,openssf_local,0,False,,95.75,50.0,96,2026-06-28T19:00:13+01:00
bdwgc/bdwgc,gh/2109456,4.8,openssf_local,0,False,in_progress,45.08,50.0,50,2026-04-27T16:03:02+01:00
beatgammit/base64-js,gh/2853282,3,openssf_local,0,False,,92.84,50.0,93,2026-04-27T21:31:00+01:00
benjaminp/six,gh/77868600,4.2,openssf_local,0,True,,56.49,50.0,56,2026-04-27T14:52:37+01:00
besser82/libxcrypt,gh/35503965,4.3,openssf_local,0,False,,53.8,50.0,54,2026-04-27T14:55:58+01:00
