repo,repo_id,repo_age_years,active_contributors_git_5y,dormant,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,issue_close_ratio_p,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,issue_trend_score_p,loc_per_ac,loc_per_ac_p,cve_per_ac,cve_per_ac_p,nni_per_ac,nni_per_ac_p,score,fetched_at
certbot/certbot,gh/26516210,11.1,87,0,10,True,5,2026-04-24T22:22:13Z,834,1208,1.448,4.53,-374,-28.5,-15.0,0.0809,29.08,850.2874,76.73,0.0,78.08,-4.2989,0.34,13,2026-04-27T18:55:24Z
certifi/python-certifi,gh/3060959,14.0,19,0,8,True,5,2026-04-22T11:25:26Z,82,91,1.11,10.78,-9,-3.2,-4.0,-0.0488,73.99,9.4737,2.68,0.1579,95.19,-0.4737,8.82,13,2026-04-27T13:18:14Z
chaijs/type-detect,gh/12107007,12.4,1,0,0,True,1,2024-07-25T10:50:47Z,3,2,0.667,71.32,1,-0.4,0.1,,,1364.0,83.22,0.0,78.08,1.0,78.17,80,2026-04-27T13:18:14Z
chalk/ansi-regex,gh/20451415,11.6,7,0,0,True,3,2026-02-18T13:43:33Z,16,16,1.0,30.64,0,-0.4,-0.2,0.0625,34.89,75.2857,18.12,0.2857,96.87,0.0,35.97,40,2026-04-27T13:18:14Z
chalk/ansi-styles,gh/11803168,12.4,8,0,0,True,4,2026-02-27T04:47:01Z,10,10,1.0,30.64,0,-0.3,-0.2,0.05,37.64,60.5,13.53,0.125,94.18,0.0,35.97,36,2026-04-27T13:18:14Z
chalk/chalk,gh/11855195,12.4,11,0,0,True,5,2026-01-27T06:30:36Z,106,111,1.047,15.07,-5,-5.8,-7.5,-0.0802,83.36,115.0,27.18,0.0909,91.39,-0.4545,9.05,28,2026-04-27T13:18:14Z
chalk/slice-ansi,gh/43191689,10.3,3,0,6,True,4,2026-04-04T13:19:33Z,5,3,0.6,76.23,2,0.2,0.3,0.1,24.72,92.6667,22.48,0.3333,97.99,0.6667,63.8,52,2026-04-27T13:18:14Z
chalk/strip-ansi,gh/15014856,12.1,2,0,3,True,3,2026-02-26T13:51:11Z,13,12,0.923,41.67,1,-1.2,-1.0,0.0769,30.37,18.0,4.36,0.5,98.99,0.5,59.28,29,2026-04-27T13:18:14Z
chalk/supports-color,gh/11855007,12.4,14,0,0,True,5,2026-01-04T15:23:13Z,17,17,1.0,30.64,0,-0.1,-0.3,-0.0588,77.87,49.1429,10.74,0.0714,89.93,0.0,35.97,33,2026-04-27T13:18:14Z
chalk/wrap-ansi,gh/41053676,10.4,4,0,5,True,3,2026-02-20T10:03:54Z,10,7,0.7,66.54,3,0.2,0.1,-0.05,74.31,100.0,24.16,0.25,96.42,0.75,66.29,54,2026-04-27T13:18:14Z
chalker/safer-buffer,gh/125825141,7.8,0,1,0,True,0,2021-04-22T17:24:31Z,4,1,0.25,91.05,3,-0.1,0.0,,,541.0,67.9,0.0,78.08,3.0,94.23,79,2026-04-27T13:18:14Z
chardet/chardet,gh/5196969,13.4,13,0,10,True,5,2026-04-13T21:22:43Z,48,30,0.625,75.49,18,-0.9,-2.3,-0.1458,90.15,22776.2308,98.21,0.0,78.08,1.3846,82.81,86,2026-04-27T13:18:14Z
cheeriojs/dom-serializer,gh/18991884,11.7,4,0,10,True,5,2026-04-21T01:52:31Z,11,11,1.0,30.64,0,-0.1,-1.3,-0.5455,98.22,162.5,34.56,0.0,78.08,0.0,35.97,46,2026-04-27T13:18:14Z
chicoxyzzy/node-releases,gh/73765596,9.1,5,0,9,True,5,2026-04-17T04:07:24Z,11,10,0.909,43.26,1,-0.5,-0.7,-0.0909,85.62,6.2,1.68,0.0,78.08,0.2,45.36,18,2026-04-27T13:18:14Z
chronotope/chrono,gh/18210201,11.8,150,0,9,True,5,2026-04-06T05:47:44Z,406,382,0.941,38.6,24,-9.1,1.0,0.1244,20.36,229.9333,43.29,0.0,78.08,0.16,42.19,52,2026-04-27T13:18:14Z
chronotope/humantime,gh/59320323,9.6,13,0,1,True,2,2025-09-11T12:08:46Z,15,5,0.333,88.85,10,-0.8,0.7,0.5,2.91,142.0769,31.43,0.0,78.08,0.7692,66.74,55,2026-04-27T13:18:14Z
clap-rs/clap,gh/31315121,10.8,306,0,10,True,5,2026-04-22T23:59:22Z,1198,1008,0.841,51.1,190,-59.0,-68.1,-0.038,70.76,268.6144,47.87,0.0,78.08,0.6209,62.33,62,2026-04-27T13:18:14Z
cloudflare/cloudflare-python,gh/753271547,1.9,11,0,10,True,2,2026-04-24T20:02:20Z,19,5,0.263,89.95,14,3.8,1.0,-0.7368,99.35,88643.3636,99.33,0.0,78.08,1.2727,81.56,86,2026-04-27T13:18:14Z
colinhacks/zod,gh/245704608,5.8,451,0,10,True,5,2026-02-15T14:20:41Z,2730,2597,0.951,36.89,133,111.7,167.9,0.1029,23.42,156.3415,33.67,0.0022,78.64,0.2949,48.98,51,2026-04-27T13:18:14Z
